%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Ennyivel: %d több Készségkönyvet kell elolvasnod, hogy fejleszthesd ezt a képzettséget. 
%d 냥을 투자하셨습니다.	%d Yangot fektettél be. 
%d 냥을 획득하셨습니다.	%d Yangot nyertél. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	El kell érned a %d szintet, hogy ismét befesthesd a hajad. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d óra %d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d óra %d másodperc van még hátra a chat tiltásodból 
%d 종류 %d 마리 낚음	%d-ból %d-t fogtál. 
%d 초 동안 채팅금지 상태입니다	%d másodperc van hátra a chat tiltásodból 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d másodperc után lehet a császár áldását felhasználni. 
%d 초간 쿨타임이 적용중입니다.	Újrafelhasználási idõ kb. %d másodperc 
%d 초후 목적지로 이동됩니다.	%d másodperccel az indítás után eléred a célhelyet. 
%d%% 확률로 관통 공격	Átható támadás %d%% eséllyel. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Tapasztalat növekedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 돈 2배 드롭	A zsákmányolt Yang növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% esély az életerõ feltöltésére egy gyõzelem után. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	A zsákmányolt tárgyak növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 정신력 회복	Mana emelkedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 치명타 공격	Kritikus támadás %d%% eséllyel. 
%d%% 확률로 타격시 상대 전신력 소모	%d%% valószínûséggel lesz Mana elvéve az ellenségtõl. 
%d%% 확률로 피해시 정신력 회복	Mana elnyelõdés %d%% eséllyel. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d játékidõ lett hozzáadva az eddigiekhez.. (Fizetési szám %d) 
%d의 경험치를 획득했습니다.	%d tapasztalatot szereztél. 
%d초 남았습니다.	%d másodperc a végéig. 
%d초 만큼 충전되었습니다.	%d másodperc hozzáadva. 
%d초 후 게임이 셧다운 됩니다.	%d másodperc múlva vége a játéknak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP felhasználás: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d szent föld száma %d 
%s 군주 후보에서 삭제하였습니다	%s-t törölve lett a császár jelöltek közül. 
%s 군주로 입명 했습니다.	%s császárnak van jelölve. 
%s 군주르 제거 하였습니다..	A %s császárt eltávolítják. 
%s 군주를 제거 할수 없습니다.	%s császár nem eltávolítható. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A(z) %s céh háborút hirdetett %s ellen. 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s megnyerte a céhháborút %s ellen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s megszerezte %s zászlóját. 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A céhháború döntetlennel végzõdött %s és %s között. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A céhháború %s és %s között törölve lett. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A céhháború perceken belül elkezdõdik %s és %s között. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A céhháború elkezdõdött %s és %s között. 
%s 길드의 %s이 %d%% 증가했습니다!	%s a %s céhnek felment %d%%-ra. 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s a %s céhnek normalizálódott. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A %s céh zászlaját ellopta %s játékos. 
%s 는 군주 후보가 아닙니다.	%s nem császár jelölt. 
%s 는 군주로 입명할수 없습니다 .	%s-t nem lehet császárnak jelölni. 
%s 님과의 교환이 성사 되었습니다.	Az üzlet %s személlyel sikerült. 
%s 님에게 파티가입 신청을 했습니다.	Szeretnél %s csoportjába lépni. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s elutasította a meghívást. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s játékos a %d csatornán található. (Te a %d csatornán vagy) 
%s 님은 접속되 있지 않습니다.	%s nem online. 
%s 님은 정상적으로 출마를 하였습니다.	%s játékos már a választásban van. 
%s 님을 소환하였습니다.	%s játékost választottad ki. 
%s 님이 대련에서 승리하였습니다.	%s megnyerte a párbajt. 
%s 님이 승리하였습니다.	%s nyert. 
%s 블럭! (%d%%)	%s blokk! (%d%%) 
%s 아이템 을 획득하셨습니다	%s tárgyat nyertél. 
%s 아이템이 필요합니다	Szükséged van %s-re. 
%s 에게로 이동합니다	Transzport a %s játékoshoz. 
%s 회피! (%d%%)	%s kitérés! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ez a céh nem létezik. 
%s[%d]가 공격 위치: %d %d	%s[%d] Támadó Pozíciója: %d %d 
%s님과의 대결 시작!	A harc %s ellen megkezdõdött. 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s harcra hívott téged. 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s dobott kockával. Dobásának értéke %d (%d-%d). 
%s를 구웠습니다.	%s-t sütsz a tûz fölött. 
%s에 박혀있던 보석이 사라집니다.	A %s-ból készült drágakõ eltûnt. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Máglyát gyújtottak %s-nél, hogy csatára figyelmeztessenek. 
%s에게 대결신청을 했습니다.	%s harcra hívott. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Háború van %s-ben a máglya meggyújtásáért. 
%s에서 소켓 빠질때까지 남은 시간 %d	A %s idõbõl a foglalat eltávolításáig fennmaradó: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s megnövekedett %d%%-kal! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s-a normalizálódott. 
%s의 군주가 %s 님으로 교체되었습니다.	%s császárát lecserálták. Az új császár: %s. 
%s이 모든 봉화를 파괴하였습니다.	%s minden máglyát szétrombolt. 
%s이 봉화를 파괴했습니다.	%s szétrombolta a máglyát. 
%s이 수성에 성공했습니다.	%s sikeresen védekezett. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s elvesztette a háborút, mert nem tudta megvédeni a kastélyt. 
%s이 필요합니다.	Ehhez szükséges : %s 
문제를 출제하지 못했습니다.	Nem lépett fel hiba. 
물 속에 모닥불을 피울 수 없습니다.	Nem csinálhatsz vízben tábortüzet. 
물리타격시 블럭 확률 %d%%	%d%% esély közelharci támadás blokkolására. 
물약 사용시 %d%% 성능 증가	A teljesítmény növekedése %d%%-kal az ital által. 
물약 제조에 실패했습니다.	Nem sikerült az ital elõállítása. 
물약 제한이 없습니다.	Az italok nincsenek limitálva. 
물약 조합을 위한 재료가 부족합니다.	Anyag hiányzik az italok keveréséhez. 
물약을 %d 개 까지 사용 가능합니다.	Legfeljebb %d italt használhatsz. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	Felfrissültem. 
미끼를 끼고 던져 주세요.	Elõször a csalit rögzítsd a horogra. 
민첩 +%d	Ügyesség +%d 
민첩이 낮아 착용할 수 없습니다.	Nem elegendõ az ügyességed ezen tárgy felszereléséhez. 
밀교류 타격치 +%d%%	Támadás erõsítés Milgyo-val szemben + %d%% 
바람 저항 %d%%	Szél ellenállás %d%% 
방어력 +%d	Felszerelés + %d 
방어력 +%d%%	Védekezés + %d%% 
방울 방어 %d%%	Harang védelem %d%% 
배 속에서 조개가 나왔습니다.	A halban egy kagyló van. 
배 속에서 지렁이가 나왔습니다.	A halban egy féreg van. 
버릴 수 없는 아이템입니다.	Nem dobhatod el ezt a tárgyat. 
변경할 속성이 없습니다.	Nincs olyan javításod, amit meg tudsz változtatni. 
변신 상태에서는 말에 탈 수 없습니다.	Nem tudsz lovagolni, amíg át vagy változtatva. 
변신중에는 책을 읽을수 없습니다.	Nem olvashatsz könyvet amíg át vagy alakulva. 
부착할 수 있는 슬롯이 없습니다.	Nincs szabad nyílás 
부채 방어 %d%%	Legyezõ védelem %d%% 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	Illegális szoftvert fedeztünk fel. Vége a játékodnak! 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	Nem adhatsz érvénytelen nevet a boltodnak. 
빈 병이 모자릅니다.	Nincs elég üres üveged. 
빼낼 수 있는 메틴석이 없습니다.	Nincs kivehetõ kõ. 
빼낼 영석이 없습니다	Nincs eltávolítható kõ. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	Csak egyszer kaphatsz jutalmat a Démon-torony megbízatásért. 
사용 제한량을 초과하였습니다.	Túl van a határértéken. 
사용법: transfer <name>	Használd: transzfer <név> 
사용법: warpto <character name>	Rendelés: transzport <character name>-nak 
사용할수 없습니다.	Ez a funkció itt és most nem elérhetõ. 
삼거리 몹 리젠	Szörnyek a birodalmi csatában 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	Birodalmi csata résztvevõjeként nem használhatod a visszaállító tekercset. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	A %s birodalom vereséget szenvedett és kiesik a Birodalmi Csatából. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	A párbajozókat szétválasztották. A párbajnak vége. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	A párbaj ellenfélnek problémái vannak. A párbajnak vége. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	A másik személynek nincs elég Yang-ja, vagy nincs elég helye a leltárban. 
상대방의 소지품에 빈 공간이 없습니다.	A másik személynek nincs elég helye a leltárban. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	A játékos több mint 2 milliárd Yanggal rendelkezik. Nem kereskedhetsz vele. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	A játékos a %d csatornán van. (Te a %d csatornán vagy). 
상대방이 교환 거부 상태입니다.	A másik személy félbehagyta a kereskedést. 
상대방이 다른 거래를 하고 있는 중입니다.	A játékos egy másikkal üzletel. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	A másik személy épp üzletel, ezért nem tudsz vele kereskedni. 
상대방이 대련중입니다.	A játékos épp párbajozik. 
상대방이 메신져 추가 거부 상태입니다.	A játékos elutasította a kérésed, hogy hozzáadd a barátlistádhoz. 
상대방이 온라인 상태가 아닙니다.	Nem online a játékos. 
상대방이 있는 곳으로 워프할 수 없습니다.	Nem teleportálhatod magad a játékoshoz. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	Az ellenfeledet nem adhatod hozzá a barátaidhoz. 
상대방이 파티에 속해있지 않습니다.	A játékos nincs a csoportodban. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	A doboz hirtelen felrobban! Életerõt (TP) vesztettél. 
상자에서 %s 가 %d 개 나왔습니다.	Kaptál %s, %d egységet. 
상자에서 %s 가 나왔습니다.	%s van a dobozban. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	Ha belélegzed a zöld füstöt a dobozból, méreg fog szétáradni testedben. 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	Ha belélegzed a piros füstöt a ládából, növekszik a gyorsaságod. 
상자에서 몬스터가 나타났습니다!	A ládából egy szörny jött elõ. 
상자에서 부터 신비한 빛이 나옵니다.	Misztikus fény jön a ládából. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	Túl messze vagy a bolttól, hogy vásárolj. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	Túl messze vagy a bolttól, hogy eladj. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	Nincs elég helyed a tárolódban hogy elfogadd a jutalmat. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	Ez bonyolultabb és nehezebben érthetõ, mint ahogy gondoltam. 
생명력 회복 +%d	Energia visszaszerzés +%d 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	Kritikus szerver hiba lépett fel. A szerver automatikusan újraindul. 
선악치가 %d 증가하였습니다.	A rangod ennyi ponttal növekedett: %d 
선악치를 더 이상 올릴 수 없습니다.	A rangpontok nem növelhetõk tovább. 
선택 맵 정보 성지 %d 통로 %d %d %d	Válaszd a Szent föld térkép információit %d átjáró %d %d %d 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	Nem használhatod ezt a tárgyat, mert a nemed nem megfelelõ hozzá. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	A tárgyat csak a másik nem képviselõje tudja kinyitni. 
성에서만 사용할 수 있는 기능입니다.	Ez a funkció csak a kastélyban használható. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	Lejárt a várakozási idõ. A városban leszel újraindítva. 
성지의 마왕: 너희	A megszentelt hely ördöge 
세금이 %d %로 설정되었습니다	Az adó %d %-ra van meghatározva. 
셧다운이 %d초 남았습니다.	%d másodperc a végéig. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	Több, mint 2 milliárd Yang van nálad. Nem kereskedhetsz. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	Nincs nálad elég Yang, hogy ezt a tárgyat használd. 
소지품에 빈 공간이 없습니다.	Nincs elég hely a leltárban. 
소지하고 있는 아이템이 너무 많습니다.	Túl sok tárgyat tartasz magadnál. 
소켓 추가에 실패하였습니다.	Nincs hozzáadott foglalat. 
소켓이 성공적으로 추가되었습니다.	A foglalat sikeresen hozzá lett adva. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	A szörny nem hívható, ellenõrizd a Mob-számot. 
속성 추가에 성공하였습니다.	A javítás sikeresen hozzáadódott. 
속성 추가에 실패하였습니다.	Nincs hozzáadott fejlesztés. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	Ezt csak %d perccel a javítás után teheted. (%d perc van hátra) 
속성을 변경하였습니다.	Megváltoztattad a javítást. 
속성을 변경할 수 없는 아이템입니다.	A tárgy javítását nem tudod megváltoztatni. 
수라공격에 %d%% 저항	%d%% ellenállás Sura támadással szemben 
수라에게 강함 +%d%%	Erõ Surák ellen + %d%% 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	A tréning nem sikerült. Próbáld újra késõbb! 
수련할 수 없는 스킬입니다.	Nem fejlesztheted ezt a képességet. 
스킬 데미지 %d%%	Képesség romlás %d%% 
스킬 데미지 저항 %d%%	Ellenállás képességromlás ellen %d%% 
스킬 레벨을 내리는데 성공하였습니다.	Készenléti szintedet csökkentetted. 
스킬 레벨을 내릴 수 없습니다.	Nem tudod csökkenteni készenléti szintedet. 
스턴 +%d	Csillag +%d 
슬로우 +%d	Sebesség csökkenés +%d 
승마 수련서 이해에 실패하였습니다.	Nem értetted a lovaglási leírást. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	Elolvastad a Lovaglás könyvét, és szereztél egy lovagló pontot. 
시체류 타격치 +%d%%	Élõholtak elleni támadás növelése + %d%% 
신수국	Shinsoo-birodalom 
쓰러진 상태에서는 말에 탈 수 없습니다.	Nem tudsz felszállni a lóra amíg a földön fekszel. 
쓰러진 상태에서는 할 수 없습니다.	Nem teheted meg, amíg a földön fekszel. 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	Mindig ugyanazokat a sorokat olvasom. 
아무것도 얻을 수 없었습니다.	Nem kaptál semmit. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Kereskedés után nem használhatod a tekercset %d másodpercig. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	A tárgy eldobás hányada a pillanatban plusz %d%% 
아이템 드롭율 %.1f배	Esély egy tárgy találására %. 1f 
아이템 룰렛 시작.	Rulett indítása. 
아이템 전달: %s 님에게 %s	Tárgy kereskedés: %s, %s 
아이템 획득: %s	%s kapott 
아이템 획득: %s 님으로부터 %s	%s fogadva, %s egység 
아이템로그가 syslog 에 남았습니다	A tárgylog a syslogba lett helyezve. 
아이템을 건네줄 수 없습니다.	Nem adhatod át ezt a tárgyat. 
아이템의 레벨 제한보다 레벨이 낮습니다.	Túl alacsony szinten vagy, hogy használd ezt a tárgyat. 
아이템이 나올 확률	Tárgy leejtési gyakoriságának aránya 
아직 골드를 버릴 수 없습니다.	Még nem tudod eldobni az aranyat. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	Még nem tudsz újraindulni a városban. Várj további %d másodpercet. 
아직 사용할 수 없습니다.	Még nem használható. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	Legalább 50-es szintûnek kell lenned a lovas kiképzéshez. 
아직 이 머리를 사용할 수 없는 레벨입니다.	Túl alacson szinten vagy egy ilyen frizura viseléséhez. 
아직 재시작 할 수 없습니다. (%d초 남음)	Még nem lehet újraindítani. Kérünk, várj további %d másodpercet. 
아직 재시작 할 수 없습니다.(%d초 남음 )	Pillanatnyilag nem lehet újrakezdeni. Kérünk, várj %d másodpercet. 
아직 재시작 할 수 없습니다.(%d초 남음)	Még nem lehet újraindítani. Kérünk, várj további %d másodpercet. 
악마류 타격치 +%d%%	Ördög elleni támadás növelése + %d%% 
안녕하세요. 메틴2 입니다.	Üdvözlünk a Metin2-ben! 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	Több mint 2 milliárd Yangod van. Nem tudsz kereskedni. 
양손검 방어 %d%%	Kétkezes kard védelem %d%% 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	Elõrébb jutottam, de még mindig nem értettem meg mindent. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Menj a halászhoz, és fejleszd a horgászbotod! 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	Ezt a pontot a lovaglási képességed növelésére használhatod. 
얼마 안 남았어! 조금만 더!	Majdnem sikerült. Még egy picit! 
여자만 할 수 있습니다.	Ezt csak nõk tehetik. 
연계기는 더이상 수련할 수 없습니다.	Nem tudsz további combot kiképezni. 
열쇠가 맞지 않는 것 같다.	Úgy tûnik, ez a kulcs nem a megfelelõ. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	Ez a helyes kulcs. 
열쇠로 여는 물건이 아닌것 같다.	Ez a tárgy nem nyitható kulccsal. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Zárva. Meg kell keresned a kulcsot. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	Értem ezt a fejezetet, de keményen kell dolgoznom. 
열정의 가면을 착용시에만 할 수 있습니다.	Akkor teheted meg, ha érzelem maszkot viselsz. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	A Metinkõ iránytû egy titokzatos fénnyel eltûnt. 
영석 감지기가 흔적도 없이 사라집니다.	A Metinkõ iránytû eltûnt. 
예복을 입은 상태에서 말을 탈 수 없습니다.	Nem tudsz lovagolni, amíg menyasszonyi ruhát, vagy szmokingot viselsz. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	Legalább %d szintûnek kell lenned, hogy hívni tudj. 
외치기는 유료회원만 사용할수 있습니다	Magasabb szintûnek kell lenned, hogy hívni tudj. 
용신의 가호로 경험치가 떨어지지 않았습니다.	A sárkány isten áldása miatt nem veszíthetsz tapasztalatot. 
용신의 보호로 아이템이 떨어지지 않았습니다.	A sárkány isten védelme által nem dobtál el egy tárgyat sem. 
용심 추출에 성공하였습니다.	A Sárkánykõ fennmaradó élettartama meg lett hosszabbítva. 
용심 추출에 실패하였습니다.	Sikertelen a fennmaradó élettartam meghosszabbítása. 
용혼석 상자가 활성화되지 않았습니다.	Nincs aktiválva a Sárkánykõ. 
용혼석 추출에 성공하였습니다.	A Sárkánykõ el lett távolítva. 
용혼석 추출에 실패하여 %s를 얻었습니다.	Nem sikerült a Sárkánykõ eltávolítása, de ezt kaptad: %s 
용혼석 추출에 실패하였습니다.	Nem sikerült a Sárkánykõ eltávolítása. 
운영자 제제로 채팅이 금지 되었습니다.	A csetelésedet blokkolta egy admin. 
웅귀족 타격치 +%d%%	Támadó erõsítés Wonggui-val szemben +%d%% 
원래 위치로 복귀	Az eredeti helyszínre leszel visszatéve. 
월병 또는 종자 를 사용하였습니다	Használt hold süti vagy mag. 
월병,종자 사용후 5초동안 사용할수 없습니다.	Csak 5 másodpercenként használhatsz Hold sütit. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	Nem adhatsz el magán boltban Tárgy bolt terméket. 
을	a 
을두지를 통하여 입장 가능합니다.	Uriel engedélyével a belépés megengedett. 
이 개량서로 개량할 수 없습니다.	Nem javíthatsz tárgyakat ezzel a tekerccsel. 
이 개량서로 더 이상 개량할 수 없습니다.	A Harci tekercs nem mûködik +4 vagy afeletti tárgyaknál. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	A Metinkõ iránytû nem mûködik a kazamatákban. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	Az esemény érzékelõt nem lehet innen irányítani. 
이 메틴석은 무기에 부착할 수 없습니다.	Ezt a szellemkövet nem szerelheted fel fegyverre. 
이 메틴석은 장비에 부착할 수 없습니다.	Ez a szellemkõ nem erõsíthetõ fel erre a fajta tárgyra. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	Képességed nem elég a nagymesteri tréninghez. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	Nem elég jó ez a képességed, hogy könyv segítségével fejleszd. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	Nem fejlesztheted többé ezt a képességedet könyv segítségével. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	Ehhez a tárgyhoz nem adható több foglalat. 
이 아이템은 PC방에서만 사용할 수 있습니다.	Ezt a tárgyat csak egy internet kávézóban lehet használni. 
이 아이템은 개량할 수 없습니다.	Ez a tárgy nem javítható. 
이 아이템은 이 방식으로는 개량할 수 없습니다.	Ez a tárgy ilyen módon nem javítható. 
이 아이템을 장착할 수 없습니다.	Ezeket a tárgyakat nem lehet együtt használni. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	Ehhez a tárgyhoz nem adható több drágakõ. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	Ehhez a tárgyhoz nem lehet több foglalatot adni. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	Ebben a tartozékban nincs foglalat drágakövek számára. 
이 책으로는 더 이상 수련할 수 없습니다.	Ezzel a könyvvel nem tudsz tovább gyakorolni. 
이 책은 너무 어려워 이해하기가 힘듭니다.	Ezt a könyvet nehéz megérteni. 
이 책은 너무 어려워서 수련할 수 없습니다.	Túl nehéz a könyv a tanuláshoz. 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	Ez a könyv nem segít neked tovább. 
이 책을 읽으려면 레벨을 더 올려야 합니다.	Meg kell növelni szintedet, hogy el tudd olvasni ezt a könyvet. 
이 행동은 상호동의 하에 가능 합니다.	Ehhez az akcióhoz szükséged van játékostársaid beleegyezésére. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	Nem használhatod a visszaállító tekercset, mivel túl kicsi a távolság. 
이동속도 %d	Mozgési sebesség %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	Készen állsz a teleportra, ezért nem tudod használni a 'Vissza' tekercset. 
이래서야 공부가 안된다구.	Nehéz koncentrálnom. Szünetet kellene tartanom. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	Már használsz egy ilyen típusú Sárkánykövet. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	Kicseréled a jelenlegi csalit. Az új csali: %s. 
이미 둔갑중인 상태입니다.	Már át vagy változva. 
이미 선전포고 중인 길드입니다.	Háborút hirdettél e céh ellen. 
이미 완벽하게 알아들을 수 있는 언어이다.	Már megérted ezt a nyelvet. 
이미 입후보되어있습니다	Már van egy jelölés. 
이미 장비를 착용하고 있습니다.	Már van felszerelve ilyen fajta Sárkánykõ. 
이미 전쟁이 끝났습니다.	A háborúnak már vége. 
이미 제조창이 열려있습니다.	A gyártó ablak már nyitva van. 
이미 탈것을 이용중입니다.	Épp lovagolsz. Elõbb szállj le a hátasról. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	Nem fogadhatod el a meghívást, mivel már a csoportban vagy. 
이미 효과가 걸려 있습니다.	A hatás már mûködésbe lépett. 
이미투표를 했음	Már szavazott. 
이번에 잡은 물고기의 길이는 %.2fcm	A kifogott hal hossza %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	Az esemény érzékelõ a misztikus fénnyel eltûnt. 
이벤트용 감지기가 흔적도 없이 사라집니다.	Eltûnt az esemény érzékelõ. 
이성간에만 할 수 있습니다.	Ezt az akciót csak egy másik nemûvel együtt hajthatod végre. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Már értem! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	A könyv utolsó oldalán járok. Mindjárt vége a tréningnek! 
인간류 몬스터 타격치 +%d%%	Játékos támadóerõ szörnyekkel szemben +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	Megtelt a leltárad. Nem lehet több tárgyat felvenni. 
인증번호가 틀렸습니다. 다시 시도하세요.	A visszaigazolásszámod hibás. Próbáld meg újra! 
입력하신 이름을 가진 사용자가 없습니다.	Nincs játékos az általad megadott névvel. 
자객공격에 %d%% 저항	%d%% ellenállás nindzsa támadással szemben 
자객에게 강함 +%d%%	Erõ a nindzsák ellen + %d%% 
자동으로 나가게됩니다.	Automatikusan kilép. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	A karakter kiválasztásánál megjelenik egy ikon. 
자신을 소환할 수 없습니다.	Nem toborozhatod be saját magad. 
자재가 부족하여 건설할 수 없습니다.	Nincs elég építõanyagod az építkezéshez. 
잘못된 둔갑 아이템입니다.	Nem megfelelõ átváltoztató tárgy. 
잘못된 선택을 했습니다	A kiválasztás hibás. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	Hamarosan újraindul az OX Esemény. 
잠시 후 마을로 이동되겠습니다.	A játékos rövidesen teleportálodik a városba. 
잠시후 모두 마을로 이동됩니다.	Minden ember a városba lesz teleportálva hamarosan. 
잠시후 해당 마을은  마을로 이동됩니다.	Hamarosan mindenki a városba teleportálódik. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Felszerelt tárgyakat nem adhatsz el a magánboltodban. 
장착에 성공하였습니다.	Sikeres felszerelés. 
장착에 실패하였습니다.	Felszerelés nem sikerült. 
재료(%s)가 부족합니다.	Nincs elég anyagod (%s). 
저주 되돌리기 확률 %d%%	Átok visszaverés: %d%% 
적용 레벨보다 높아 사용이 불가능합니다.	A tárgyad szintje túl magas. 
적합하지 않은 길드 이름 입니다.	A céh neve érvénytelen. 
전기 저항 %d%%	Villám ellenállás %d%% 
전쟁 서버가 열려있지 않아 길드전을 시작할 수 없습니다.	A céhháború nem kezdhetõ, mert a szerver nem online. 
전제국	Összes királyság 
전투가 시작 되어 취소 되었습니다.	Cselekvés visszavonva. Beléptél a harcba. 
정답은	A helyes válasz: 
정답입니다!	Helyes! 
정상적으로 투표를하였습니다.	Szabályszerûen szavazott. 
정신력 회복 +%d	Mana visszanyerés +%d 
제조 재료가 부족합니다	Nincs megfelelõ anyagod. 
