ACCE_ABSORB_COST	Emiş fiyatı: {}
GUILD_YOU_DO_NOT_JOIN	Bir Loncaya üye değilsin.
HORSE_HEALTH0	Ölü
HORSE_HEALTH1	Aç kalmış halde
HORSE_HEALTH2	Acıkmış halde
HORSE_HEALTH3	Tok
HORSE_LEVEL1	Normal at
HORSE_LEVEL2	Savaş Atı
HORSE_LEVEL3	Asker at
HOUR	:Saat
HOW_MANY_ITEM_DO_YOU_DROP1	{} bozmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP2	{} {} bozmak istiyor musun?
INPUT_MATRIX_CARD_NUMBER	Matrix Kart Numaranı gir.
INPUT_MATRIX_CARD_TITLE	Matrix Kart
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap ayarlarınızdaki silme-kodunu buraya giriniz.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Dönüş Rolesi
INVENTORY_REALLY_USE_ITEM	Eşyayı bu nesneye uygula?
INVENTORY_REALLY_USE_ITEM2	Bu eşyayı kullanmak istediğinden emin misin?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Petini gerçekten nakliye kutusuna koymak istiyor musun?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Bir nakliye kutusunu açmak istiyor musun?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	{} ile {} petini besle?
IS_NOT_PET_CHANGE_ITEM	Bu, "pet efsunla" eşyası değil.
IS_NOT_PET_ITEM	Bu bir pet değil.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Yok
JOB_ASSASSIN1	Yakın Ninja
JOB_ASSASSIN2	Uzak Ninja
JOB_SHAMAN	Şaman
JOB_SHAMAN0	Yok
JOB_SHAMAN1	Ejderha Şamanı
JOB_SHAMAN2	Şifacı Şaman
JOB_SURA	Sura
JOB_SURA0	Yok
JOB_SURA1	Silah Surası
JOB_SURA2	Büyü Surası
JOB_WARRIOR	Savaşçı
JOB_WARRIOR0	Yok
JOB_WARRIOR1	Bedensel Savaşçı
JOB_WARRIOR2	Zihinsel Savaşçı
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Amatör Lycan
JOB_WOLFMAN1	İçgüdü
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Kaydetmeden kapat?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada kullanılamaz!
KEYCHANGE_SAVE_EXIT	Kaydet ve kapat?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	0
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	Ö
KEY_COMMA_LALT	ALT + Ö
KEY_COMMA_LCONTROL	CTRL + Ö
KEY_COMMA_LSHIFT	SHIFT + Ö
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DOWN
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	"
KEY_GRAVE_LALT	ALT + "
KEY_GRAVE_LCONTROL	CTRL + "
KEY_GRAVE_LSHIFT	SHIFT + "
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEFT
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUM
KEY_NUMPAD0	NUMPAD0
KEY_NUMPAD1	NUMPAD1
KEY_NUMPAD2	NUMPAD2
KEY_NUMPAD3	NUMPAD3
KEY_NUMPAD4	NUMPAD4
KEY_NUMPAD5	NUMPAD5
KEY_NUMPAD6	NUMPAD6
KEY_NUMPAD7	NUMPAD7
KEY_NUMPAD8	NUMPAD8
KEY_NUMPAD9	NUMPAD9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	Ç
KEY_PERIOD_LALT	ALT + Ç
KEY_PERIOD_LCONTROL	CTRL + Ç
KEY_PERIOD_LSHIFT	SHIFT + Ç
KEY_PGDN	PAGEDOWN
KEY_PGUP	PAGEUP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	RIGHT
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACE
KEY_SUBTRACT	0
KEY_SYSRQ	PRINTSCREEN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	UP
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Liderin Adı
LEFT_TIME	Kalan Süre
LOGIN_CONNECT_FAILURE	Sunucuya bağlanırken hata
LOGIN_CONNECT_SUCCESS	Sunucuya bağlandın.
LOGIN_CONNETING	Lütfen bekle. Sunucuya bağlanıyorsun.
LOGIN_FAILURE_ALREAY	Hesabın zaten bağlı.
LOGIN_FAILURE_BACKEND_ERR	Bir hata oluştu. Lütfen destek birimine başvur.
LOGIN_FAILURE_BE_SAME_KEY	Kayıt problemi
LOGIN_FAILURE_BLOCK_ID	Bu hesap engellendi.
LOGIN_FAILURE_BLOCK_LOGIN	Lütfen başka server seç!
LOGIN_FAILURE_COUNTRY_ERR	Ülke kodu yanlış.\nLütfen destek birimine başvur.
LOGIN_FAILURE_INTEGRTING	Bu hesap şu anda birleştiriliyor. Lütfen daha sonra tekrar dene.
LOGIN_FAILURE_NOBILL	Bu hesabın oyun süresi yok.
LOGIN_FAILURE_NOT_AVAIL	Bu hesap kullanılamıyor.
LOGIN_FAILURE_NOT_EXIST_ID	Hesap ismi veya şifre yanlış.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	E-posta yoluyla onaylanması gerekir.
LOGIN_FAILURE_REPAIR_ID	Bu hesap için şu an nesneler yenileniyor.
LOGIN_FAILURE_SAMELOGIN	Biri senin hesabınla bağlandı.
LOGIN_FAILURE_SHUTDOWN	Sunucu henüz açılmadı.
LOGIN_FAILURE_STEAM_SESSION	Oturumun süresi doldu. Lütfen istemciyi yeniden başlat.
LOGIN_FAILURE_TOO_MANY_USER	Çok fazla kullanıcı bağlı olduğu için bağlanamazsınız.
LOGIN_FAILURE_UNKNOWN	Bilinmeyen bir nedenle kaydolamadınız.
LOGIN_FAILURE_WEB_BLOCK	Web sitesine erişiminiz engellendi. Lütfen E-Postanızı kontrol ediniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Yanlış numara girdiniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	3 kere yanlış numara girdiniz. Bağlantınız kesildi.
LOGIN_FAILURE_WRONG_PASSWORD	Hesap ismi veya şifre yanlış.
LOGIN_INPUT_ID	ID nizi yazın.
LOGIN_INPUT_PASSWORD	Şifreyi gir.
LOGIN_PROCESSING	Giriş işlemi yapılıyor...
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Mesaj yok
MAILBOX_POST_ALL_DELETE_QUESTION1	Tüm mesajları sil?
MAILBOX_POST_ALL_DELETE_QUESTION2	Eklentisi olan mesajlar silinmez
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Posta kutunda eklentisi olan mesajın yok.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Eklentiyi kabul et? (Yang için %5 vergi düştükten sonra)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Mesaj silinemedi. Lütfen önce içindeki eklentiyi kabul et.
MAILBOX_POST_DELETE_QUESTION	Bu mesajı gerçekten silmek istiyor musun?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Eşyalar alınamadı. Envanterin dolu.
MAILBOX_POST_GET_ITEMS_QUESTION	Eklentiyi kabul et? (Yang için %5 vergi düştükten sonra)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Daha fazla Won alamazsın.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Daha fazla Yang alamazsın.
MAILBOX_POST_GM_ARRIVE	GM mesajı
MAILBOX_POST_NOT_CONFIRM_INFO_1	Okunmamış mesajlar: {}
MAILBOX_POST_NOT_CONFIRM_INFO_2	Eklentisiz: {} / Eklentili: {}
MAILBOX_POST_READ_BLOCK	Şunu engellemek istediğine emin misin: {}?
MAILBOX_POST_WRITE_ALREADY_ITEM	[Lonca] Mesaj başı sadece bir eşya gönderebilirsin.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Bölünmüş bir yığını bir mesaja ekledikten sonra envantere bırak.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Bilinmeyen alıcı. Mesaj gönderilemedi.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Alıcının posta kutusu dolu. Mesaj gönderilemedi.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Seviye 20'den itibaren mesaj gönderebilirsin.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Bu mesajı göndermek için yeterli Yang'ın yok.
MAILBOX_POST_WRITE_NAME_CHECK	Alıcıyı kontrol et seçeneğini tıklayarak alıcı adını onayla.
MAILBOX_POST_WRITE_NAME_EMPTY	Bir alıcı gir.
MAILBOX_POST_WRITE_QUESTION1	Şimdi mesajı {} kişisine gönder?
MAILBOX_POST_WRITE_QUESTION2	Teslimat ücreti: {} Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Bir alıcı gir.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Bir konu gir.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Parasal toplam
MAILBOX_POST_WRITE_WRONG_ITEM	Ruha bağlı eşyalar gönderemezsin.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Bu haber yanlış kelimeler içeriyor.
MAILBOX_POST_WRITE_WRONG_TITLE	Bu konu yanlış kelimeler içeriyor.
MALL_CANNOT_INSERT	Nesne için yeriniz yok.
MALL_PASSWORD_TITLE	Şifre
MAP_A1	Yongan Bölgesi
MAP_A2	Seungryong Vadisi
MAP_A2_1	
MAP_A3	Yayang Bölgesi
MAP_AG	Jungrang
MAP_B1	Joan Bölgesi
MAP_B2	Imji Vadisi
MAP_B3	Bokjung Bölgesi
MAP_BATTLE_FIELD	Savaş Bölgesi
MAP_BAY	Nefrit Körfezi
MAP_BAYBLACKSAND	Nefrit Körfezi
MAP_BG	Waryong
MAP_C1	Pyungmoo Bölgesi
MAP_C2	Bangsan Vadisi
MAP_C3	Bakra Bölgesi
MAP_CAPE	Ejderha Ateşi Burnu
MAP_CAPEDRAGONHEAD	Ejderha Ateşi Burnu
MAP_CG	Imha
MAP_CZ_DUNGEON	Zodyak Tapınağı
MAP_DAWN	Gautama Uçurumu
MAP_DAWNMISTWOOD	Gautama Uçurumu
MAP_DAWNMIST_DUNGEON_01	Efsunlu Orman
MAP_DEFENSE_WAVE	Gemi Savunması
MAP_DEFENSE_WAVE_PORT	Liman
MAP_DESERT	Yongbi Çölü
MAP_DESERT22	Tournament-Map
MAP_DEVILCATACOMB	Şeytan Katakombu
MAP_DEVILTOWER1	Şeytan Kulesi
MAP_DUEL	Eğitim Dövüşü Arenası
MAP_E	Koloni
MAP_EMPIREWAR01	Kale Savaşı
MAP_EMPIREWAR02	Kale Savaşı
MAP_EMPIREWAR03	Kale Savaşı
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	İmparatorluk Savaşı - Çöl Diyarı
MAP_HOLYPLACE_FLAME	İmparatorluk Savaşı - Ateş Diyarı
MAP_HOLYPLACE_ICE	İmparatorluk Savaşı - Buz Dağı
MAP_MILGYO	Hwang Tapınağı
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Yıldırım Dağları
MAP_MT_TH_DUNGEON_01	Ochao Tapınağı
MAP_NUSLUCK	Devler Diyarı
MAP_NUSLUCK01	Devler Diyarı
MAP_N_DESERT_01	Yongbi Çölü
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ateş Diyarı
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meley'in İni
MAP_N_FLAME_DUNGEON_01	Kırmızı Ejderha Kalesi
MAP_N_SNOWM_01	Sohan Dağı
MAP_N_SNOWM_02	Greenscreen
MAP_N_SNOW_DUNGEON_01	Nemere Gözlemevi
MAP_N_THREEWAY	Seungryong Vadisi
MAP_OXEVENT	OX-yarışması
MAP_MELEYS_LAIR	Meleys Lair
MAP_PATHWAY_DESERT_01	İmparatorluk Savaşı - Çöl Diyarı
MAP_PATHWAY_DESERT_02	İmparatorluk Savaşı - Çöl Diyarı
MAP_PATHWAY_DESERT_03	İmparatorluk Savaşı - Çöl Diyarı
MAP_PATHWAY_FLAME_01	İmparatorluk Savaşı - Ateş Diyarı
MAP_PATHWAY_FLAME_02	İmparatorluk Savaşı - Ateş Diyarı
MAP_PATHWAY_FLAME_03	İmparatorluk Savaşı - Ateş Diyarı
MAP_PATHWAY_ICE_01	İmparatorluk Savaşı - Buz Dağı
MAP_PATHWAY_ICE_02	Oyun Parkı
MAP_PATHWAY_ICE_03	İmparatorluk Savaşı - Buz Dağı
MAP_SKELTOWER	Gumsan Kulesi
MAP_SKIPIA_DUNGEON_01	Sürgün Mağarası
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Sürgün Mağarası 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Ejderha Tapınağı
MAP_SKIPIA_DUNGEON_BOSS_1	Örümcek Zindanı 1
MAP_SKIPIA_DUNGEON_BOSS_2	Örümcek Zindanı 2
MAP_SKIPIA_DUNGEON_BOSS_3	Örümcek Zindanı 3
MAP_SNOW	Sohan Dağı
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Örümcek Zindanı 1
MAP_SPIDERDUNGEON_02	Örümcek Zindanı 2
MAP_SPIDERDUNGEON_02_1	Örümcek Zindanı 2
MAP_SPIDERDUNGEON_03	Örümcek Zindanı 3
MAP_SUNGZI	İmparatorluk Savaşı
MAP_SUNGZI_DESERT_01	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_DESERT_HILL_01	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_DESERT_HILL_02	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_DESERT_HILL_03	İmparatorluk Savaşı - Çöl Diyarı
MAP_SUNGZI_FLAME_HILL_01	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_FLAME_HILL_02	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_FLAME_HILL_03	İmparatorluk Savaşı - Ateş Diyarı
MAP_SUNGZI_SNOW	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS01	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS02	İmparatorluk Savaşı - Buz Dağı
MAP_SUNGZI_SNOW_PASS03	İmparatorluk Savaşı - Buz Dağı
MAP_T1	Lonca Savaşı Bölgesi
MAP_T2	Lonca Savaşı Bölgesi
MAP_T3	Lonca Savaşı Bölgesi
MAP_T4	Lonca Savaşı Bölgesi
MAP_TEMPLE	Hwang Tapınağı
MAP_THUNDER	Yıldırım Dağları
MAP_TREE	Lungsam
MAP_TRENT	Hayalet Ormanı
MAP_TRENT02	Kırmızı Orman
MAP_TRENT02_A	Kızıl Orman
MAP_TRENT_A	
MAP_WEDDING_01	Düğün Köyü
MAP_WL	Yılan Vadisi
MAP_WL_01	Yılan Vadisi
MC_ACCUMULATION_COUNT	Toplanan Canavar Kartları: {}
MC_ALTER_TEXT	Görev seviyesi {}
MC_CARD_FALL_SHORT	Kaydedilen kartlar yetersiz.
MC_CARD_SHUFFLE	Kartları yeniden düzenlemek mi istiyorsun?
MC_INIT_ITEM_FALL_SHORT	{} adet yeni başlangıç kartına ihtiyacın var.
MC_MISSION_FAIL_MSG	Etkin görevin yok, ya da sınır aşılmış.
MC_MISSION_INIT	Görevi 1. seviyeye geri almak ister misin?
MC_MISSION_NO_CLEAR	Önce görevi tamamlaman gerekiyor.
MC_MOTION_BUTTON_OVER_MSG	Bu seçenek 2. yıldızdan itibaren mevcut.
MC_POLY_BUTTON_OVER_MSG	Bu seçenek 3. yıldızdan itibaren mevcut.
MC_POLY_FAIL	Şu an kendini dönüştüremezsin.
MC_POLY_QUESTION	Kendini bir canavara dönüştürmek mi istiyorsun?
MC_PROMOTION_MAX	Artık bir geliştirme yapılamaz.
MC_PROMOTION_QUESTION	Seviyeyi yükseltmek mi istiyorsun?
MC_QUESTION_BUTTON_DESC1	Geri alma 24 saat içinde sadece 6 kez yapılabilir.
MC_QUESTION_BUTTON_DESC2	Bu sınırı aşan her geri alma işlemi için daha fazla yeni başlangıç kartı gerekir.
MC_QUESTION_BUTTON_DESC3	Kalan soğuma süresini görüntülemek için buraya tıkla.
MC_REWARD_FAIL	Envanterinde yer yok.
MC_REWARD_MISSION	Canavar kartını şimdi almak ister misin?
MC_SHUFFLE_NO_ITEM	Yeni düzen kartın yok.
MC_TIME	Soğuma süresi: {}
MC_TRADE_QUESTION	{} kartın eksilir. Devam et?
MC_USE_ITEM_FAIL	Bu kart eklenemez.
MC_USE_ITEM_QUESTION	Bu canavar kartını eklemek ister misin?
MC_WARP_BUTTON_OVER_MSG	Bu seçenek 4. yıldızdan itibaren mevcut.
MC_WARP_FAIL	Artık ışınlanamazsın.
MC_WARP_LIMIT_LEVEL	Şu anki seviyen ışınlanmaya yetmiyor.
MC_WARP_QUESTION	Bu canavarın bölgesine ışınlanmak ister misin?
MESSENGER_ADD_BLOCK_FRIEND	Ekle
MESSENGER_ADD_FRIEND	Arkadaş ekle
MESSENGER_BLOCK	Engellendi
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	{} seni arkadaş olarak ekledi.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Kabul et?
MESSENGER_DO_YOU_DELETE	Sil?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Cep telefonu numaranızı silmek istiyor musunuz?
MESSENGER_DO_YOU_MOVE	Devam etmek istiyor musun?
MESSENGER_EMPTY_LIST	Boş
MESSENGER_FAMILY	Aile
MESSENGER_FRIEND	Arkadaşlar
MESSENGER_GUILD	Lonca
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Cep telefonunuza gönderilen onay numarasını giriniz.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Onaylama kodunu gir.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Text mesajlarının gönderilmesi için cep telefonu numaranızı giriniz.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Numarayı şimdi girmek istiyor musun?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Cep telefonu numaranızı giriniz.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Mesaj gönder.
METIN_TEST	
MINIGAME_FISH_EVENT_ADD_ACCEPT	Bunu eklemek istiyor musun?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Bu nesneyi gerçekten düşürmek istiyor musun?
MINIGAME_FISH_EVENT_REWARD_MSG	{} aldın.
MINIGAME_FISH_EVENT_USE_ACCEPT	Bunu kullanmak istiyor musun?
MINIMAP	Küçük Haritayı aç
MINIMAP_CANNOT_SEE	Küçük Haritayi göremezsiniz.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Küçük Harita görüntülenemiyor.
MINIMAP_DEC_SCALE	Uzaklaştır
MINIMAP_INC_SCALE	Yakınlaştır
MINIMAP_OBSERVER_COUNT	{} izleyici
MINIMAP_SHOW_AREAMAP	Genel Görünüm Haritası'nı aç
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Birden fazla {} kullanırsan, aynı sayıda sandık kazanırsın.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	En fazla {} kral destesi kullanabilirsin.
MINI_GAME_CATCHKING_HELP_MSG1	Tüh! Kartının değeri daha düşük.\nPuan almıyorsun. Destenden yeni bir kart seç.
MINI_GAME_CATCHKING_HELP_MSG2	Aferin! Kartların değeri eşit.\n Oyun hamlen sona erdi. Destenden yeni bir kart seç.
MINI_GAME_CATCHKING_HELP_MSG3	Devam et! Kartının değeri daha yüksek.\nBir kart daha aç.
MINI_GAME_CATCHKING_HELP_MSG4	Açtığın kartın menzilinde bir [5] vardı.\nMaalesef puan alamıyorsun. Şimdi kralını seç [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Kral kaçtı! Oyun bitti. \nEn az 10 puan aldıysan, şimdi ödülünü etkinleştirebilirsin.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Bir ödül etkinleştiremezsin.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Yakında bir [5] var.
MINI_GAME_CATCHKING_START_QUESTION	Bu tur için senden çekilenler: {} Yang ve {}: {} adet\nŞimdi oynamak istiyor musun?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Şu kartı yakalayabilir: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Şu kartları yakalayabilir: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Şu kartları yakalayabilir: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Şu kartları yakalayabilir: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Şu kartları yakalayabilir: [1], [2], [3], [4], [5]\nBir diğer [5] açılan kartınla bitişik ise,\n oyun hamlesi sonlandırılır ve sen puan almazsın.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Şu kartı yakalayabilir: [K]
