ACCEPT	Tamam
MINI_BOSS_DUNGEON_TOOTIP_04	Giriş
MINI_BOSS_DUNGEON_TOOTIP_05	Kalan süre
ADMIN_MANAGER_GENERAL_SKILL_TITLE	Beceriler
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_BUTTON	TAMAM MI
ROULETTE_SPECIAL_TITLE	Ödüller ({})
NEW_OPTIONS_WINDOW_GENERAL_EFFECTS_LABEL	Genel etkiler
NEW_OPTIONS_WINDOW_IGNORE_REQUESTS_BIG_LABEL	Ayarları isteyin
ADMIN_MANAGER_OBSERVER_STOPPED_TITLE	İzlemek için bir oyuncu adı girin:
NEW_OPTIONS_WINDOW_SHOW_CHAT_CHECK_BOX	Sohbeti göster
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Sıralamalar
NEW_OPTIONS_WINDOW_VIEW_DIST_FAR	Uzaktan kumanda
ADMIN_MANAGER_ITEM_MAIN_TABLE_IPOS	durum
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_REASON	sebep
ADMIN_MANAGER_ITEM_MAIN_TITLE	Öğeler
ADMIN_MANAGER_GENERAL_TABLE_MAP_INDEX	harita
NEW_OPTIONS_WINDOW_PVP_MODE_FREE_RADIOBTN	Bedava
MINI_BOSS_DUNGEON_TITLE_NAME	Soyadı
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_SHOPS_CHECK_BOX	Çevrimdışı mağazaları göster
NEW_OPTIONS_WINDOW_GUILD_NOTIFY_CHECK_BOX	Lonca üyesi çevrimiçi bildirimi
MINI_GAME_BLACK_AND_WHITE_DONATE	Bağış yap
ADMIN_MANAGER_ITEM_MAIN_TABLE_IWINDOW	pencere
ADMIN_MANAGER_MAPVIEWER_SELECT_TITLE	Kart seçimi
ADMIN_MANAGER_TITLE	GM paneli
ADMIN_MANAGER_OBSERVER_ACCOUNTBAN_TITLE	Hesap kilidi
NEW_OPTIONS_WINDOW_IGNORE_FRIEND_ADD_CHECK_BOX	Arkadaş isteği
NEW_OPTIONS_WINDOW_IGNORE_PARTY_JOIN_REQ_CHECK_BOX	Gruba katılma
NEW_OPTIONS_WINDOW_OTHER_BIG_LABEL	Diğer
ADMIN_MANAGER_MAPVIEWER_PLAYER_OPTION	Oyuncuyu göster
ADMIN_MANAGER_OBSERVER_NAVI_BTN_1	Genel
ADMIN_MANAGER_GENERAL_SEARCH_PLAYER	Oyuncu ara:
ADMIN_MANAGER_OBSERVER_NAVI_BTN_3	Haberler
ADMIN_MANAGER_OBSERVER_NAVI_BTN_4	Kilit
ADMIN_MANAGER_ITEM_MAIN_TABLE_IID	İD
ADMIN_MANAGER_MAPVIEWER_STONE_OPTION	Taşları göster
ADMIN_MANAGER_NAVI_BTN_1	Genel
NEW_OPTIONS_WINDOW_PVP_MODE_GUILD_RADIOBTN	lonca
NEW_OPTIONS_WINDOW_DISPLAY_FPS_CHECK_BOX	FPS reklamları
NEW_OPTIONS_WINDOW_SHOW_NPC_BIG_LABEL	NPC'leri göster / gizle
ADMIN_MANAGER_NAVI_BTN_3	izleme
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLES_CHECK_BOX	Mağaza tabelalarını göster
NEW_OPTIONS_WINDOW_GENERAL_BIG_LABEL	Genel
NEW_OPTIONS_WINDOW_BUFF_EFFECTS_LABEL	Buff etkileri
NEW_OPTIONS_WINDOW_DISPLAY_MODE_FULL_SCREEN	Tam ekran
MINI_GAME_FINDM_UPGRADE_BAR2	Peri (yang)
MINI_GAME_FINDM_TRY_COUNT_TEXT	Denemeler
NEW_OPTIONS_WINDOW_SHOW_NPC_PETS_CHECK_BOX	Evcil hayvanları göster
MINI_GAME_FINDM_HINT_BTN	İpucu
NEW_OPTIONS_WINDOW_FONT_TYPE_TAHOMA	Tahoma
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Omuz Kuşağı Göster
NEW_OPTIONS_WINDOW_PVP_MODE_PEACE_RADIOBTN	Barış
DRAGONSOUL_PAGE_BUTTON_7	Kahraman
NEW_OPTIONS_WINDOW_BATTLE_DMG_INFO_CHECK_BOX	Hasar bildirimi
NEW_OPTIONS_WINDOW_PAGE2_LEFTBTN0_NAME	Genel bir kural olarak
NEW_OPTIONS_WINDOW_YANG_DISPLAY_CHECK_BOX	Yang damla miktarlarını göster
ADMIN_MANAGER_BAN_CHAT_RESULT_UNBAN_BUTTON	Kilidini aç
NEW_OPTIONS_WINDOW_TITLE	Seçenekler
MINI_GAME_FINDM_UPGRADE_RETRY	Yükseltmeyi dene
MINI_BOSS_DUNGEON_DESC_BTN	Etkinlik Kuralları
ADMIN_MANAGER_ITEM_MAIN_TABLE_OTYPE	Sahiplik sanatı
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_UNBAN_BUTTON	Kilidini aç
ADMIN_MANAGER_OBSERVER_WHISPER_NAME_TITLE	Sohbet arkadaşı
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_PETS_CHECK_BOX	Düzleştirilebilir evcil hayvanları göster
ADMIN_MANAGER_MAPVIEWER_NPC_OPTION	NPC'leri göster
NEW_OPTIONS_WINDOW_NOTIFICATION_BIG_LABEL	Bildirimler
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_MID	orta
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_HIGH	Yüksek
NEW_OPTIONS_WINDOW_SHOW_MOB_LEVEL_CHECK_BOX	Canavar seviyelerini göster
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN1_NAME	Genişletilmiş
ADMIN_MANAGER_BAN_LOG_NODATA	Veri yok
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	başla
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_LABEL	Kamera mesafesi
NEW_OPTIONS_WINDOW_PVP_MODE_HOSTILE_RADIOBTN	Hasım
NEW_OPTIONS_WINDOW_VIEW_DIST_MID	merkez
PRIVATE_SHOP_OPEN_BUTTON	Mağaza aç
NEW_OPTIONS_WINDOW_WHISPER_TP_FRIEND_CHECK_BOX	Arkadaşlar
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_MID	orta
NEW_OPTIONS_WINDOW_TNL_GPU	GPU
ADMIN_MANAGER_BAN_LOG_BUTTON	TAMAM MI
CUBE_RESULT_TITLE	Sonuç
NEW_OPTIONS_WINDOW_FONT_TYPE_LABEL	GUI yazı tipi
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BAN_BUTTON	Kilit
ROULETTE_SPIN_TEXT2	50 ruh
ROULETTE_SPIN_TEXT3	250.000 yang
ADMIN_MANAGER_GENERAL_TABLE_CHANNEL	Kanal
ROULETTE_SPIN_TEXT1	ÇEVİRMEK
NEW_OPTIONS_WINDOW_SHOW_PLAYER_NAME_CHECK_BOX	Oyuncu isimlerini göster
NEW_OPTIONS_WINDOW_SFX_VOLUME_LABEL	Efekt hacmi
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_WINDOW_CHECK_BOX	Yang ve eşya düşüşlerini ekstra pencerede göster
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_NEAR	Kapat
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_GM_NAME	GM adı
NEW_OPTIONS_WINDOW_DISPLAY_RES_LABEL	Çözünürlük
ADMIN_MANAGER_GENERAL_TABLE_PID	İD
ADMIN_MANAGER_GENERAL_TABLE_NAME	Oyuncu ismi
ADMIN_MANAGER_ITEM_MAIN_TABLE_ONAME	sahip
ADMIN_MANAGER_BAN_CHAT_TITLE	Sohbet kilitleri
NEW_OPTIONS_WINDOW_FONT_TYPE_ARIAL	Arial
EVENT_JOIN_ACCEPT_BUTTON	katılım
APPLY	Uygula
ADMIN_MANAGER_ITEM_MAIN_SEARCH_BUTTON	Arama
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Omuz Kuşağı Göster
NEW_OPTIONS_WINDOW_SKILL_EFFECTS_LABEL	Beceri Etkileri
NEW_OPTIONS_WINDOW_FRIEND_NOTIFY_CHECK_BOX	Çevrimiçi arkadaş bildirimi
NEW_OPTIONS_WINDOW_VIEW_DIST_NEAR	Kapat
ADMIN_MANAGER_OBSERVER_STOPPED_BUTTON	İzlemeye başlayın
NEW_OPTIONS_WINDOW_WHISPER_TP_GUILD_CHECK_BOX	lonca
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLE_RANGE_LABEL	Mağaza işaretleri görünürlüğü
ADMIN_MANAGER_MAPVIEWER_ORE_OPTION	Damarları göster
SPLIT_ITEM	Bölünmüş
NEW_OPTIONS_WINDOW_TAB1_NAME	Görüntü
ADMIN_MANAGER_BAN_CHAT_UNBAN_BUTTON	Kilidini aç
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_PLAYER	Oyuncu bulunamadı.
ADMIN_MANAGER_NAVI_BTN_4	Kilit
ADMIN_MANAGER_NAVI_BTN_5	Öğeler
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_TYPE	Tür
NEW_OPTIONS_WINDOW_DISPLAY_MODE_WINDOWED	pencere
NEW_OPTIONS_WINDOW_MARK_NEW_ITEMS_CHECK_BOX	Yeni öğeleri işaretle
MINI_BOSS_DUNGEON_TOOTIP_07	Kalan Kıyametler
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_CHECK_BOX	Eşya damlalarını göster
ADMIN_MANAGER_BAN_CHAT_RESULT_BAN_BUTTON	Kilit
NEW_OPTIONS_WINDOW_TAB0_NAME	oyun
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_BUTTON	TAMAM MI
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Arama
ADMIN_MANAGER_MAPVIEWER_SELECT_BUTTON	Bakmak
NEW_OPTIONS_WINDOW_SHOW_NPC_NAME_CHECK_BOX	NPC adlarını göster
ROULETTE_TITLE	Ödüller
ADMIN_MANAGER_OBSERVER_NAVI_BTN_2	ekipman
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN0_NAME	karakter
ADMIN_MANAGER_BAN_ACCOUNT_UNBAN_BUTTON	Kilidini aç
NEW_OPTIONS_WINDOW_PICKUP_EQ_CHECK_BOX	EQ'yu iptal et
NEW_OPTIONS_WINDOW_GM_NOTIFY_CHECK_BOX	GM çevrimiçi bildirimi
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_PROOF	kanıt
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_NAME	Soyadı
ADMIN_MANAGER_OBSERVER_CHATBAN_TITLE	Sohbet kilidi
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DURATION_NEW	Süresi
ADMIN_MANAGER_BAN_CHAT_SEARCH_BUTTON	Arama
NEW_OPTIONS_WINDOW_BGM_VOLUME_LABEL	Müzik sesi
NEW_OPTIONS_WINDOW_SHOW_COUNTRY_FLAGS_CHECK_BOX	Dil bayraklarını göster
NEW_OPTIONS_WINDOW_SHOW_NPC_MOUNTS_CHECK_BOX	Montajları göster
NEW_OPTIONS_WINDOW_IGNORE_WHISPER_CHECK_BOX	fısıldamak
ADMIN_MANAGER_ITEM_MAIN_TABLE_INAME	Öğe adı
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_LOW	Düşük
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_FAR	Uzaktan kumanda
NEW_OPTIONS_WINDOW_SHOW_EVENT_METIN_SKIN_CHECKBOX	Etkinlik Metin Görünümü
MINI_GAME_FINDM_UPGRADE_RECV	Ürün Al
ADMIN_MANAGER_MAPVIEWER_STOP_BUTTON	Durdurmak için
NEW_OPTIONS_WINDOW_VIEW_DIST_LABEL	Görünürlük
NEW_OPTIONS_WINDOW_SOFTWARE_TILING_LABEL	Yazılım döşeme
MINI_BOSS_TITLE	Zodyak Kıyamet
NEW_OPTIONS_WINDOW_DISPLAY_MODE_LABEL	Ekran modu
ADMIN_MANAGER_MAPVIEWER_MOB_OPTION	Canavarları göster
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN2_NAME	Topluluk
MINI_BOSS_DUNGEON_TITLE_POINT	Kıyamet Puanları
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_VERY_HIGH	maksimum
ADMIN_MANAGER_BAN_CHAT_RESULT_BACK_BUTTON	Geri
ADMIN_MANAGER_NAVI_BTN_2	MapViewer
ADMIN_MANAGER_ITEM_MAIN_TABLE_OID	Sahip kimliği
NEW_OPTIONS_WINDOW_IGNORE_PARTY_INVITE_CHECK_BOX	Grup daveti
NEW_OPTIONS_WINDOW_SHOW_MOB_AGGRO_CHECK_BOX	Saldırgan canavar göster
NEW_OPTIONS_WINDOW_WHISPER_TP_BIG_LABEL	Fısıltı Çarpıtma
NEW_OPTIONS_WINDOW_SHOW_SPECULAR_CHECKBOX	İşaretçi parıldıyor
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_LABEL	Gölge seviyesi
MINI_BOSS_DUNGEON_TITLE_NUM	Sıra
NEW_OPTIONS_WINDOW_SHOW_NAME_BIG_LABEL	İsimleri göster / gizle
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_NONE	Yok
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN3_NAME	Alma filtresi
NEW_OPTIONS_WINDOW_SHOW_ITEM_NAME_CHECK_BOX	Öğe adlarını göster
ADMIN_MANAGER_GENERAL_SEARCH_PLAYER_BUTTON	Haydi!
MINI_GAME_FINDM_UPGRADE_BAR1	Öğe
NEW_OPTIONS_WINDOW_SHOW_MONSTER_NAME_CHECK_BOX	Canavar isimlerini göster
NEW_OPTIONS_WINDOW_IGNORE_TRADE_CHECK_BOX	Ticaret soruları
NEW_OPTIONS_WINDOW_TNL_CPU	İşlemci
NEW_OPTIONS_WINDOW_TAB2_NAME	Ses
ADMIN_MANAGER_GENERAL_GM_ITEM_TRADE_OPTION	Ticaret GM Eşyası
MINI_GAME_FINDM_START_BTN	Oyunu başlatmak
NEW_OPTIONS_WINDOW_IGNORE_DUEL_REQ_CHECK_BOX	Düello isteği
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Ödüller
MINI_GAME_FINDM_UPGRADE_TITLE	Ödülü Geliştirin
ADMIN_MANAGER_BAN_ACCOUNT_TITLE	Hesap kilitlenmeleri
INVENTORY_TEXT1	Ekipmanlar
INVENTORY_TEXT2	Yüzükler
INVENTORY_TEXT3	Kostüm
INVENTORY_TEXT4	tılsım
INVENTORY_TEXT5	Efsun botu
INVENTORY_TEXT6	Depolama
INVENTORY_TEXT7	Arama Camı
INVENTORY_TEXT8	Zindan bilgisi
INVENTORY_TEXT9	Simya
INVENTORY_TEXT10	Pazar Yönetimi
INVENTORY_TEXT11	Wiki
INVENTORY_TEXT12	Crafting
OPTIONSWINDOW_TEXT1	Silahlar
OPTIONSWINDOW_TEXT2	Kılıç
OPTIONSWINDOW_TEXT3	Hançer
OPTIONSWINDOW_TEXT4	Yay
OPTIONSWINDOW_TEXT5	İki el
OPTIONSWINDOW_TEXT6	Çan
OPTIONSWINDOW_TEXT7	Yelpaze
OPTIONSWINDOW_TEXT8	Zırh
OPTIONSWINDOW_TEXT9	Zırh
OPTIONSWINDOW_TEXT10	Kask
OPTIONSWINDOW_TEXT11	Kalkan
OPTIONSWINDOW_TEXT12	Bileklik
OPTIONSWINDOW_TEXT13	Ayakkabı
OPTIONSWINDOW_TEXT14	Kolye
OPTIONSWINDOW_TEXT15	Küpeler
BATTLEPASS_TEXT9	tamamlandı: henüz bitmedi
BATTLEPASS_TEXT10	Genel ilerleme
FISHING_RENEWAL_TITLE	Balık tutma
INVENTORY_TEXT121	Avcılık Görevleri
INVENTORY_TEXT122	Worldboss zamanlayıcı
INVENTORY_TEXT123	Yetenek ağacı
HEX_CODE	HEX-İD
HUNT_REWARDS	Oyuncu ismi
HUNT_MISSIONS	sahip
NEW_OPTIONS_WINDOW_SHOW_CHAT_LINKS_CHECK_BOX	Sohbet kilitleri
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN1_NAME	İsim ve Yazı
ADMIN_MANAGER_ITEM_MAIN_TABLE_IGMITEM	katılım
NEW_OPTIONS_WINDOW_WHISPER_TP_OTHER_CHECK_BOX	Kralı Yakala
MINI_GAME_FINDM_UPGRADE_BAR1	Arama
NEW_OPTIONS_WINDOW_SHOW_PLAYER_SASHES_CHECK_BOX	Omuz Kuşağı Göster
MINI_GAME_CATCHKING_HIGH_SCORE	Seçin Kanalı
NEW_OPTIONS_WINDOW_IGNORE_GUILD_INVITE_CHECK_BOX	Lonca Daveti
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DATE	Çevrimiçi Arkadaş Açılır Penceresi
MINI_GAME_CATCHKING_START_TEXT	Yakın
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_TEXT	İzlemeye baslayın
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_TYPE	Lonca
ADMIN_MANAGER_GENERAL_TABLE_EMPIRE	Uygulamak
ADMIN_MANAGER_OBSERVER_NAVI_TITLE	Baslat
NEW_OPTIONS_WINDOW_PVP_MODE_BIG_LABEL	PvP Modu
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN0_NAME	Ekran
MINI_BOSS_DUNGEON_TOOTIP_08	Bölünmüş
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BACK_BUTTON	Video
MINI_GAME_YUTNORI_PROB_DESC	Kilidini aç
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_ACCOUNT	GUI Yazı Tipi
MINI_BOSS_DUNGEON_TOOTIP_02	Kilit
MINI_BOSS_DUNGEON_TOOTIP_03	Öğeler
MINI_BOSS_DUNGEON_TOOTIP_01	Yut
MINI_BOSS_DUNGEON_TOOTIP_06	Pzt
NEW_OPTIONS_WINDOW_SHOW_NPC_SHOPS_CHECK_BOX	Gae
MINI_BOSS_DUNGEON_TOOTIP_04	Pencere
MINI_BOSS_DUNGEON_TOOTIP_05	Yeni Öğeleri İşaretle
ADMIN_MANAGER_GENERAL_SKILL_TITLE	Kalan Kıyametler
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_BUTTON	Mağaza Adı Aralığı
ROULETTE_SPECIAL_TITLE	Öğe damlalarını göster
NEW_OPTIONS_WINDOW_GENERAL_EFFECTS_LABEL	Genel Efektler
MINI_GAME_CATCHKING_CHALLENGE	Pop-up'ı göster / gizle
NEW_OPTIONS_WINDOW_IGNORE_REQUESTS_BIG_LABEL	Oyun
ADMIN_MANAGER_OBSERVER_STOPPED_TITLE	Balıkçılık Bulmaca
NEW_OPTIONS_WINDOW_SHOW_CHAT_CHECK_BOX	Sohbeti göster
MINI_GAME_CATCHKING_RETRY	Arama
MINI_GAME_YUTNORI_REWARD_TEXT	Bakmak
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	NPC Adlarını Göster
NEW_OPTIONS_WINDOW_VIEW_DIST_FAR	Uzak
ADMIN_MANAGER_ITEM_MAIN_TABLE_IPOS	ekipman
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_REASON	Karakter
ADMIN_MANAGER_ITEM_MAIN_TITLE	Binekleri Göster
ADMIN_MANAGER_GENERAL_TABLE_MAP_INDEX	Pikap Ekipmanları
NEW_OPTIONS_WINDOW_PVP_MODE_FREE_RADIOBTN	Serbest
MINI_BOSS_DUNGEON_TITLE_NAME	kanıt
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_SHOPS_CHECK_BOX	Offline mağazaları göster
NEW_OPTIONS_WINDOW_GUILD_NOTIFY_CHECK_BOX	Çevrimiçi Lonca Üyesi Bildirimi
MINI_GAME_BLACK_AND_WHITE_DONATE	Süresi
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_PLAYER	Arama
ADMIN_MANAGER_ITEM_MAIN_TABLE_IWINDOW	Müzik sesi
ADMIN_MANAGER_MAPVIEWER_SELECT_TITLE	Bayrakları patronları
ADMIN_MANAGER_TITLE	Puanlar
ADMIN_MANAGER_OBSERVER_ACCOUNTBAN_TITLE	Fısıltı
NEW_OPTIONS_WINDOW_IGNORE_FRIEND_ADD_CHECK_BOX	Arkadaş isteği
NEW_OPTIONS_WINDOW_IGNORE_PARTY_JOIN_REQ_CHECK_BOX	Gruba Girme Talebi
NEW_OPTIONS_WINDOW_OTHER_BIG_LABEL	Diğer
ADMIN_MANAGER_MAPVIEWER_PLAYER_OPTION	Oyuncuyu göster
ADMIN_MANAGER_OBSERVER_NAVI_BTN_1	Genel
ADMIN_MANAGER_GENERAL_SEARCH_PLAYER	Oyuncu ara:
ADMIN_MANAGER_OBSERVER_NAVI_BTN_3	Haberler
ADMIN_MANAGER_OBSERVER_NAVI_BTN_4	Kilit
ADMIN_MANAGER_ITEM_MAIN_TABLE_IID	İD
ADMIN_MANAGER_MAPVIEWER_STONE_OPTION	Taşları göster
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_PLAYER_TEXT	oyuncu
MINI_GAME_YUTNORI_YUTSEM1	yapmak
NEW_OPTIONS_WINDOW_DISPLAY_FPS_CHECK_BOX	FPS Göstergesi
NEW_OPTIONS_WINDOW_SHOW_NPC_BIG_LABEL	NPC'leri göster
MINI_GAME_CATCHKING_MYNUMBER	Benim kartım
ADMIN_MANAGER_NAVI_BTN_3	izleme
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLES_CHECK_BOX	Mağaza adlarını göster
NEW_OPTIONS_WINDOW_GENERAL_BIG_LABEL	Genel
NEW_OPTIONS_WINDOW_BUFF_EFFECTS_LABEL	Buff Efektleri
NEW_OPTIONS_WINDOW_DISPLAY_MODE_FULL_SCREEN	Tam ekran
MINI_GAME_FINDM_UPGRADE_BAR2	Peri (yang)
MINI_GAME_FINDM_TRY_COUNT_TEXT	Denemeler
MINI_GAME_FISH_HELP_TEXT	Yardım Edin
NEW_OPTIONS_WINDOW_SHOW_NPC_PETS_CHECK_BOX	Evcil Hayvanları Göster
MINI_GAME_FINDM_HINT_BTN	İpucu
MINI_GAME_YUTNORI_COM_TEXT	bilgisayar
NEW_OPTIONS_WINDOW_FONT_TYPE_TAHOMA	Tahoma
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Omuz Kuşağı Göster
NEW_OPTIONS_WINDOW_PVP_MODE_PEACE_RADIOBTN	Barış
DRAGONSOUL_PAGE_BUTTON_7	Kahraman
NEW_OPTIONS_WINDOW_BATTLE_DMG_INFO_CHECK_BOX	Hasarı göster
NEW_OPTIONS_WINDOW_PAGE2_LEFTBTN0_NAME	Genel
NEW_OPTIONS_WINDOW_YANG_DISPLAY_CHECK_BOX	Düşen Altını Göster
ADMIN_MANAGER_BAN_CHAT_RESULT_UNBAN_BUTTON	Kilidini aç
NEW_OPTIONS_WINDOW_TITLE	Seçenekler
MINI_GAME_CATCHKING_SELECTION_NUMBER	Açığa Çıkan Kart
MINI_GAME_FINDM_UPGRADE_RETRY	Yükseltmeyi dene
MINI_BOSS_DUNGEON_DESC_BTN	Etkinlik Kuralları
ADMIN_MANAGER_ITEM_MAIN_TABLE_OTYPE	Sahiplik sanatı
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_UNBAN_BUTTON	Kilidini aç
ADMIN_MANAGER_OBSERVER_WHISPER_NAME_TITLE	Sohbet arkadaşı
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_PETS_CHECK_BOX	Seviye hayvanlarını göster
ADMIN_MANAGER_MAPVIEWER_NPC_OPTION	NPC'leri göster
NEW_OPTIONS_WINDOW_NOTIFICATION_BIG_LABEL	Bildirim Pencereleri
MINI_GAME_YUTNORI_THROW	Atmak
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_MID	orta
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_HIGH	Yüksek
NEW_OPTIONS_WINDOW_SHOW_MOB_LEVEL_CHECK_BOX	Canavar seviyesini göster
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN1_NAME	Gelişmiş Seçenekler
ADMIN_MANAGER_BAN_LOG_NODATA	Veri yok
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	başla
MINI_GAME_CATCHKING_HELP_TEXT	Kurallar
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_LABEL	Kamera Mesafesi
NEW_OPTIONS_WINDOW_PVP_MODE_HOSTILE_RADIOBTN	Arkadaşcıl
NEW_OPTIONS_WINDOW_VIEW_DIST_MID	Orta
PRIVATE_SHOP_OPEN_BUTTON	Mağaza aç
NEW_OPTIONS_WINDOW_WHISPER_TP_FRIEND_CHECK_BOX	Arkadaşlar
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_MID	orta
NEW_OPTIONS_WINDOW_TNL_GPU	GPU
ADMIN_MANAGER_BAN_LOG_BUTTON	TAMAM MI
ADMIN_MANAGER_GENERAL_GM_ITEM_TRADE_OPTION	Ticaret GM Eşyası
ADMIN_MANAGER_BAN_ACCOUNT_UNBAN_BUTTON	Kilidini aç
MINI_GAME_FISH_START_TEXT	başla
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BAN_BUTTON	Kilit
ROULETTE_SPIN_TEXT2	50 ruh
ROULETTE_SPIN_TEXT3	250.000 yang
ADMIN_MANAGER_GENERAL_TABLE_CHANNEL	Kanal
ROULETTE_SPIN_TEXT1	ÇEVİRMEK
NEW_OPTIONS_WINDOW_SHOW_PLAYER_NAME_CHECK_BOX	Oyuncu isimlerini göster
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_LOW	Düşük
NEW_OPTIONS_WINDOW_SFX_VOLUME_LABEL	Efekt sesi
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_WINDOW_CHECK_BOX	Düşen Yang ve İtemleri Ek Pencerede Göster
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_NEAR	Yakın
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_GM_NAME	GM adı
NEW_OPTIONS_WINDOW_PVP_MODE_GUILD_RADIOBTN	Lonca
NEW_OPTIONS_WINDOW_DISPLAY_RES_LABEL	Çözünürlük
ADMIN_MANAGER_GENERAL_TABLE_PID	İD
ADMIN_MANAGER_GENERAL_TABLE_NAME	Oyuncu ismi
ADMIN_MANAGER_ITEM_MAIN_TABLE_ONAME	sahip
ADMIN_MANAGER_BAN_CHAT_TITLE	Sohbet kilitleri
NEW_OPTIONS_WINDOW_FONT_TYPE_ARIAL	Arial
EVENT_JOIN_ACCEPT_BUTTON	katılım
MINI_GAME_CATCHKING_TITLE	Kralı Yakala
ADMIN_MANAGER_ITEM_MAIN_SEARCH_BUTTON	Arama
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Omuz Kuşağı Göster
MOVE_CHANNEL_TITLE	Kanal Seçin
NEW_OPTIONS_WINDOW_SKILL_EFFECTS_LABEL	Yetenek Efektleri
NEW_OPTIONS_WINDOW_FRIEND_NOTIFY_CHECK_BOX	Çevrimiçi Arkadaş Bildirimi
NEW_OPTIONS_WINDOW_VIEW_DIST_NEAR	Yakın
ADMIN_MANAGER_OBSERVER_STOPPED_BUTTON	Überwachung starten
NEW_OPTIONS_WINDOW_WHISPER_TP_GUILD_CHECK_BOX	Lonca
APPLY	Uygula
MINI_GAME_YUTNORI_START_TEXT	Başlat
ADMIN_MANAGER_MAPVIEWER_ORE_OPTION	Adern zeigen
MINI_GAME_YUTNORI_PROBABILITY	Şans
SPLIT_ITEM	Bölünmüş
NEW_OPTIONS_WINDOW_TAB1_NAME	Görüntü
ADMIN_MANAGER_BAN_CHAT_UNBAN_BUTTON	Sperre aufheben
NEW_OPTIONS_WINDOW_FONT_TYPE_LABEL	GUI Yazı Tipi
ADMIN_MANAGER_NAVI_BTN_4	Sperren
ADMIN_MANAGER_NAVI_BTN_5	Öğeler
MINI_GAME_YUTNORI_YUTSEM4	Yut
