ACCE_ABSORB_COST	Pret Absorbtie: {}
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Оnfometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de luptг
HORSE_LEVEL3	Cal militar
HOUR	Ore
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei sг distuge {}?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei sг distuge {} {}?
INPUT_MATRIX_CARD_NUMBER	Introdu numгrul plгcii matrix
INPUT_MATRIX_CARD_TITLE	Placa matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de єtergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Єterge caracterul
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamentul nu poate fi adгugat.
INVENTORY_REALLY_USE_ITEM	Doresti sa folosesti asta pe acest obiect?
INVENTORY_REALLY_USE_ITEM2	Eєti sigur ca doreєti sг foloseєti acest obiect?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Doresti sa pui insotitorul in Cutia de Transport?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Doresti sa deschizi Cutia de Transport?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Doresti sa hranesti cu {} pe {}?
IS_NOT_PET_CHANGE_ITEM	Acesta nu este obiect de Оnsoюitor Magic.
IS_NOT_PET_ITEM	Acesta nu este un оnsoюitor.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Niciuna
JOB_ASSASSIN1	Ninja Sabie
JOB_ASSASSIN2	Ninja Arc
JOB_SHAMAN	Saman
JOB_SHAMAN0	Niciuna
JOB_SHAMAN1	Єaman Dragon
JOB_SHAMAN2	Єaman Vindecare
JOB_SURA	Sura
JOB_SURA0	Niciuna
JOB_SURA1	Sura Arme
JOB_SURA2	Sura Magie
JOB_WARRIOR	Razboinic
JOB_WARRIOR0	Niciuna
JOB_WARRIOR1	Rгzboinic Corp
JOB_WARRIOR2	Rгzboinic Mental
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan Fals
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Ieєi fгrг sг salvezi?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] nu sunt permise!
KEYCHANGE_SAVE_EXIT	Salvezi єi ieєi?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	0
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	0
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DOWN
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEFT
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	RIGHT
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACE
KEY_SUBTRACT	-0
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	UP
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Numele Liderului
LEFT_TIME	Timp rгmas
LOGIN_CONNECT_FAILURE	Eroare la conectarea la server.
LOGIN_CONNECT_SUCCESS	Ai fost conectat la server.
LOGIN_CONNETING	Te rugгm aєteapг оn timp ce te conectezi la server.
LOGIN_FAILURE_ALREAY	Contul tгu este deja conectat.
LOGIN_FAILURE_BACKEND_ERR	A apгrut o eroare. Contacteazг Suportul.
LOGIN_FAILURE_BE_SAME_KEY	Problemг la login
LOGIN_FAILURE_BLOCK_ID	Acest cont a fost blocat.
LOGIN_FAILURE_BLOCK_LOGIN	Alege alt server!
LOGIN_FAILURE_COUNTRY_ERR	Codukl югrii este incorect. \nContacteazг Suportul.
LOGIN_FAILURE_INTEGRTING	Contul este оn proces de fuziune. Te rugгm sг оncerci mai tвrziu.
LOGIN_FAILURE_NOBILL	Contul nu a оnregistrat timp de joc.
LOGIN_FAILURE_NOT_AVAIL	Contul nu este disponibil.
LOGIN_FAILURE_NOT_EXIST_ID	Nume contului sau parola sunt greєite.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Trebuie sг verifici adresa de email a contului.
LOGIN_FAILURE_REPAIR_ID	Obiectele au fost restaurate pentru acest cont.
LOGIN_FAILURE_SAMELOGIN	Cineva s-a conectat la contul tau.
LOGIN_FAILURE_SHUTDOWN	Serverul nu este оncг deschis.
LOGIN_FAILURE_STEAM_SESSION	Sesiunea ta a expirat. Reporneєte clientul.
LOGIN_FAILURE_TOO_MANY_USER	Conectarea nu s-a realizat pentru ca existг prea mulюi jucгtori.
LOGIN_FAILURE_UNKNOWN	Login a eєuat din motive necunoscute.
LOGIN_FAILURE_WEB_BLOCK	Ai fost blocat pe website. Verificг-юi mailurile.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Ai introdus un numгr greєit.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Ai introdus de 3 ori un numгr greєit. Conectarea va fi оnchisг.
LOGIN_FAILURE_WRONG_PASSWORD	Nume sau parola greєitг.
LOGIN_INPUT_ID	Introdu ID-ul.
LOGIN_INPUT_PASSWORD	Introdu parola.
LOGIN_PROCESSING	Conectarea ruleazг ...
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Niciun mesaj
MAILBOX_POST_ALL_DELETE_QUESTION1	Єtergi toate mesajele?
MAILBOX_POST_ALL_DELETE_QUESTION2	Mesajele cu ataєamente nu se vor sterge.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Nu ai niciun mesaj cu ataєament оn cutia poєtalг.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Accepюi ataєamentul? (Minus 5% taxe оn Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Mesajul nu a putut fi єters. Acceptг ataєamentul mai оntвi.
MAILBOX_POST_DELETE_QUESTION	Chiar vrei sг єtergi acest mesaj?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Obiectul nu poate fi acceptat. Nu mai existг loc оn inventar.
MAILBOX_POST_GET_ITEMS_QUESTION	Accepюi ataєamentul? (Minus 5% taxe оn Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nu poюi accepta mai mult Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nu poюi accepta mai mult Yang.
MAILBOX_POST_GM_ARRIVE	Mesaj GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Mesaje necitite: {}
MAILBOX_POST_NOT_CONFIRM_INFO_2	Fгrг ataєamente: {} / Cu ataєamente: {}
MAILBOX_POST_READ_BLOCK	Eєti sigur cг doreєti sг blochezi jucгtorul {}?
MAILBOX_POST_WRITE_ALREADY_ITEM	Poюi trimite doar un singur obiect оntr-un mesaj.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Separг obiectele оn inventar оnainte de a ataєa unul оn mesaj.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Destinatar necunoscut. Mesajul nu a putut fi trimis.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Cutia poєtalг a destinatarului este plinг. Mesajul nu a putut fi trimis.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Poюi trimite mesaje de la nivelul 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Nu ai suficient Yang pentru a trimite acest mesaj.
MAILBOX_POST_WRITE_NAME_CHECK	Confirmг numele destinatarului apгsвnd pe Verificг Destinatar.
MAILBOX_POST_WRITE_NAME_EMPTY	Completezг destinatarul.
MAILBOX_POST_WRITE_QUESTION1	Vrei sг trimiюi mesajul cгtre {} acum?
MAILBOX_POST_WRITE_QUESTION2	Cost trimitere: {} Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Completeazг un destinatar.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Completeazг un subiect.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Bani
MAILBOX_POST_WRITE_WRONG_ITEM	Nu poюi trimite niciun obiect personalizat.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Mesajul conюine cuvinte nepermise.
MAILBOX_POST_WRITE_WRONG_TITLE	Subiectul conюine cuvinte nepermise.
MALL_CANNOT_INSERT	Nu poюi poziюiona obiectul.
MALL_PASSWORD_TITLE	Parola
MAP_A1	Юinutul Yongan
MAP_A2	Valea Seungryong
MAP_A2_1	
MAP_A3	Юinutul Yayang
MAP_AG	Jungrang
MAP_B1	Юinutul Joan
MAP_B2	Valea Imji
MAP_B3	Юinutul Bokjung
MAP_BATTLE_FIELD	Zonг de Rгzboi
MAP_BAY	Trecatoarea Nephrite
MAP_BAYBLACKSAND	Trecatoarea Nephrite
MAP_BG	Waryong
MAP_C1	Юinutul Pyungmoo
MAP_C2	Valea Bangsan
MAP_C3	Юinutul Bakra
MAP_CAPE	Peninsula Dragon de Foc
MAP_CAPEDRAGONHEAD	Peninsula Dragon de Foc
MAP_CG	Imha
MAP_CZ_DUNGEON	Templul Zodiac
MAP_DAWN	Stancile Gautama
MAP_DAWNMISTWOOD	Stancile Gautama
MAP_DAWNMIST_DUNGEON_01	Pгdurea Fermecatг
MAP_DEFENSE_WAVE	Apгrare Navг
MAP_DEFENSE_WAVE_PORT	Port
MAP_DESERT	Duel-Map
MAP_DESERT22	Tournament-Map
MAP_DEVILCATACOMB	Catacomba Diavolului
MAP_DEVILTOWER1	Turnul Demonilor
MAP_DUEL	Arena Antrenament de Lupta
MAP_E	Colonie
MAP_EMPIREWAR01	Batalie Castel
MAP_EMPIREWAR02	Batalie Castel
MAP_EMPIREWAR03	Batalie Castel
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Desert Batalia Regatului
MAP_HOLYPLACE_FLAME	Tara de Foc Batalia Regatului
MAP_HOLYPLACE_ICE	Tara Inghetata Batalia Regatului
MAP_MILGYO	Templul Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Muntii Thunder
MAP_MT_TH_DUNGEON_01	Templul Ochao
MAP_NUSLUCK	Taramul Gigantilor
MAP_NUSLUCK01	Taramul Gigantilor
MAP_N_DESERT_01	Desertul Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tara de Foc
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Adгpostul lui Meley
MAP_N_FLAME_DUNGEON_01	Fortгreaюa Dragonului Roєu
MAP_N_SNOWM_01	Muntele Sohan
MAP_N_SNOWM_02	Greenscreen
MAP_N_SNOW_DUNGEON_01	Turnul lui Nemere
MAP_N_THREEWAY	Valea Seungryong
MAP_OXEVENT	Concurs OX
MAP_MELEYS_LAIR	Meleys Lair
MAP_PATHWAY_DESERT_01	Desert Batalia Regatului
MAP_PATHWAY_DESERT_02	Desert Batalia Regatului
MAP_PATHWAY_DESERT_03	Desert Batalia Regatului
MAP_PATHWAY_FLAME_01	Tara de Foc Batalia Regatului
MAP_PATHWAY_FLAME_02	Tara de Foc Batalia Regatului
MAP_PATHWAY_FLAME_03	Tara de Foc Batalia Regatului
MAP_PATHWAY_ICE_01	Tara Inghetata Batalia Regatului
MAP_PATHWAY_ICE_02	Taramul Jocului
MAP_PATHWAY_ICE_03	Tara Inghetata Batalia Regatului
MAP_SKELTOWER	Turnul Gumsan
MAP_SKIPIA_DUNGEON_01	Grota Exilului
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grota Exilului 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Templul Dragonului
MAP_SKIPIA_DUNGEON_BOSS_1	Temnita Paianjenilor 1
MAP_SKIPIA_DUNGEON_BOSS_2	Temnita Paianjenilor 2
MAP_SKIPIA_DUNGEON_BOSS_3	Temnita Paianjenilor 3
MAP_SNOW	Muntele Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Temnita Paianjenilor 1
MAP_SPIDERDUNGEON_02	Temnita Paianjenilor 2
MAP_SPIDERDUNGEON_02_1	Temnita Paianjenilor 2
MAP_SPIDERDUNGEON_03	Temnita Paianjenilor 3
MAP_SUNGZI	Batalia Regatului
MAP_SUNGZI_DESERT_01	Desert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_01	Desert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_02	Desert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_03	Desert Batalia Regatului
MAP_SUNGZI_FLAME_HILL_01	Tara de Foc Batalia Regatului
MAP_SUNGZI_FLAME_HILL_02	Tara de Foc Batalia Regatului
MAP_SUNGZI_FLAME_HILL_03	Tara de Foc Batalia Regatului
MAP_SUNGZI_SNOW	Tara Inghetata Batalia Regatului
MAP_SUNGZI_SNOW_PASS01	Tara Inghetata Batalia Regatului
MAP_SUNGZI_SNOW_PASS02	Tara Inghetata Batalia Regatului
MAP_SUNGZI_SNOW_PASS03	Tara Inghetata Batalia Regatului
MAP_T1	Zona de Lupta Breasla
MAP_T2	Zona de Lupta Breasla
MAP_T3	Zona de Lupta Breasla
MAP_T4	Zona de Lupta Breasla
MAP_TEMPLE	Templul Hwang
MAP_THUNDER	Muntii Thunder
MAP_TREE	Lungsam
MAP_TRENT	Padurea Fantoma
MAP_TRENT02	Padurea Rosie
MAP_TRENT02_A	Padurea Rosie
MAP_TRENT_A	
MAP_WEDDING_01	Harta Casatoriilor
MAP_WL	Valea Serpilor
MAP_WL_01	Valea Serpilor
MC_ACCUMULATION_COUNT	Carduri Monstru Colectate: {}
MC_ALTER_TEXT	Nivel misiune: {}
MC_CARD_FALL_SHORT	Carduri insuficiente оnregistrate.
MC_CARD_SHUFFLE	Vrei sг amesteci cardurile?
MC_INIT_ITEM_FALL_SHORT	Ai nevoie de {} Tichet(e) de Resetare
MC_MISSION_FAIL_MSG	Nicio misiune activг sau limitг depгєitг.
MC_MISSION_INIT	Vrei sг resetezi misiunea la nivel 1?
MC_MISSION_NO_CLEAR	Mai оntвi trebuie sг termini prima misiune.
MC_MOTION_BUTTON_OVER_MSG	Opюiunea este disponibilг doar la 2 stele.
MC_POLY_BUTTON_OVER_MSG	Opюiunea este disponibilг doar la 3 stele.
MC_POLY_FAIL	Nu poюi sг te transformi momentan.
MC_POLY_QUESTION	Vrei sг te transformi оn acest monstru?
MC_PROMOTION_MAX	Nu se poate avansa mai mult.
MC_PROMOTION_QUESTION	Vrei sг creєti nivelul?
MC_QUESTION_BUTTON_DESC1	Poate fi resetat doar de 6 ori оn 24 de ore.
MC_QUESTION_BUTTON_DESC2	Fiecare resetare ulterioarг necesitг mai multe Tichete de Resetare.
MC_QUESTION_BUTTON_DESC3	Apasг aici pentru afiєarea timpului ramas de calmare.
MC_REWARD_FAIL	Nu este destul loc оn inventar.
MC_REWARD_MISSION	Doreєti sг colectezi Cardul Monstru acum?
MC_SHUFFLE_NO_ITEM	Nu ai Tichet de Modificare?
MC_TIME	Calmare: {}
MC_TRADE_QUESTION	{} carduri vor fi deduse. Doreєti sг continui?
MC_USE_ITEM_FAIL	Cardul nu poate fi adгugat.
MC_USE_ITEM_QUESTION	Vrei sг adaugi acest Card Monstru?
MC_WARP_BUTTON_OVER_MSG	Opюiunea este disponibilг doar la 4 stele.
MC_WARP_FAIL	Nu te mai poюi teleporta.
MC_WARP_LIMIT_LEVEL	Nivelul tгu actual este insuficient pentru teleportare.
MC_WARP_QUESTION	Vrei sг te teleportezi оn regiunea acestui monstru?
MESSENGER_ADD_BLOCK_FRIEND	Adaugг
MESSENGER_ADD_FRIEND	Adaugг prieten
MESSENGER_BLOCK	Blocat
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	{} te-a acceptat ca prieten.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepюi?
MESSENGER_DO_YOU_DELETE	Єterge?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vrei sг єtergi numгrul de mobil?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breaslг
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Trimite codul de pe telefonul mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Introdu codul
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introdu numгrul de mobil pentru trimiterea SMS-ului.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vrei sг introduci acum numгrul de mobil?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introdu numгrul de mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Trimite mesaj.
METIN_TEST	
MINIGAME_FISH_EVENT_ADD_ACCEPT	Vrei sг adaugi?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Eєti sigur cг doreєti sг arunci acest obiect?
MINIGAME_FISH_EVENT_REWARD_MSG	Ai primit {}.
MINIGAME_FISH_EVENT_USE_ACCEPT	Vrei sг foloseєti asta?
MINIMAP	Deschide mini harta
MINIMAP_CANNOT_SEE	Harta mini nu poate fi afiєatг.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Harta mare nu poate fi afiєatг.
MINIMAP_DEC_SCALE	Minimeazг
MINIMAP_INC_SCALE	Maximeazг
MINIMAP_OBSERVER_COUNT	{} spectatori
MINIMAP_SHOW_AREAMAP	Deschide hartг mare
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Dacг pariezi multiplu pe {} vei fi recompensat cu acelaєi numгr de cufere.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Pariu maxim: {} Pachete Rege
MINI_GAME_CATCHKING_HELP_MSG1	Pгcat! Valoarea cгrюilor tale este mai micг.\nNu ai obюinut niciun punct. Alege o nouг carte din pachetul tгu.
MINI_GAME_CATCHKING_HELP_MSG2	Bravo! Cгrюile au aceeaєi valoare.\nRвndul tгu s-a terminat. Alege o nouг carte din pachetul tгu.
MINI_GAME_CATCHKING_HELP_MSG3	Юine-o tot aєa! Valoarea cгrюii tale este mai mare.\nОntoarce altг carte.
MINI_GAME_CATCHKING_HELP_MSG4	A fost un [5] оn raza cгrюii pe care ai descoperit-o.\nNu ai cвєtigat niciun punct. Acum selecteazг Regele [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Regele a scгpat! Jocul s-a terminat. \nDacг ai adunat cel putin 10 puncte, оюi poюi ridica premiul.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Nu poюi ridica niciun premiu.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	A fost un [5] оn apropiere.
MINI_GAME_CATCHKING_START_QUESTION	Pentru un joc trebuie sг plгteєti urmгtoarele: {} Yang єi {}: {} оn plus\nVrei sг joci acum?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Poate prinde urmгtoarea carte: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Poate prinde urmгtoarele cгrюi: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Poate prinde urmгtoarele cгrюi: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Poate prinde urmгtoarele cгrюi: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Poate prinde urmгtoarele cгrюi: [1], [2], [3], [4], [5]\nDacг un alt [5] se aflг оn apropierea cгrюilor descoperite,\nrвndul tгu se terminг єi nu vei primi niciun punct.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Poate prinde urmгtoarea carte: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	{}: 550 sau mai mult
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	{}: 400 - 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	{}: 10 - 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Cвєtigi 10 puncte bonus dacг descoperi toate cгrюile оn єir.
MINI_GAME_GIVEUP_QUESTION	Chiar vrei sг оntrerupi jocul? Nu vei primi nicio recompensг.
MINI_GAME_NOTICE_1	Apasг pe 'Aruncг' pentru a determina jucгtorul care оncepe.
