%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Du musst %d weitere Fertigkeitsbücher lesen, um diese Fertigkeit zu verbessern. 
%d 냥을 투자하셨습니다.	Du hast %d Yang investiert. 
%d 냥을 획득하셨습니다.	Du hast %d Yang gewonnen. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Du musst Level %d erreichen, um dein Haar wieder färben zu können. 
%d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Minuten %d Sekunden. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Minuten %d Sekunden. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Sekunden 
%d 종류 %d 마리 낚음	Du hast %d von %d gefangen. 
%d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Sekunden 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Nach %d Sekunden kann der Segen des Kaisers verwendet werden. 
%d 초간 쿨타임이 적용중입니다.	Cooldown-Zeit ungefähr %d Sekunden 
%d 초후 목적지로 이동됩니다.	%d Sekunden nach dem Ausführen kommst du zu dem Bestimmungsort. 
%d%% 확률로 관통 공격	Durchdringender Angriff mit einer Chance von %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Erfahrungserhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Erhöhung des erbeuteten Yang um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance, nach dem Sieg über einen Gegner Trefferpunkte aufzufüllen. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Erhöhung der erbeuteten Gegenstände um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 정신력 회복	Manaerhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 치명타 공격	Kritischer Angriff mit einer Chance von %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mit einer Wahrscheinlickeit von %d%% wird Mana vom Gegner genommen. 
%d%% 확률로 피해시 정신력 회복	Absorb mit einer Wahrscheinlichkeit von %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Spielzeit wird deinem Konto hinzugefügt. (Zahlung Nr. %d) 
%d의 경험치를 획득했습니다.	Du hast %d Erfahrungspunkte erhalten. 
%d초 남았습니다.	%d Sekunden bis zum Beenden. 
%d초 만큼 충전되었습니다.	%d Sekunden wurden aufgeladen. 
%d초 후 게임이 셧다운 됩니다.	Nach %d Sekunden wird das Spiel beendet. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Verbrauch: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Zahl heiligen Boden %d 
%s 군주 후보에서 삭제하였습니다	%s ist als Kaiserkandidat gelöscht. 
%s 군주로 입명 했습니다.	%s ist als Kaiser nominiert. 
%s 군주르 제거 하였습니다..	Der %s Kaiser wird entfernt. 
%s 군주를 제거 할수 없습니다.	Der %s Kaiser kann nicht entfernt werden. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Die Gilde %s hat der Gilde %s den Krieg erklärt! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s hat den Gildenkrieg gegen %s gewonnen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s hat die Fahne von %s erobert! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Der Gildenkrieg zwischen %s und %s endet unentschieden. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Der Gildenkrieg zwischen %s und %s wurde abgebrochen. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Der Gildenkrieg zwischen %s und %s beginnt in wenigen Minuten! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Der Gildenkrieg zwischen %s und %s hat begonnen! 
%s 길드의 %s이 %d%% 증가했습니다!	%s der Gilde %s ist um %d%% angestiegen! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s der Gilde %s hat sich normalisiert. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Die Flagge der Gilde %s wurde von Spieler %s gestohlen. 
%s 는 군주 후보가 아닙니다.	%s ist kein Kandidat für die Kaiserwahl. 
%s 는 군주로 입명할수 없습니다 .	%s kann nicht als Kaiser nominiert werden. 
%s 님과의 교환이 성사 되었습니다.	Der Handel mit %s wurde erfolgreich durchgeführt. 
%s 님에게 파티가입 신청을 했습니다.	Du möchtest der Gruppe von %s beitreten. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s hat die Einladung abgelehnt. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Der Spieler %s befindet sich gerade auf Channel %d. (Dein Channel: %d) 
%s 님은 접속되 있지 않습니다.	%s ist nicht online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Spieler ist schon in der Wahl. 
%s 님을 소환하였습니다.	Du hast %s Spieler rekrutiert. 
%s 님이 대련에서 승리하였습니다.	%s hat das Duell gewonnen. 
%s 님이 승리하였습니다.	%s hat gewonnen. 
%s 블럭! (%d%%)	%s blocken! (%d%%) 
%s 아이템 을 획득하셨습니다	Du hast %s Gegenstand gewonnen. 
%s 아이템이 필요합니다	Du brauchst %s. 
%s 에게로 이동합니다	Warpen zu Spieler %s. 
%s 회피! (%d%%)	%s ausweichen! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Diese Gilde existiert nicht. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Angriffsposition: %d %d 
%s님과의 대결 시작!	Der Kampf mit %s hat begonnen! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s hat dich zum Kampf aufgefordert! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s hat gewürfelt. Das Ergebnis lautet: %d (%d-%d). 
%s를 구웠습니다.	Du röstest %s über dem Feuer. 
%s에 박혀있던 보석이 사라집니다.	Ein Edelstein aus %s ist verschwunden. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ein Lagerfeuer wurde bei %s entzündet, um vor einer Schlacht zu warnen. 
%s에게 대결신청을 했습니다.	Du hast %s zum Kampf aufgefordert. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Es gibt in %s einen Krieg um die Leuchtfeuer zu entzünden. 
%s에서 소켓 빠질때까지 남은 시간 %d	Bis zur Fassungsentfernung von %s verbleibende Zeit: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s ist um %d%% angestiegen! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s hat sich normalisiert. 
%s의 군주가 %s 님으로 교체되었습니다.	Der Kaiser von %s wurde geändert in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s hat alle Lagerfeuer zerstört. 
%s이 봉화를 파괴했습니다.	%s hat das Lagerfeuer zerstört. 
%s이 수성에 성공했습니다.	%s ist die Verteidigung gelungen. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s hat den Krieg verloren, da sie das Schloss nicht verteidigen konnten. 
%s이 필요합니다.	Für diese Aktion benötigst du: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) wurde erstellt. [Temporär] 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	Ich lese immer wieder dieselbe Zeile. 
아무것도 얻을 수 없었습니다.	Du hast nichts erhalten. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Nach einem Handel kannst du für %d Sek. keine Schriftrolle benutzen. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	Die Quote des Item-Drop ist im Moment zusätzlich %d%% 
아이템 드롭율 %.1f배	Wahrscheinlichkeit einen Gegenstand zu finden %. 1f 
아이템 룰렛 시작.	Gegenstand-Roulette starten 
아이템 전달: %s 님에게 %s	%s erhält %s. 
아이템 획득: %s	%s erhalten 
아이템 획득: %s 님으로부터 %s	%s hebt für dich %s auf. 
아이템로그가 syslog 에 남았습니다	Die Itemlog wurde in der syslog abgelegt. 
아이템을 건네줄 수 없습니다.	Du kannst diesen Gegenstand nicht abgeben. 
아이템의 레벨 제한보다 레벨이 낮습니다.	Dein Level ist zu niedrig, um diesen Gegenstand zu benutzen. 
아이템이 나올 확률	Item-Droprate in Prozent 
아직 골드를 버릴 수 없습니다.	Du kannst das Gold noch nicht wegwerfen. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	Noch kein Neustart in der Stadt möglich. Warte %d Sekunden. 
아직 사용할 수 없습니다.	Kann noch nicht benutzt werden. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	Du kannst erst ab Level 50 Reittraining bekommen. 
아직 이 머리를 사용할 수 없는 레벨입니다.	Dein Level ist zu niedrig, um diese Frisur zu tragen. 
아직 재시작 할 수 없습니다. (%d초 남음)	Noch kein Neustart möglich. Warte %d Sekunden. 
아직 재시작 할 수 없습니다.(%d초 남음 )	Noch kein Neustart möglich. Warte %d Sekunden. 
아직 재시작 할 수 없습니다.(%d초 남음)	Noch kein Neustart möglich. Warte %d Sekunden. 
악마류 타격치 +%d%%	Angriffsverstärkung gegen Teufel + %d%% 
안녕하세요. 메틴2 입니다.	Willkommen in Metin2. 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	Du besitzt mehr als 2 Mrd. Yang. Du kannst nicht handeln. 
양손검 방어 %d%%	Zweihandschwert-Verteidigung %d%% 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	Ich komme voran, aber ich habe noch nicht alles verstanden. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Geh zum Fischer und lass deine Angelrute verbessern! 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	Du kannst diesen Punkt zur Verbesserung deiner Reitkunst verwenden! 
얼마 안 남았어! 조금만 더!	Es ist fast geschafft! Nur noch ein wenig! 
여자만 할 수 있습니다.	Das können nur Frauen tun. 
연계기는 더이상 수련할 수 없습니다.	Du kannst keine weiteren Combos trainieren. 
열쇠가 맞지 않는 것 같다.	Dieser Schlüssel scheint nicht zu passen. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	Das ist der richtige Schlüssel. 
열쇠로 여는 물건이 아닌것 같다.	Dieser Gegenstand kann nicht mit einem Schlüssel geöffnet werden. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Verschlossen. Du solltest den Schlüssel suchen. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	Dieses Kapitel habe ich verstanden. Aber ich muss weiter hart arbeiten. 
열정의 가면을 착용시에만 할 수 있습니다.	Du brauchst eine Emotionsmaske, um diese Handlung auszuführen. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	Der Kompass des Metinsteins ist mit dem mysteriösen Licht verschwunden. 
영석 감지기가 흔적도 없이 사라집니다.	Der Kompass des Metinsteins ist verschwunden. 
예복을 입은 상태에서 말을 탈 수 없습니다.	Du kannst nicht reiten, solange du ein Brautkleid oder einen Smoking trägst. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	Du benötigst mindestens Level %d, um rufen zu können. 
외치기는 유료회원만 사용할수 있습니다	Du benötigst ein höheres Level, um rufen zu können. 
용신의 가호로 경험치가 떨어지지 않았습니다.	Der Segen des Drachengottes hat dich davor bewahrt, Erfahrungspunkte zu verlieren. 
용신의 보호로 아이템이 떨어지지 않았습니다.	Der Schutz des Drachengottes hat dafür gesorgt, dass du keine Gegenstände verlierst. 
용심 추출에 성공하였습니다.	Restlaufzeit des Drachensteins wurde erfolgreich extrahiert. 
용심 추출에 실패하였습니다.	Extrahieren der Restlaufzeit ist fehlgeschlagen. 
용혼석 상자가 활성화되지 않았습니다.	Der Drachenstein ist nicht aktiviert. 
용혼석 추출에 성공하였습니다.	Drachenstein wurde entfernt. 
용혼석 추출에 실패하여 %s를 얻었습니다.	Entfernen des Drachensteins fehlgeschlagen. Aber du hast Folgendes erhalten: %s 
용혼석 추출에 실패하였습니다.	Entfernen des Drachensteins ist fehlgeschlagen. 
운영자 제제로 채팅이 금지 되었습니다.	Dein Chat wurde von einem GM blockiert. 
웅귀족 타격치 +%d%%	Angriffsverstärkung gegen Wonggui + %d%% 
원래 위치로 복귀	Du wirst zum ursprünglichen Ort zurückgebracht. 
월병 또는 종자 를 사용하였습니다	Benutzter Mondkuchen oder Samen. 
월병,종자 사용후 5초동안 사용할수 없습니다.	Du kannst nur alle 5 Sekunden einen Mondkuchen benutzen. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	Du kannst keine Gegenstände aus dem Item-Shop in einem privaten Laden verkaufen. 
을	den 
을두지를 통하여 입장 가능합니다.	Uriel erlaubt einzutreten. 
이 개량서로 개량할 수 없습니다.	Du kannst nicht mit dieser Schriftrolle verbessern. 
이 개량서로 더 이상 개량할 수 없습니다.	Die Schriftrolle des Krieges funktioniert nicht mit Gegenständen +4 oder höher. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	Der Kompass des Metinsteins funktioniert nicht in Dungeons. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	Der Event-Detektor kann von hier aus nicht bedient werden. 
이 메틴석은 무기에 부착할 수 없습니다.	Du kannst diesen Geiststein nicht an einer Waffe anbringen. 
이 메틴석은 장비에 부착할 수 없습니다.	Dieser Geiststein kann nicht an dieser Art von Gegenstand angebracht werden. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	Deine Fertigkeit ist nicht hoch genug für das Großmeistertraining. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	Diese Fertigkeit ist nicht hoch genug, um sie mit einem Buch zu trainieren. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	Du kannst diese Fertigkeit nicht mehr mit einem Buch trainieren. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	Diesem Gegenstand kann keine Fassung hinzugefügt werden. 
이 아이템은 PC방에서만 사용할 수 있습니다.	Dieser Gegenstand kann nur in einem Internetcafé genutzt werden. 
이 아이템은 개량할 수 없습니다.	Dieser Gegenstand kann nicht verbessert werden. 
이 아이템은 벨트 인벤토리로 옮길 수 없습니다.	 
이 아이템은 이 방식으로는 개량할 수 없습니다.	Dieser Gegenstand kann nicht auf diese Art verbessert werden. 
이 아이템을 장착할 수 없습니다.	Diese Gegenstände können nicht miteinander verwendet werden. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	Diesem Gegenstand können keine weiteren Edelsteine hinzugefügt werden. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	Diesem Gegenstand können keine weiteren Fassungen hinzugefügt werden. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	In diesem Gegenstand gibt es keine Fassung für Edelsteine. 
이 책으로는 더 이상 수련할 수 없습니다.	Mit diesem Buch kannst du nicht weiter trainieren. 
이 책은 너무 어려워 이해하기가 힘듭니다.	Dieses Buch ist schwer zu verstehen. 
이 책은 너무 어려워서 수련할 수 없습니다.	Das Buch ist zum Üben zu schwer. 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	Dieses Buch hilft dir nicht weiter. 
이 책을 읽으려면 레벨을 더 올려야 합니다.	Du musst dein Level steigern, um dieses Buch lesen zu können. 
이 행동은 상호동의 하에 가능 합니다.	Für diese Aktion benötigst du die Zustimmung deines Mitspielers. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	Du kannst die Rückkehr-Schriftrolle nicht benutzen, da die Entfernung zu gering ist. 
이동속도 %d	Bewegungsgeschwindigkeit %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	Du bist bereit zum Warpen, deshalb kannst du keine Rückkehr-Schriftrolle benutzen. 
이래서야 공부가 안된다구.	Es fällt mir schwer, mich zu konzentrieren. Ich sollte eine Pause einlegen. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	Diese Art Drachenstein trägst du bereits. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	Du tauschst den aktuellen Köder gegen %s. 
이미 둔갑중인 상태입니다.	Du bist bereits verwandelt. 
이미 선전포고 중인 길드입니다.	Du hast dieser Gilde den Krieg erklärt. 
이미 완벽하게 알아들을 수 있는 언어이다.	Du verstehst diese Sprache bereits. 
이미 입후보되어있습니다	Es besteht schon eine Kandidatur. 
이미 장비를 착용하고 있습니다.	Du hast bereits einen solchen Drachenstein ausgerüstet. 
이미 전쟁이 끝났습니다.	Der Krieg ist bereits vorbei. 
이미 제조창이 열려있습니다.	Das Herstellfenster ist bereits offen. 
이미 탈것을 이용중입니다.	Du reitest bereits. Steige zuerst ab. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	Du kannst die Einladung nicht annehmen, da du bereits in der Gruppe bist. 
이미 효과가 걸려 있습니다.	Dieser Effekt ist bereits aktiv. 
이미투표를 했음	Bereits gewählt. 
이번에 잡은 물고기의 길이는 %.2fcm	Die Länge des gefangenen Fisches beträgt %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	Der Event-Detektor ist mit dem mysteriösen Licht verschwunden. 
이벤트용 감지기가 흔적도 없이 사라집니다.	Der Event-Detektor ist verschwunden. 
이성간에만 할 수 있습니다.	Diese Aktion kann nur mit dem anderen Geschlecht ausgeführt werden. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Jetzt verstehe ich es! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	Ich bin auf der letzten Seite des Buchs angelangt. Das Training ist fast abgeschlossen! 
인간류 몬스터 타격치 +%d%%	Spielerangriffskraft gegen Monster +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	Dein Inventar ist voll. Item kann nicht aufgenommen werden. 
인증번호가 틀렸습니다. 다시 시도하세요.	Deine Bestätigungs-Nr. ist falsch. Bitte versuche es noch einmal. 
입력하신 이름을 가진 사용자가 없습니다.	Es gibt keinen Spieler mit dem von dir genannten Namen. 
자객공격에 %d%% 저항	%d%% Widerstand gegen Ninja-Angriffe 
자객에게 강함 +%d%%	Stark gegen Ninja + %d%% 
자동으로 나가게됩니다.	Wird automatisch verlassen. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	Beim Auswählen des Charakters erscheint ein Icon. 
자신을 소환할 수 없습니다.	Du kannst dich nicht selbst rekrutieren. 
자재가 부족하여 건설할 수 없습니다.	Du hast nicht genügend Material zum Bauen. 
잘못된 둔갑 아이템입니다.	Das ist der falsche Verwandlungsgegenstand. 
잘못된 선택을 했습니다	Die Auswahl ist falsch. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	In kurzer Zeit wird das OX Event neu gestartet. 
잠시 후 마을로 이동되겠습니다.	In Kürze wird der Spieler in die Stadt teleportiert. 
잠시후 모두 마을로 이동됩니다.	Alle werden gleich in die Stadt teleportiert. 
잠시후 해당 마을은  마을로 이동됩니다.	Alle werden in Kürze in die Stadt teleportiert. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Angelegte Gegenstände können im privaten Laden nicht verkauft werden. 
장착에 성공하였습니다.	Ausrüsten erfolgreich. 
장착에 실패하였습니다.	Ausrüsten gescheitert. 
재료(%s)가 부족합니다.	Du hast nicht genügend Material (%s). 
저주 되돌리기 확률 %d%%	Fluch reflektieren: %d%% 
적용 레벨보다 높아 사용이 불가능합니다.	Das Level deines Items ist zu hoch. 
적합하지 않은 길드 이름 입니다.	Der Gildenname ist ungültig. 
전기 저항 %d%%	Blitzwiderstand %d%% 
전쟁 서버가 열려있지 않아 길드전을 시작할 수 없습니다.	Der Gildenkampf kann nicht gestartet werden, weil der Server nicht online ist. 
전제국	Alle Reiche 
전투가 시작 되어 취소 되었습니다.	Aktion abgebrochen. Du hast angefangen zu kämpfen. 
정답은	Die korrekte Antwort lautet: 
정답입니다!	Korrekt! 
정상적으로 투표를하였습니다.	Regelgerecht gewählt. 
정신력 회복 +%d	Manaerholung +%d 
제조 재료가 부족합니다	Du hast nicht das richtige Material. 
제조에 실패하였습니다.	Die Verbesserung deines Items ist fehlgeschlagen. 
제조창이 열려있지 않습니다	Das Herstellfenster ist nicht geöffnet. 
조개가 흔적도 없이 사라집니다.	Die Muschel ist verschwunden. 
조개에서 돌조각이 나왔습니다.	Du findest nur ein einfaches Steinstück in der Muschel. 
조개에서 백진주가 나왔습니다.	In der Muschel ist eine weiße Perle. 
조개에서 청진주가 나왔습니다.	In der Muschel ist eine blaue Perle. 
조개에서 피진주가 나왔습니다.	In der Muschel ist eine blutrote Perle. 
존재하지 않는 건물입니다.	Das Gebäude existiert nicht. 
존재하지 않는 아이템 입니다	Dieser Gegenstand existiert nicht. 
존재하지 않는 캐릭터 입니다.	Der Charakter existiert nicht. 
좋아, 이 기세로 계속 나간다!	Gut, ich muss mich weiter konzentrieren! 
좋았어! 조금만 더 읽으면 끝이다!	Erleuchtet! Ich habe es fast durchgelesen! 
주안술서를 통해 주화입마에서 빠져나왔습니다.	Du bist dem Fluch des bösen Geistes mit Hilfe einer Exorzismus-Schriftrolle entkommen. 
죽은 말에게 사료를 먹일 수 없습니다.	Du kannst ein totes Pferd nicht füttern. 
죽은 정보 %s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d	%s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d 
죽지 않은 말에게 선초를 먹일 수 없습니다.	Affenkraut kann nicht verfüttert werden. Es wird zum Wiederbeleben toter Pferde verwendet. 
지금부터 %s은 30분간 봉화를 파괴하여 보상을 획득 할 수 있습니다.	Innerhalb der nächsten 30 Minuten kann %s eine Belohnung für die Zerstörung des Leuchtfeuers erhalten. 
지능 +%d	Intelligenz +%d 
지능이 낮아 착용할 수 없습니다.	Deine Intelligenz ist zu niedrig, um diesen Gegenstand anzulegen. 
직접 타격치 반사 확률 : %d%%	Direkten Angriff reflektieren: %d%% 
진노국	Jinno-Reich 
착용 중인 아이템은 판매할 수 없습니다.	Angelegte Gegenstände kannst du nicht verkaufen. 
착용 중인 용혼석은 추출할 수 없습니다.	Der Drachenstein kann nicht entfernt werden. 
참	TRUE 
창고,거래창등이 열린 상태에서는 개량을 할수가 없습니다	Du kannst nichts verbessern, wenn das Shop- oder Handelsfenster geöffnet ist. 
창고를 연후 %d초 이내에는 거래를 할수 없습니다.	Du kannst erst in %d Sekunden wieder handeln. 
창고를 연후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Nach Öffnen des Lagers kannst du für %d Sek. keine Rückkehr-Schriftrolle benutzen. 
창고를 연후 %d초 이내에는 다른곳으로 이동할수 없습니다.	Nach Öffnen des Lagers kannst du %d Sekunden nicht woanders hingehen. 
채광에 성공하였습니다.	Der Abbau war erfolgreich. 
채광에 실패하였습니다.	Der Abbau ist fehlgeschlagen. 
채광을 중단하였습니다.	Abbauen beendet. 
채팅 금지 상태입니다.	Dein Chat ist gesperrt. 
채팅 금지가 풀렸습니다.	Deine Chat-Sperre wurde aufgehoben. 
책으로 더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Du hast dein Training mit dem Buch erfolgreich abgeschlossen. 
책장도 이제 얼마 남지 않았군.	Es fehlen nur noch wenige Seiten, dann habe ich alles gelesen. 
천조국	Chunjo-Reich 
청소할 석이 박혀있지 않습니다.	Keine Steinsplitter zum Entfernen vorhanden. 
체력 +%d	Ausdauer +%d 
체력이 낮아 착용할 수 없습니다.	Deine Vitalität ist zu niedrig, um diesen Gegenstand anzulegen. 
총 퀴즈 수: %d	Gesamtzahl des Quiz: %d 
최대 생명력 +%d	Trefferpunkte +%d 
최대 생명력 +%d%%	Maximales Leben +%d%% 
최대 정신력 +%d	Manapunkte +%d 
최대 정신력 +%d%%	Maximales Leben +%d%% 
최대 지구력 +%d	Maximale Ausdauer + %d 
축복의 서와 현철을 합칠 수 있습니다.	Du kannst die Segensschriftrolle und das Magische Eisenerz kombinieren. 
출마를 할수가 없습니다	Kann nicht zur Wahl aufgestellt werden. 
충전할 수 없습니다.	Du kannst diesen Drachenstein nicht wieder aufladen. 
취소 되었습니다.	Das Ausloggen wurde abgebrochen. 
캐릭터를 전환 합니다. 잠시만 기다리세요.	Du wechselst den Charakter. Bitte warten. 
쿨타임 -%d	Abklingzeit -%d 
쿨타임 적용중  %d 후 사용가능	Wird vorbereitet. Benutzung nach %d möglich. 
퀘스트를 로드하는 중입니다. 잠시만 기다려 주십시오.	Die Anfrage wird geladen. Bitte gedulde dich einen Moment. 
크윽, 기가 역류하고 있어! 이거 설마 주화입마인가!? 젠장!	Das hat nicht geklappt. Verdammt! 
클라이언트 버전이 틀려 로그아웃 됩니다. 정상적으로 패치 후 접속하세요.	Deine Clientversion ist falsch. Bitte installiere den normalen Patch. 
타격치 %d%% 를 생명력으로 흡수	Absorb von Leben %d%% beim Angriff. 
타력치 %d%% 를 정신력으로 흡수	Absorb von Mana %d%% beim Angriff. 
타제국 유저는 소환 할수 없습니다	Du kannst keine fremden Reichsspieler zusammenrufen. 
타제국 유저에게는 이동할수 없습니다	Du kannst nicht zu einem fremden Reichsspieler warpen. 
탄 상태에서는 할 수 없습니다.	Du kannst das nicht machen, während du auf dem Pferd sitzt. 
테스트 서버 시간제한 통과	Zeitlimit auf Testserver überschritten. 
파티 중이 아닙니다.	Du bist nicht in der Gruppe. 
파티의 협동력이 높아져 지금부터 추가 경험치 보너스를 받습니다.	Deine Gruppe arbeitet gut zusammen und erhält einen Erfahrungsbonus. 
파티장이 접속 상태가 아니라서 요청을 할 수 없습니다.	<Gruppe> Du kannst keine Anfrage stellen, da der Gruppenanführer nicht online ist. 
판매금액의 %d %% 가 세금으로 나가게됩니다	Der Verkauf wird mit %d%% besteuert. 
퍼펙트 마스터된 스킬입니다. 더 이상 수련 할 수 없습니다.	Du bist bereits ein Meister dieser Fertigkeit. Du kannst sie nicht trainieren. 
평타 데미지 %d%%	Schlagschaden %d%% 
평타 데미지 저항 %d%%	Widerstand gegen Schläge %d%% 
플레이어 %d 와 플레이어  %d를 파혼시킵니다..	Nicht eingehaltene Verpflichtung zwischen dem Spieler %d und dem Spieler %d. 
한손검 방어 %d%%	Einhandschwert-Verteidigung %d%% 
해당 유저는 %d 채널에 있습니다. (현재 채널 %d)	Hinzufügen vom Spieler %d in den Channel. (Geschenk Channel %d) 
핸드폰 번호가 등록 되었습니다.	Die Handynummer ist registriert. 
핸드폰 번호가 등록되어 있지 않습니다.	Die Handynummer ist nicht registriert. 
현재 %s 국고에는 %d 의 돈이 있습니다	%s hat noch %d Yang zur Verfügung. 
현재 %s 국고에는 %u 의 돈이 있습니다	%s hat noch %u Yang zur Verfügung. 
현재 남은 참가자수 : %d	Die Nummern der restlichen Teilnehmer : %d 
현재 스코어 신수국:%d 천조국:%d 진노국:%d	Aktueller Punktestand: Shinsoo %d, Chunjo %d, Jinno %d 
현재 온라인 상태 입니다. 귓말을 이용하세요.	Der Spieler ist online. Bitte nutze Flüstern. 
현재 위치에서 사용할 수 없습니다.	Du kannst das von deiner aktuellen Position aus nicht nutzen. 
현재 이벤트 참가자 분들은 마을로 이동 되겠습니다.	Das Geschenk Event wird auf ein Gebiet begrenzt. 
현재 전쟁중인 길드 입니다	Diese Gilde ist im Krieg. 
현재 헤어스타일에서는 염색과 탈색이 불가능합니다.	Du kannst deine aktuelle Frisur nicht färben oder bleichen. 
화염 저항 %d%%	Feuerwiderstand %d%% 
활 공격 회피 확률 %d%%	%d%% Chance, einen Fernkampf-Angriff abzuwehren 
활공격 저항 %d%%	Fernangriff-Widerstand %d%% 
YOU_CANNOT_DROP_GOLD	Du kannst kein Yang fallen lassen. 
