%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Musisz przeczytać jeszcze %d Ksiąg Umiejętności aby ulepszyć tę Umiejętność. 
%d 냥을 투자하셨습니다.	Zainwestowałeś %d Yang. 
%d 냥을 획득하셨습니다.	Wygrałeś %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Musisz osiągnąć poziom %d, aby móc ponownie zmienić kolor fryzury. 
%d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d minut %d sekund 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d minut %d sekund 
%d 시간 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d sekund 
%d 종류 %d 마리 낚음	Złapałeś %d z %d . 
%d 초 동안 채팅금지 상태입니다	Pozostało %d sekund do końca twojej blokady pisania 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Po %d sekundach możesz użyć Błogosławieństwa Imperatora. 
%d 초간 쿨타임이 적용중입니다.	Regeneracja około %d sekund. 
%d 초후 목적지로 이동됩니다.	Osiągniesz miejsce docelowe w %d sekund po wykonaniu. 
%d%% 확률로 관통 공격	Szansa na Przeszywający Atak od %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Jeśli wygrasz, Doświadczenie wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Jeśli wygrasz, Yang wzrosną do %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% szansa na uzupełnienie Punktów Energii po zwycięstwie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Jeśli wygrasz, Ilość przejętych przedmiotów wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Jeśli wygrasz, Mana zostanie podniesiona do %d%% 
%d%% 확률로 치명타 공격	Szansa na Krytyczny Atak %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Z szansą %d%% Many zostanie zabranej od wroga. 
%d%% 확률로 피해시 정신력 회복	Absorbowanie Many z szansą %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Czas gry ( %d ) dodany do Twojego konta. (Numer płatności %d) 
%d의 경험치를 획득했습니다.	Otrzymałeś %d Punktów Doświadczenia. 
%d초 남았습니다.	%d sekund do wyłączenia. 
%d초 만큼 충전되었습니다.	Naładowano %d sek. 
%d초 후 게임이 셧다운 됩니다.	Gra zostanie zamknięta po %d sekundach. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Użycie FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s licznik zabójstw %d zabitych potworów %d zabitych bossów %d liczba świętej ziemi %d 
%s 군주 후보에서 삭제하였습니다	Kandydatura %s na Imperatora została skasowana. 
%s 군주로 입명 했습니다.	%s został nominowany na Imperatora. 
%s 군주르 제거 하였습니다..	Imperator %s został odwołany. 
%s 군주를 제거 할수 없습니다.	Imperator %s nie może zostać odwołany. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Gildia %s wypowiedziała wojnę Gildii %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Gildia %s wygrała wojnę przeciwko Gildii %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	Gildia %s przejęła flagę Gildii %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Wojna pomiędzy Gildiami %s oraz %s zakończona remisem. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Wojna pomiędzy Gildiami %s oraz %s została anulowana. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Wojna pomiędzy Gildiami %s oraz %s rozpocznie się za kilka minut! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Wojna pomiędzy Gildiami %s oraz %s rozpoczęta! 
%s 길드의 %s이 %d%% 증가했습니다!	%s Gildii %s wzrósł do %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s Gildii %s jest ponownie normalny. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Flaga Gildii %s została ukradziona przez gracza %s. 
%s 는 군주 후보가 아닙니다.	%s nie jest kandydatem na Imperatora. 
%s 는 군주로 입명할수 없습니다 .	%s nie może być nominowany na Imperatora. 
%s 님과의 교환이 성사 되었습니다.	Handel z %s zakończony pomyślnie. 
%s 님에게 파티가입 신청을 했습니다.	Chcesz dołączyć się do Grupy %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s odrzucił zaproszenie. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Gracz %s obecnie przebywa na kanale %d. (Twój Kanał: %d) 
%s 님은 접속되 있지 않습니다.	%s nie jest online. 
%s 님은 정상적으로 출마를 하였습니다.	%s graczy oddało już swój głos. 
%s 님을 소환하였습니다.	Zrekrutowałeś %s graczy. 
%s 님이 대련에서 승리하였습니다.	%s wygrał pojedynek. 
%s 님이 승리하였습니다.	%s wygrał. 
%s 블럭! (%d%%)	%s blokuje! (%d%%) 
%s 아이템 을 획득하셨습니다	Wygrałeś %s przedmiotów. 
%s 아이템이 필요합니다	Potrzebujesz %s. 
%s 에게로 이동합니다	Teleport do %s. 
%s 회피! (%d%%)	%s robi unik! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ta Gildia nie istnieje. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Pozycja ataku: %d %d 
%s님과의 대결 시작!	Pojedynek z %s rozpoczęty! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s wyzwał Cię na pojedynek! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rzuca kostką. Wyrzucona liczba to %d (%d-%d). 
%s를 구웠습니다.	Pieczesz %s nad ogniem. 
%s에 박혀있던 보석이 사라집니다.	Zniknął klejnot z %s. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ognisko zostało zapalone w %s by ostrzec o bitwie. 
%s에게 대결신청을 했습니다.	Wyzwałeś %s na pojedynek. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Są %s wojny, by zapalić ogniska. 
%s에서 소켓 빠질때까지 남은 시간 %d	Pozostały czas do usunięcia Kieszeni %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s wzrósł o %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s jest ponownie normalny. 
%s의 군주가 %s 님으로 교체되었습니다.	Imperator z %s został zmieniony na %s. 
%s이 모든 봉화를 파괴하였습니다.	%s zniszczył ognisko. 
%s이 봉화를 파괴했습니다.	%s zniszczył ognisko. 
%s이 수성에 성공했습니다.	%s był w stanie obronić pomyślnie. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s przegrali wojnę, ponieważ nie byli w stanie obronić zamku. 
%s이 필요합니다.	Aby to zrobić potrzebujesz: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Gildia utworzona. [Tymczasowo] 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	Masz więcej niż 2 miliardy Yang. Nie możesz handlować. 
양손검 방어 %d%%	Odporność na Broń Dwuręczną %d%% 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	Robię postępy ale nie zrozumiałem jeszcze wszystkiego. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Ulepsz swoją wędkę u Rybaka! 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	Możesz podnieść swoje umiejętności jeździeckie poprzez otrzymany punkt. 
얼마 안 남았어! 조금만 더!	Prawie koniec! Jeszcze tylko troszeczkę! 
여자만 할 수 있습니다.	Tylko kobiety mogą to zrobić. 
연계기는 더이상 수련할 수 없습니다.	Nie możesz wytrenować więcej kombinacji. 
열쇠가 맞지 않는 것 같다.	Ten klucz chyba nie pasuje do zamka. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	To jest właściwy klucz. 
열쇠로 여는 물건이 아닌것 같다.	Ten przedmiot nie może zostać otwarty za pomocą klucza. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Zamknięte. Powinieneś poszukać klucza. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	Ten rozdział już zrozumiałem, ale czeka mnie jeszcze mnóstwo ciężkiej pracy. 
열정의 가면을 착용시에만 할 수 있습니다.	Możesz to zrobić jedynie z założoną Maską Uczuć. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	Kompas Kamieni Metin zniknął wraz z tajemniczym światłem. 
영석 감지기가 흔적도 없이 사라집니다.	Kompas Kamieni Metin zniknął. 
예복을 입은 상태에서 말을 탈 수 없습니다.	Nie możesz jeździć konno, gdy masz na sobie Suknię Ślubną lub Smoking. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	Musisz mieć co najmniej %d poziom aby móc wołać. 
외치기는 유료회원만 사용할수 있습니다	Aby móc wołać, musisz mieć wyższy poziom postaci. 
용신의 가호로 경험치가 떨어지지 않았습니다.	Nie straciłeś doświadczenia dzięki Błogosławieństwu Boga Smoków. 
용신의 보호로 아이템이 떨어지지 않았습니다.	Nie upuściłeś żadnego przedmiotu, ponieważ jesteś chroniony przez Boga Smoków. 
용심 추출에 성공하였습니다.	Ekstrakcja pozostałego czasu trwania Smoczego Kamienia powiodła się. 
용심 추출에 실패하였습니다.	Ekstrakcja pozostałego czasu trwania nie powiodła się. 
용혼석 상자가 활성화되지 않았습니다.	Smoczy Kamień nie jest uaktywniony. 
용혼석 추출에 성공하였습니다.	Smoczy Kamień został usunięty. 
용혼석 추출에 실패하여 %s를 얻었습니다.	Usunięcie Smoczego Kamienia nie powiodło się. Otrzymano jednak: %s 
용혼석 추출에 실패하였습니다.	Usunięcie Smoczego Kamienia nie powiodło się. 
운영자 제제로 채팅이 금지 되었습니다.	Możliwość pisania została zablokowana przez GM! 
웅귀족 타격치 +%d%%	Wzmocnienie ataku przeciwko Wonggui + %d%% 
원래 위치로 복귀	Wróciłeś do punktu wyjścia. 
월병 또는 종자 를 사용하였습니다	Użyto Księżycowego Torcika lub Nasionka. 
월병,종자 사용후 5초동안 사용할수 없습니다.	Możesz używać Księżycowych Torcików tylko raz na 5 sekund. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	Nie możesz sprzedawać Przedmiotów z ItemShop w prywatnym Sklepie. 
을	the 
을두지를 통하여 입장 가능합니다.	Uriel zezwolił na wejście. 
이 개량서로 개량할 수 없습니다.	Nie możesz ulepszać tym zwojem. 
이 개량서로 더 이상 개량할 수 없습니다.	Zwój Wojny nie funkcjonuje z przedmiotami +4 lub wyżej. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	Kompas Kamieni Metin nie funkcjonuje w Lochach. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	Nie możesz użyć wykrawacza zdarzeń z tej pozycji. 
이 메틴석은 무기에 부착할 수 없습니다.	Nie możesz umieścić tego Kamienia Duszy w broni. 
이 메틴석은 장비에 부착할 수 없습니다.	Ten Kamień Duszy nie może zostać umieszczony w przedmiocie tego rodzaju. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	Twoja umiejętność nie jest na tyle wysoka, aby zostać Wielkim Mistrzem. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	Umiejętność nie jest odpowiednio rozwinięta, aby szkolić ją przy pomocy Książki. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	Nie możesz szkolić tej umiejętności za pomocą Książki. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	Nie możesz przydzielić slotu dla tego przedmiotu. 
이 아이템은 PC방에서만 사용할 수 있습니다.	Ten przedmiot może być użyty tylko w kafejce internetowej. 
이 아이템은 개량할 수 없습니다.	Ten przedmiot nie może być ulepszony. 
이 아이템은 이 방식으로는 개량할 수 없습니다.	Ten przedmiot nie może być ulepszony w ten sposób. 
이 아이템을 장착할 수 없습니다.	Te przedmioty nie mogą zostać użyte razem. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	Do tego przedmiotu nie można dodać więcej klejnotów. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	Do tego przedmiotu nie możesz dodać więcej nowych slotów. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	Nie ma tu slotu z Klejnotami. 
이 책으로는 더 이상 수련할 수 없습니다.	Nie możesz już trenować z tą książką. 
이 책은 너무 어려워 이해하기가 힘듭니다.	Nie jest łatwo zrozumieć tę książkę. 
이 책은 너무 어려워서 수련할 수 없습니다.	Książka jest za trudna do nauki. 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	Ta książka Ci nie pomoże. 
이 책을 읽으려면 레벨을 더 올려야 합니다.	Musisz podnieść swój poziom, aby zrozumieć tę książkę. 
이 행동은 상호동의 하에 가능 합니다.	Potrzebujesz potwierdzenia partnera do tego. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	Nie możesz użyć Zwoju Powrotu, ponieważ odległość jest zbyt mała. 
이동속도 %d	Szybkość Ruchu %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	Jesteś gotowy do przeniesienia, więc nie możesz skorzystać ze zwoju powrotu. 
이래서야 공부가 안된다구.	Nie potrafię się skoncentrować. Powinienem zrobić sobie przerwę. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	Nosisz już ten rodzaj Smoczego Kamienia. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	Zmieniłeś aktualną przynętę na %s. 
이미 둔갑중인 상태입니다.	Jesteś już przemieniony. 
이미 선전포고 중인 길드입니다.	Wypowiedziałeś wojnę tej Gildii. 
이미 완벽하게 알아들을 수 있는 언어이다.	Już mówisz płynnie tym językiem. 
이미 입후보되어있습니다	Już jest kandydatura 
이미 장비를 착용하고 있습니다.	Już masz na sobie taki Smoczy Kamień. 
이미 전쟁이 끝났습니다.	Wojna już się zakończyła. 
이미 제조창이 열려있습니다.	Okno budowania jest już otwarte. 
이미 탈것을 이용중입니다.	Jesteś na koniu. Najpierw musisz zsiąść. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	Nie możesz przyjąć zaproszenia, ponieważ jesteś już w Grupie. 
이미 효과가 걸려 있습니다.	Ten efekt jest już aktywny. 
이미투표를 했음	Już zagłosowałeś. 
이번에 잡은 물고기의 길이는 %.2fcm	Długość złapanej ryby wynosi %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	Wykrywacz zdarzeń zniknął w rozbłysku tajemniczego światła. 
이벤트용 감지기가 흔적도 없이 사라집니다.	Wykrywacz eventów zniknął. 
이성간에만 할 수 있습니다.	Ta akcja może zostać wykonana tylko z inną płcią. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Teraz rozumiem! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	Jestem na ostatniej stronie! Trening jest prawie zakończony! 
인간류 몬스터 타격치 +%d%%	Siła Ataku Gracza przeciwko Potworom +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	Twój ekwipunek jest przepełniony. Nie możesz wziąć tego przedmiotu. 
인증번호가 틀렸습니다. 다시 시도하세요.	Twój numer potwierdzający jest błędny. Proszę spróbować ponownie. 
입력하신 이름을 가진 사용자가 없습니다.	Nie ma gracza o tej nazwie. 
자객공격에 %d%% 저항	%d%% Odporność na Ataki Ninja 
자객에게 강함 +%d%%	Silny przeciwko Ninja +%d%% 
자동으로 나가게됩니다.	Zostanie automatycznie opuszczony. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	Po zaznaczeniu postaci pojawi się guzik do Zakończenia Obserwacji. 
자신을 소환할 수 없습니다.	Nie możesz przyjąć samego siebie. 
자재가 부족하여 건설할 수 없습니다.	Nie masz wystarczająco surowców na ten budynek. 
잘못된 둔갑 아이템입니다.	To jest zły przedmiot na handel. 
잘못된 선택을 했습니다	Twój wybór jest błędny. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	Za chwilę wydarzenie OX zostanie zrestartowane. 
잠시 후 마을로 이동되겠습니다.	Za chwilę gracze zostaną przeniesieni do miasta. 
잠시후 모두 마을로 이동됩니다.	Wszyscy ludzie zostaną przeniesieni do miasta. 
잠시후 해당 마을은  마을로 이동됩니다.	Za chwilę wszyscy ludzie zostaną przeniesieni do wybranego miasta. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Nie możesz sprzedawać założonych przedmiotów w prywatnym Magazynie. 
장착에 성공하였습니다.	Uzbrajanie pomyślne. 
장착에 실패하였습니다.	Uzbrajanie niepomyślne. 
재료(%s)가 부족합니다.	Nie masz wystarczająco materiałów (%s). 
저주 되돌리기 확률 %d%%	Odbicie Klątwy: %d%% 
적용 레벨보다 높아 사용이 불가능합니다.	Poziom Twojego przedmiotu jest za wysoki. 
적합하지 않은 길드 이름 입니다.	Nazwa Gildii jest błędna. 
전기 저항 %d%%	Odporność na Błyskawice %d%% 
전쟁 서버가 열려있지 않아 길드전을 시작할 수 없습니다.	Bitwa Gildii nie może się rozpocząć, ponieważ serwer nie jest online. 
전제국	Wszystkie Królestwa 
전투가 시작 되어 취소 되었습니다.	Akcja anulowana. Bitwa została rozpoczęta. 
정답은	Prawidłowa odpowiedź to: 
정답입니다!	Prawidłowo! 
정상적으로 투표를하였습니다.	Głosowanie. 
정신력 회복 +%d	Odnawianie Many +%d 
제조 재료가 부족합니다	Nie masz właściwego materiału. 
제조에 실패하였습니다.	Nie powiodło się ulepszenie twojego przedmiotu. 
제조창이 열려있지 않습니다	Okno budowania nie jest otwarte 
조개가 흔적도 없이 사라집니다.	Muszla zniknęła. 
조개에서 돌조각이 나왔습니다.	W muszli znajdujesz jedynie zwyczajny Kawałek Kamienia. 
조개에서 백진주가 나왔습니다.	W muszli jest Biała Perła. 
조개에서 청진주가 나왔습니다.	W muszli jest Niebieska Perła. 
조개에서 피진주가 나왔습니다.	W muszli jest Krwawa Perła. 
존재하지 않는 건물입니다.	Budynek nie istnieje. 
존재하지 않는 아이템 입니다	Ta rzecz nie istnieje. 
존재하지 않는 캐릭터 입니다.	Ta postać nie istnieje. 
좋아, 이 기세로 계속 나간다!	Dobrze, teraz muszę pozostać skoncentrowanym! 
좋았어! 조금만 더 읽으면 끝이다!	Zostałem oświecony! Przeczytałem prawie wszystko! 
주안술서를 통해 주화입마에서 빠져나왔습니다.	Uniknąłeś klątwy Złego Ducha przy pomocy Zwoju Egzorcyzmu. 
죽은 말에게 사료를 먹일 수 없습니다.	Nie możesz karmić martwego konia. 
죽은 정보 %s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d	%s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d 
죽지 않은 말에게 선초를 먹일 수 없습니다.	Zioło z małp nie nadaje się na karmę. Służy ożywianiu martwych koni. 
지금부터 %s은 30분간 봉화를 파괴하여 보상을 획득 할 수 있습니다.	Przez 30 minut od teraz gracz %s może dostać nagrodę, gdyż zniszczył ognisko. 
지능 +%d	Inteligencja +%d 
지능이 낮아 착용할 수 없습니다.	Twój poziom Inteligencji jest za niski, aby wyposażyć się w ten przedmiot. 
직접 타격치 반사 확률 : %d%%	Odbicie bezpośredniego uderzenia: %d%% 
진노국	Królestwo Jinno 
착용 중인 아이템은 판매할 수 없습니다.	Nie możesz sprzedawać założonych przedmiotów. 
착용 중인 용혼석은 추출할 수 없습니다.	Nie można usunąć tego Smoczego Kamienia. 
참	TRUE 
창고,거래창등이 열린 상태에서는 개량을 할수가 없습니다	Nie możesz ulepszyć, podczas gdy Sklep albo Okno Handlu jest otwarte. 
창고를 연후 %d초 이내에는 거래를 할수 없습니다.	Możesz handlować ponownie za %d sekund. 
창고를 연후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Nie możesz użyć Zwoju Powrotu przez %d sekund po otwarciu Magazynu. 
창고를 연후 %d초 이내에는 다른곳으로 이동할수 없습니다.	Nie możesz udać się w inne miejsce przez %d sekund po otwarciu Magazynu. 
채광에 성공하였습니다.	Wydobycie zakończone pomyślnie. 
채광에 실패하였습니다.	Wydobycie niepomyślne. 
채광을 중단하였습니다.	Górnictwo zakończone. 
채팅 금지 상태입니다.	Twój Chat jest zablokowany. 
채팅 금지가 풀렸습니다.	Twój Chat został odblokowany. 
책으로 더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Pomyślnie zakończyłeś trening przy pomocy książki. 
책장도 이제 얼마 남지 않았군.	Zostało mi już tylko kilka stron do przeczytania. 
천조국	Królestwo Chunjo 
청소할 석이 박혀있지 않습니다.	Nie posiadasz Odłamu Kamienia do usuwania. 
체력 +%d	Wytrzymałość +%d 
체력이 낮아 착용할 수 없습니다.	Twoja Witalność jest za niska, aby wyposażyć się w ten przedmiot. 
총 퀴즈 수: %d	Całkowita liczba Pytań: %d 
최대 생명력 +%d	Punkty Życia +%d 
최대 생명력 +%d%%	Górny limit Energii +%d%% 
최대 정신력 +%d	Punkty Energii +%d 
최대 정신력 +%d%%	Górny limit Energii +%d%% 
최대 지구력 +%d	Maksymalna Wytrzymałość +%d 
축복의 서와 현철을 합칠 수 있습니다.	Zwój Błogosławieństwa oraz Magiczny Metal mogą zostać połączone. 
출마를 할수가 없습니다	Nie może być głosowany. 
충전할 수 없습니다.	Tego Smoczego Kamienia nie możesz ponownie napełnić. 
취소 되었습니다.	Wylogowanie zostało anulowane. 
캐릭터를 전환 합니다. 잠시만 기다리세요.	Zmieniłeś postać. Proszę czekać. 
쿨타임 -%d	Czas wypoczynku -%d 
쿨타임 적용중  %d 후 사용가능	Gotowe. Będzie nadawać się do użytku po %d. 
퀘스트를 로드하는 중입니다. 잠시만 기다려 주십시오.	Twoja prośba jest wczytywana. Proszę czekać. 
크윽, 기가 역류하고 있어! 이거 설마 주화입마인가!? 젠장!	To nie zadziałało. Bleh! 
클라이언트 버전이 틀려 로그아웃 됩니다. 정상적으로 패치 후 접속하세요.	Twoja wersja klienta jest niewłaściwa. Proszę zainstalować normalny patch. 
타격치 %d%% 를 생명력으로 흡수	Pochłanianie Energii %d%% podczas ataku. 
타력치 %d%% 를 정신력으로 흡수	Pochłanianie Many %d%% podczas ataku. 
타제국 유저는 소환 할수 없습니다	Nie możesz przenosić nieznanych graczy. 
타제국 유저에게는 이동할수 없습니다	Nie możesz przenieść się do nieznanego gracza. 
탄 상태에서는 할 수 없습니다.	Nie możesz tego zrobić, gdy dosiadasz konia. 
테스트 서버 시간제한 통과	Limit czasowy na serwerze testowym został przekroczony. 
파티 중이 아닙니다.	Nie jesteś w tej Grupie. 
파티의 협동력이 높아져 지금부터 추가 경험치 보너스를 받습니다.	Twoja grupa jest bardzo zgrana i otrzymała bonus doświadczenia. 
파티장이 접속 상태가 아니라서 요청을 할 수 없습니다.	<Grupa> Nie możesz wysłać Prośby, ponieważ Lider grupy jest offline. 
판매금액의 %d %% 가 세금으로 나가게됩니다	Podatek od sprzedaży: %d%%. 
퍼펙트 마스터된 스킬입니다. 더 이상 수련 할 수 없습니다.	Jesteś już mistrzem w tej umiejętności. Nie możesz jej już szkolić. 
평타 데미지 %d%%	Obrażenia Uderzeń %d%% 
평타 데미지 저항 %d%%	Odporność na Trafienia %d%% 
플레이어 %d 와 플레이어  %d를 파혼시킵니다..	Zerwany kontrakt pomiędzy graczami %d i %d. 
한손검 방어 %d%%	Odporność na Miecze %d%% 
해당 유저는 %d 채널에 있습니다. (현재 채널 %d)	Dodawanie gracza %d do kanału. (Aktualny kanał %d) 
핸드폰 번호가 등록 되었습니다.	Numer komórkowy jest zarejestrowany. 
핸드폰 번호가 등록되어 있지 않습니다.	Numer telefonu komórkowego nie jest zapisany. 
현재 %s 국고에는 %d 의 돈이 있습니다	%s nadal ma %d Yang. 
현재 %s 국고에는 %u 의 돈이 있습니다	%s nadal ma %u Yang. 
현재 남은 참가자수 : %d	Liczba innych uczestników: %d 
현재 스코어 신수국:%d 천조국:%d 진노국:%d	Aktualna punktacja: Shinsoo %d, Chunjo %d, Jinno %d 
현재 온라인 상태 입니다. 귓말을 이용하세요.	Gracz jest dostępny. Proszę skorzystać z szeptów. 
현재 위치에서 사용할 수 없습니다.	Nie możesz tego użyć z Twojego aktualnego położenia. 
현재 이벤트 참가자 분들은 마을로 이동 되겠습니다.	Aktualny Wydarzenie jest ograniczone tylko do jednego obszaru. 
현재 전쟁중인 길드 입니다	Ta Gildia jest w stanie wojny. 
현재 헤어스타일에서는 염색과 탈색이 불가능합니다.	Nie możesz pofarbować lub wybielić swojej aktualnej fryzury. 
화염 저항 %d%%	Odporność na Ogień %d%% 
활 공격 회피 확률 %d%%	%d%% szans na blok ataku dystansowego 
활공격 저항 %d%%	Odporność na Atak z odległości %d%% 




%s accounts were banned permanently because of: %s	%s accounts were banned permanently because of: %s. 
%s bloklandi	%s has been blocked. 
%s does not exist.	%s doesnt exist. 
%s has been banned for %s because of: %s	%s has been banned for %s because of: %s. 
%s has been banned permanently with reason: %s	%s has been banned permanently with reason: %s. 
%s_ADDED_%d_OF_EXCHANGE_ITEM_%s	%s has added %d to %s. 
%s_ADDED_EXCHANGE_ITEM_%s	%s addet the item %s. 
%s_DECREASED_EXCHANGE_GOLD_TO_%s	%s has reduced to %s. 
%s_INCREASED_EXCHANGE_GOLD_TO_%s	%s has increased the gold to %s. 
%s_READIED_UP_EXCHANGE	%s prepared the trading. 
%s_REMOVED_%d_OF_EXCHANGE_ITEM_%s	%s removed %d to %s. 
%s_REMOVED_EXCHANGE_ITEM_%s	%s has removed the item %s. 
%s_REMOVED_READY_EXCHANGE	%s has stopped the trading. 
's Mount	's Mount 
AUTOLOOT	Third Hand
Automatic unstuck did not find a valid position. Ask a GM.	Automatic unstuck did not find a valid position. 
CANNOT_RIDE_WHILE_POLYMORPHED	You cannot ride while your transformed. 
CHANGE_CHANNEL_UNAVAILABLE	Channel not available. 
CHANGE_CHANNEL_ALREADY	You are already on the selected channel. 
CHANGING_CHANNEL	Zmieniasz kanał! 
Cannot equip a costume not matching the weapon type.	You cannot equip a costume not matching the weapon type. 
Cannot equip a costume without a weapon	You cannot equip a costume without a weapon. 
Chat has been banned on the operator form.	Chat has been banned on the operator form. 
Do not spam the chat!	Do not spam the chat! 
ELK_SET_TO_%lld	%lld has been added.
FISH_MIND	Fish Skill 
ITEM_CANNOT_BE_DESTROYED	This item cannot be destroyed. 
ITEM_IS_NOT_SEALED	This item is not sealed! 
ITEM_IS_SEALED_CANNOT_DO	This item is sealed! 
Inventory sorting only every 15 seconds	Inventory sorting only every 15 seconds
NO_PLAYER_FOUND_BY_NAME	The character was not found. 
OFFLINE_MESSAGE_SUCCESS	The offline message was sent successfully! 
PRIVATE_SHOP_SEARCH_SYSTEM_DISABLED	Currently the shopsearch is disabled. 
SAFEBOX	Storage Place 
TRADE_COMPLETED_WITHOUT_GOODS_EXCHANGE	The trade was without any items and gold successful. 
TRADE_STARTED	Trading started. 
This is not the correct evolution item for this item or it has none	This is not the correct evolution item for this item or it has none. 
This item cannot be used on this map	This item cannot be used on this map 
WEDDING_ENDING_LEAVE	The wedding ended. 
WEDDING_ENDING_SOON	The wedding will end soon. 
YOU_ADDED_%d_OF_EXCHANGE_ITEM_%s	You have added %d to %s. 
YOU_ADDED_EXCHANGE_ITEM_%s	You added %s. 
YOU_CANNOT_DROP_GOLD	You cannot drop gold. 
YOU_CANNOT_OPEN_SHOP_ON_THIS_MAP	You cannot open a shop on this map. 
YOU_CAN_ONLY_CHANGE_YOUR_SHOP_NAME_ONCE_IN_60_MINUTES_(%02d:%02d_left)	You can only change your shopname once in 60 minutes (%02d:%02d übrig) 
