ACCE_ABSORB_COST	Cena absorpcji: {}
GUILD_WAR_SELECT_WAR	Wybierz rodzaj walki
GUILD_WAR_TYPE_DEFENSE	Tarcza bojowa
GUILD_WAR_TYPE_DIE	Walka na arenie
GUILD_WAR_TYPE_FLAG	Walka o flagi
GUILD_WAR_TYPE_NORMAL	Pole bitwy
GUILD_WAR_TYPE_TIGER	Zagłada
GUILD_WAR_TYPE_TIME	Atak czasowy
GUILD_WAR_USE_BATTLE_MAP	Miejsce: Teatr Wojny Gildii
GUILD_WAR_USE_NORMAL_MAP	Miejsce: Normalna Mapa
GUILD_WAR_WIN_CHECK_SCORE	Najlepszy wynik wygrywa Wojnę.
GUILD_WAR_WIN_FIVE	Pięć rund
GUILD_WAR_WIN_ONE	Jedna runda
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zdobądź Flagę przeciwnika
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	i dostarcz ją do swojej bazy.
GUILD_WAR_WIN_THREE	Trzy rundy
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pokonaj wszystkich wrogów by wygrać.
GUILD_WITHDRAW	Wycofaj się
GUILD_YOU_DO_NOT_JOIN	Nie jesteś członkiem żadnej Gildii.
HORSE_HEALTH0	Martwy
HORSE_HEALTH1	Głodny
HORSE_HEALTH2	Wygłodzony
HORSE_HEALTH3	Pełny
HORSE_LEVEL1	Koń Zwykły
HORSE_LEVEL2	Koń Bojowy
HORSE_LEVEL3	Koń Wojskowy
HOUR	Godzin
HOW_MANY_ITEM_DO_YOU_DROP1	Czy chcesz niszczyć {}?
HOW_MANY_ITEM_DO_YOU_DROP2	Czy chcesz niszczyć {} {}?
INPUT_MATRIX_CARD_NUMBER	Wpisz numer karty Matrix.
INPUT_MATRIX_CARD_TITLE	Karta Matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Wprowadź kod usunięcia z zarządzania kontem.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Usuwanie postaci
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Zwoje powrotu nie mogą być łączone.
INVENTORY_REALLY_USE_ITEM	Na pewno chcesz zastosować ten przedmiot?
INVENTORY_REALLY_USE_ITEM2	Czy na pewno chcesz użyć tego przedmiotu?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Na pewno chcesz wsadzić swojego zwierzaka do klatki transportowej?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Chcesz otworzyć klatkę transportową?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Chcesz dać przedmiot {} zwierzakowi {}?
IS_NOT_PET_CHANGE_ITEM	To nie jest przedmiot: zaczaruj zwierzaka.
IS_NOT_PET_ITEM	To nie jest zwierzak.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Brak
JOB_ASSASSIN1	Ninja Ostrza
JOB_ASSASSIN2	Ninja Łuku
JOB_SHAMAN	Szaman
JOB_SHAMAN0	Brak
JOB_SHAMAN1	Szaman Mocy Smoka
JOB_SHAMAN2	Szaman Mocy Leczenia
JOB_SURA	Sura
JOB_SURA0	Brak
JOB_SURA1	Sura Broni
JOB_SURA2	Sura Magii
JOB_WARRIOR	Wojownik
JOB_WARRIOR0	Brak
JOB_WARRIOR1	Wojownik Mocy Ciała
JOB_WARRIOR2	Wojownik Mocy Duchowej
JOB_WOLFMAN	Likan
JOB_WOLFMAN0	Likan Amator
JOB_WOLFMAN1	Instynkt
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Zamknąć bez zapisywania?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] są tutaj niedozwolone!
KEYCHANGE_SAVE_EXIT	Zapisać i zamknąć?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	0
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	0
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DÓŁ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEWO
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	PRAWO
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACJA
KEY_SUBTRACT	-0
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	GÓRA
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Nazwa lidera
LEFT_TIME	Pozostały Czas
LOGIN_CONNECT_FAILURE	Błąd podczas łączenia się z serwerem.
LOGIN_CONNECT_SUCCESS	Zostałeś połączony z serwerem.
LOGIN_CONNETING	Prosimy o cierpliwość. Trwa łączenie z serwerem.
LOGIN_FAILURE_ALREAY	Twoje konto jest już połączone.
LOGIN_FAILURE_BACKEND_ERR	Wystąpił błąd. Skontaktuj się z supportem.
LOGIN_FAILURE_BE_SAME_KEY	Problem z rejestracją.
LOGIN_FAILURE_BLOCK_ID	To konto zostało zablokowane.
LOGIN_FAILURE_BLOCK_LOGIN	Serwer Zamknięty - proszę wybrać inny!
LOGIN_FAILURE_COUNTRY_ERR	Kod kraju jest niepoprawny.\nSkontaktuj się z supportem.
LOGIN_FAILURE_INTEGRTING	To konto jest łączone. Spróbuj ponownie później.
LOGIN_FAILURE_NOBILL	Twoje konto nie ma czasu gry.
LOGIN_FAILURE_NOT_AVAIL	Konto niedostępne.
LOGIN_FAILURE_NOT_EXIST_ID	Nieprawidłowa nazwa konta lub hasło.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Konieczna jest weryfikacja drogą mailową.
LOGIN_FAILURE_REPAIR_ID	Dla tego konta właśnie przywrócono przedmioty.
LOGIN_FAILURE_SAMELOGIN	Ktoś połączył się za pomocą Twojego konta.
LOGIN_FAILURE_SHUTDOWN	Serwer nie jest jeszcze otwarty.
LOGIN_FAILURE_STEAM_SESSION	Sesja wygasła. Prosimy o zrestartowanie klienta.
LOGIN_FAILURE_TOO_MANY_USER	Nie możesz się połączyć, ponieważ za dużo graczy jest online.
LOGIN_FAILURE_UNKNOWN	Nie możesz się zarejestrować z nieznanych powodów.
LOGIN_FAILURE_WEB_BLOCK	Twoje konto zostało zablokowane na stronie www. Proszę sprawdzić swoją pocztę e-mail.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Wpisałeś nieprawidłowy numer.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Wybrałeś zły numer trzy razy. /n Twoje połączenie zostanie zerwane.
LOGIN_FAILURE_WRONG_PASSWORD	Nieprawidłowa nazwa konta lub hasło.
LOGIN_INPUT_ID	Podaj swoje ID.
LOGIN_INPUT_PASSWORD	Wpisz swoje hasło.
LOGIN_PROCESSING	Logowanie...
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Brak wiadomości
MAILBOX_POST_ALL_DELETE_QUESTION1	Chcesz usunąć wszystkie wiadomości?
MAILBOX_POST_ALL_DELETE_QUESTION2	Wiadomości z załącznikiem nie zostaną usunięte.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Nie masz żadnych wiadomości z załącznikiem w skrzynce odbiorczej.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Czy chcesz odebrać załącznik? (Po potrąceniu 5% podatku za Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Wiadomość nie została usunięta. Odbierz najpierw znajdujący się tam załącznik.
MAILBOX_POST_DELETE_QUESTION	Czy na pewno chcesz usunąć tę wiadomość?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Przedmioty nie zostały przyjęte. Twój ekwipunek jest pełny.
MAILBOX_POST_GET_ITEMS_QUESTION	Czy chcesz odebrać załącznik? (Po potrąceniu 5% podatku za Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nie możesz przyjąć więcej Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nie możesz przyjąć więcej Yang.
MAILBOX_POST_GM_ARRIVE	Wiadomość GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Nieprzeczytane wiadomości: {}
MAILBOX_POST_NOT_CONFIRM_INFO_2	Brak załącznika: {} / Z załącznikiem: {}
MAILBOX_POST_READ_BLOCK	Czy na pewno chcesz zablokować: {}?
MAILBOX_POST_WRITE_ALREADY_ITEM	Możesz wysłać tylko jeden przedmiot w wiadomości.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Podziel najpierw nałożone przedmioty w ekwipunku, zanim dołączysz jeden z przedmiotów do wiadomości.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Nieznany odbiorca. Wiadomość nie została wysłana.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Skrzynka pocztowa odbiorcy jest pełna. Wiadomość nie została wysłana.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Możesz wysyłać wiadomości od poziomu 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Masz za mało Yang, aby wysłać wiadomość.
MAILBOX_POST_WRITE_NAME_CHECK	"Potwierdź nazwę odbiorcy, klikając na ""Sprawdź odbiorcę""."
MAILBOX_POST_WRITE_NAME_EMPTY	Podaj nazwę odbiorcy.
MAILBOX_POST_WRITE_QUESTION1	Czy chcesz teraz wysłać wiadomość do: {}?
MAILBOX_POST_WRITE_QUESTION2	Opłata za dostawę: {} Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Podaj nazwę odbiorcy.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Podaj temat.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Pieniądze
MAILBOX_POST_WRITE_WRONG_ITEM	Nie możesz wysyłać przedmiotów przywiązanych do duszy.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Ta wiadomość zawiera niedozwolone słowa.
MAILBOX_POST_WRITE_WRONG_TITLE	Temat zawiera niedozwolone słowa.
MALL_CANNOT_INSERT	Nie możesz umieścić Przedmiotu.
MALL_PASSWORD_TITLE	Hasło
MAP_A1	Strefa Yongan
MAP_A2	Dolina Seungryong
MAP_A2_1	
MAP_A3	Strefa Yayang
MAP_AG	Jungrang
MAP_B1	Strefa Joan
MAP_B2	Dolina Imji
MAP_B3	Strefa Bokjung
MAP_BATTLE_FIELD	Strefa Walki
MAP_BAY	Nefrytowa Zatoka
MAP_BAYBLACKSAND	Nefrytowa Zatoka
MAP_BG	Waryong
MAP_C1	Strefa Pyungmoo
MAP_C2	Dolina Bangsan
MAP_C3	Strefa Bakra
MAP_CAPE	Przylądek Smoczego Ognia
MAP_CAPEDRAGONHEAD	Przylądek Smoczego Ognia
MAP_CG	Imha
MAP_CZ_DUNGEON	Świątynia Zodiaku
MAP_DAWN	Klif Gautama
MAP_DAWNMISTWOOD	Klif Gautama
MAP_DAWNMIST_DUNGEON_01	Zaklęty Las
MAP_DEFENSE_WAVE	Obrona statku
MAP_DEFENSE_WAVE_PORT	Port
MAP_DESERT	Duel-Map
MAP_DESERT22	Tournament-Map
MAP_DEVILCATACOMB	Diabelskie Katakumby
MAP_DEVILTOWER1	Wieża Demonów
MAP_DUEL	Arena Treningowa
MAP_E	Kolonia
MAP_EMPIREWAR01	Walka o Zamek
MAP_EMPIREWAR02	Walka o Zamek
MAP_EMPIREWAR03	Walka o Zamek
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Wojna Królestw - Pustynna Kraina
MAP_HOLYPLACE_FLAME	Wojna Królestw - Ognista Ziemia
MAP_HOLYPLACE_ICE	Wojna Królestw - Lodowa Ziemia
MAP_MILGYO	Świątynia Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Gromiste Góry
MAP_MT_TH_DUNGEON_01	Świątynia Ochao
MAP_NUSLUCK	Kraina Gigantów
MAP_NUSLUCK01	Kraina Gigantów
MAP_N_DESERT_01	Pustynia Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ognista Ziemia
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Schronienie Meley
MAP_N_FLAME_DUNGEON_01	Twierdza Czerwonego Smoka
MAP_N_SNOWM_01	Góra Sohan
MAP_N_SNOWM_02	Greenscreen
MAP_N_SNOW_DUNGEON_01	Strażnica Nemere
MAP_N_THREEWAY	Dolina Seungryong
MAP_OXEVENT	Konkurs OX
MAP_MELEYS_LAIR	Meleys Lair
MAP_PATHWAY_DESERT_01	Wojna Królestw - Pustynna Kraina
MAP_PATHWAY_DESERT_02	Wojna Królestw - Pustynna Kraina
MAP_PATHWAY_DESERT_03	Wojna Królestw - Pustynna Kraina
MAP_PATHWAY_FLAME_01	Wojna Królestw - Ognista Ziemia
MAP_PATHWAY_FLAME_02	Wojna Królestw - Ognista Ziemia
MAP_PATHWAY_FLAME_03	Wojna Królestw - Ognista Ziemia
MAP_PATHWAY_ICE_01	Wojna Królestw - Lodowa Ziemia
MAP_PATHWAY_ICE_02	Plac Zabaw
MAP_PATHWAY_ICE_03	Wojna Królestw - Lodowa Ziemia
MAP_SKELTOWER	Wieża Gumsan
MAP_SKIPIA_DUNGEON_01	Grota Wygnańców
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grota Wygnańców
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Świątynia Smoka
MAP_SKIPIA_DUNGEON_BOSS_1	Loch Pająków 1
MAP_SKIPIA_DUNGEON_BOSS_2	Loch Pająków 2
MAP_SKIPIA_DUNGEON_BOSS_3	Loch Pająków 3
MAP_SNOW	Góra Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Loch Pająków 1
MAP_SPIDERDUNGEON_02	Loch Pająków 2
MAP_SPIDERDUNGEON_02_1	Loch Pająków 2
MAP_SPIDERDUNGEON_03	Loch Pająków 3
MAP_SUNGZI	Wojna Królestw
MAP_SUNGZI_DESERT_01	Wojna Królestw - Pustynny Kraj
MAP_SUNGZI_DESERT_HILL_01	Wojna Królestw - Pustynny Kraj
MAP_SUNGZI_DESERT_HILL_02	Wojna Królestw - Pustynny Kraj
MAP_SUNGZI_DESERT_HILL_03	Wojna Królestw - Pustynny Kraj
MAP_SUNGZI_FLAME_HILL_01	Wojna Królestw - Ognista Ziemia
MAP_SUNGZI_FLAME_HILL_02	Wojna Królestw - Ognista Ziemia
MAP_SUNGZI_FLAME_HILL_03	Wojna Królestw - Ognista Ziemia
MAP_SUNGZI_SNOW	Wojna Królestw - Lodowa Ziemia
MAP_SUNGZI_SNOW_PASS01	Wojna Królestw - Lodowa Ziemia
MAP_SUNGZI_SNOW_PASS02	Wojna Królestw - Lodowa Ziemia
MAP_SUNGZI_SNOW_PASS03	Wojna Królestw - Lodowa Ziemia
MAP_T1	Obszar Wojny Gildii
MAP_T2	Obszar Wojny Gildii
MAP_T3	Obszar Wojny Gildii
MAP_T4	Obszar Wojny Gildii
MAP_TEMPLE	Świątynia Hwang
MAP_THUNDER	Gromiste Góry
MAP_TREE	Lungsam
MAP_TRENT	Las Duchów
MAP_TRENT02	Czerwony Las
MAP_TRENT02_A	Czerwony Las
MAP_TRENT_A	
MAP_WEDDING_01	Mapa Wesela
MAP_WL	Wężowe Pole
MAP_WL_01	Wężowe Pole
MC_ACCUMULATION_COUNT	Zebrane karty potwora: {}
MC_ALTER_TEXT	Poziom misji {}
MC_CARD_FALL_SHORT	Za mało zarejestrowanych kart.
MC_CARD_SHUFFLE	Czy chcesz przetestować karty?
MC_INIT_ITEM_FALL_SHORT	Potrzebujesz {} kart(y) resetu.
MC_MISSION_FAIL_MSG	Brak aktywnych misji lub limit przekroczony.
MC_MISSION_INIT	Czy chcesz zresetować misję do poziomu 1?
MC_MISSION_NO_CLEAR	Najpierw musisz zakończyć misję.
MC_MOTION_BUTTON_OVER_MSG	Opcja ta jest dostępna dopiero od 2. gwiazdy.
MC_POLY_BUTTON_OVER_MSG	Opcja ta jest dostępna dopiero od 3. gwiazdy.
MC_POLY_FAIL	Nie możesz się transformować.
MC_POLY_QUESTION	Czy chcesz się transformować w tego potwora?
MC_PROMOTION_MAX	Nie możesz już przeprowadzić ulepszenia.
MC_PROMOTION_QUESTION	Chcesz zwiększyć poziom?
MC_QUESTION_BUTTON_DESC1	Reset jest możliwy tylko 6 razy w ciągu 24 godzin.
MC_QUESTION_BUTTON_DESC2	Każdy kolejny reset wymaga więcej kart resetu.
MC_QUESTION_BUTTON_DESC3	Kliknij tutaj, by wyświetlił się pozostały czas regeneracji.
MC_REWARD_FAIL	Masz za mało miejsca w ekwipunku.
MC_REWARD_MISSION	Czy chcesz teraz otrzymać swoją kartę potwora?
MC_SHUFFLE_NO_ITEM	Nie masz karty resetu.
MC_TIME	Czas regeneracji: {}
MC_TRADE_QUESTION	Odjęte karty: {} Czy chcesz kontynuować?
MC_USE_ITEM_FAIL	Nie można dodać tej karty.
MC_USE_ITEM_QUESTION	Czy chcesz dodać tę kartę potwora?
MC_WARP_BUTTON_OVER_MSG	Opcja ta jest dostępna dopiero od 4. gwiazdy.
MC_WARP_FAIL	Nie możesz już się teleportować.
MC_WARP_LIMIT_LEVEL	Aktualnie masz za niski poziom, by móc się teleportować.
MC_WARP_QUESTION	Czy chcesz się teleportować to obszaru tego potwora?
MESSENGER_ADD_BLOCK_FRIEND	Dodaj
MESSENGER_ADD_FRIEND	Dodaj Przyjaciela
MESSENGER_BLOCK	Zablokowany
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	{} dodał Cię jako przyjaciela.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Zaakceptować?
MESSENGER_DO_YOU_DELETE	Usunąć?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Czy chcesz usunąć numer telefonu komórkowego?
MESSENGER_DO_YOU_MOVE	Czy chcesz kontynuować?
MESSENGER_EMPTY_LIST	Pusto
MESSENGER_FAMILY	Rodzina
MESSENGER_FRIEND	Znajomi
MESSENGER_GUILD	Gildia
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Wprowadź numer potwierdzający, który został wysłany na twój telefon komórkowy.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Wprowadź numer potwierdzający
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Wprowadź numer telefonu komórkowego do wysyłania wiadomości tekstowych.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Czy chcesz teraz wprowadzić numer?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Wprowadź numer telefonu komórkowego.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Wyślij wiadomość.
METIN_TEST	
MINIGAME_FISH_EVENT_ADD_ACCEPT	Chcesz to dodać?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Czy na pewno chcesz upuścić ten przedmiot?
MINIGAME_FISH_EVENT_REWARD_MSG	Otrzymujesz: {}.
MINIGAME_FISH_EVENT_USE_ACCEPT	Chcesz to użyć?
MINIMAP	Otwórz Mini Mapę
MINIMAP_CANNOT_SEE	Nie można zobaczyć Mini Mapy.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Podgląd Mapy nie może zostać ukazany.
MINIMAP_DEC_SCALE	Oddal
MINIMAP_INC_SCALE	Przybliż
MINIMAP_OBSERVER_COUNT	{} obserwatorów
MINIMAP_SHOW_AREAMAP	Otwórz Dużą Mapę
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Jeśli użyjesz kilku przedmiotów: {}, otrzymasz w nagrodę liczbę skrzyń odpowiadającą liczbie użytych talii.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maksymalna liczba talii królewskich, których można użyć: {}.
MINI_GAME_CATCHKING_HELP_MSG1	Wielka szkoda! Twoja karta jest niższa.\nNie otrzymujesz punktów. Wybierz nową kartę ze swojej talii.
MINI_GAME_CATCHKING_HELP_MSG2	Dobra robota! Karty mają tę samą wartość.\n To koniec twojej kolejki. Wybierz nową kartę ze swojej talii.
MINI_GAME_CATCHKING_HELP_MSG3	Znakomicie! Twoja karta jest wyższa.\nOdkryj kolejną kartę.
