%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Per migliorare questa abilità devi leggere ancora %d Libri dell'Abilità. 
%d 냥을 투자하셨습니다.	Hai investito %d Yang. 
%d 냥을 획득하셨습니다.	Hai vinto %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Devi raggiungere il livello %d per poter ricolorare i tuoi capelli. 
%d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d minuti %d secondi 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d minuti %d secondi 
%d 시간 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d secondi 
%d 종류 %d 마리 낚음	Ne hai catturati %d di %d. 
%d 초 동안 채팅금지 상태입니다	Il tuo blocco chat durerà ancora %d secondi 
%d 초 후에 군주의 축복을 사용할 수 있습니다	La Benedizione dell'Imperatore può essere utilizzata dopo %d sec. 
%d 초간 쿨타임이 적용중입니다.	Tempo d'attesa circa %d sec. 
%d 초후 목적지로 이동됩니다.	%d secondi dopo averlo usato arrivi nel luogo desiderato. 
%d%% 확률로 관통 공격	Attacco perforante con una probabilità di %d%%. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Aumento dell'esperienza %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Aumento degli Yang saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% di possibilità di rigenerare i tuoi HP dopo un vittoria sull'avversario. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Aumento degli oggetti saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 정신력 회복	Aumento della mana di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 치명타 공격	Attacco critico con una probabilità di %d%%. 
%d%% 확률로 타격시 상대 전신력 소모	Con una probabilità di %d%% la mana dell'avversario sarà presa. 
%d%% 확률로 피해시 정신력 회복	Probabilità di assorbimento di %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Tempo di gioco viene aggiunto al tuo account. (Nr. di pagamento %d) 
%d의 경험치를 획득했습니다.	Hai ricevuto %d esperienza. 
%d초 남았습니다.	%d secondi al logout. 
%d초 만큼 충전되었습니다.	%d secondi sono stati caricati. 
%d초 후 게임이 셧다운 됩니다.	Tra %d secondi il gioco sarà concluso. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consumo SP: %d. 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numero della Terra Santa %d. 
%s 군주 후보에서 삭제하였습니다	%s è cancellato come candidato alla carica di imperatore. 
%s 군주로 입명 했습니다.	%s è nominato Imperatore. 
%s 군주르 제거 하였습니다..	L'Imperatore %s è stato destituito. 
%s 군주를 제거 할수 없습니다.	L'Imperatore %s non può essere destituito. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	La Gilda %s ha dichiarato guerra alla Gilda %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s ha vinto la guerra tra Gilde contro %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s ha conquistato la bandiera della %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	La guerra tra Gilde di %s e %s è finita in parità. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	La guerra tra Gilde di %s e %s è stata interrotta. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	La guerra tra Gilde di %s e %s comincerà tra pochi minuti! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	La guerra tra Gilde di %s e %s è cominciata! 
%s 길드의 %s이 %d%% 증가했습니다!	%s della Gilda %s è salito di %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s della Gilda %s si è normalizzato. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	La bandiera della Gilda %s è stata rubata dal giocatore %s. 
%s 는 군주 후보가 아닙니다.	%s non è un candidato alla carica di Imperatore. 
%s 는 군주로 입명할수 없습니다 .	%s Non può essere nominato Imperatore. 
%s 님과의 교환이 성사 되었습니다.	Il commercio con %s è riuscito. 
%s 님에게 파티가입 신청을 했습니다.	Desideri entrare nel gruppo di %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s ha rifiutato l'invito. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Il giocatore %s è nel canale %d. (Il tuo canale è %d) 
%s 님은 접속되 있지 않습니다.	%s non è online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Il giocatore è già nella votazione. 
%s 님을 소환하였습니다.	Hai reclutato il giocatore %s. 
%s 님이 대련에서 승리하였습니다.	%s ha vinto il duello. 
%s 님이 승리하였습니다.	%s ha vinto. 
%s 블럭! (%d%%)	%s blocca! (%d%%). 
%s 아이템 을 획득하셨습니다	Hai vinto %s oggetto. 
%s 아이템이 필요합니다	Ti serve %s. 
%s 에게로 이동합니다	Teleportare dal giocatore %s. 
%s 회피! (%d%%)	%s eludi! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: questa Gilda non esiste. 
%s[%d]가 공격 위치: %d %d	Posizione d'attacco di %s[%d]: %d %d 
%s님과의 대결 시작!	La lotta con %s è iniziata! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s ti ha sfidato alla lotta! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s ha lanciato i dadi. Lui/lei ha ottenuto %d (%d-%d). 
%s를 구웠습니다.	Arrostisci %s sul fuoco. 
%s에 박혀있던 보석이 사라집니다.	Una pietra preziosa di %s è sparita. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Un fuoco di vedetta è stato acceso a %s per avvertire di una battaglia. 
%s에게 대결신청을 했습니다.	Hai sfidato alla lotta %s. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	A %s c'è una guerra per accendere i fuochi di vedetta. 
%s에서 소켓 빠질때까지 남은 시간 %d	Alla rimozione della montatura di %s rimangono: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s è salito di %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s di %s si è normalizzato. 
%s의 군주가 %s 님으로 교체되었습니다.	L'imperatore di %s è stato modificato in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s ha distrutto tutti i fuochi di vedetta. 
%s이 봉화를 파괴했습니다.	%s ha distrutto il fuoco di vedetta. 
%s이 수성에 성공했습니다.	A %s è riuscita la difesa. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s ha perso la guerra perchè non sono riusciti a difendere il castello. 
%s이 필요합니다.	Per fare questo ti serve: %s 
무기와 갑옷에만 사용 가능합니다.	Da utilizzare solo su armi e armature. 
무당공격에 %d%% 저항	%d%% Resistenza contro attacchi shamani. 
무당에게 강함 +%d%%	Forte contro Shamani + %d%%. 
무료 개량 기회는 20 이하의 무기만 가능합니다	Il miglioramento gratuito delle armi può essere usato solo per armi fino a livello 20. 
무사공격에 %d%% 저항	%d%% Resistenza contro attacchi guerriero. 
무사에게 강함 +%d%%	Forte contro guerrieri + %d%%. 
문자 메세지 전송에는 2000원이 필요 합니다.	Ti servono 2000 MD per inviare un SMS. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	Devi essere almeno a livello 20 per inviare SMS. 
문자 메세지를 전송 했습니다.	Il tuo SMS è stato inviato. 
문제 입니다.	Domanda. 
문제를 출제하였습니다.	Si è verificato un errore. 
문제를 출제하지 못했습니다.	Non si è verificato alcun errore. 
물 속에 모닥불을 피울 수 없습니다.	Non puoi fare un falò nell'acqua. 
물리타격시 블럭 확률 %d%%	%d%% probabilità blocco attacco corporale 
물약 사용시 %d%% 성능 증가	Aumento del rendimento di %d%% attraverso l'uso della pozione. 
물약 제조에 실패했습니다.	La creazione della pozione è fallita. 
물약 제한이 없습니다.	Non c'è un limite per le pozioni. 
물약 조합을 위한 재료가 부족합니다.	Ti manca materiale per creare la pozione. 
물약을 %d 개 까지 사용 가능합니다.	Puoi utilizzare %d pozioni. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	Mi sento rinfrescato. 
미끼를 끼고 던져 주세요.	Devi mettere prima l'esca sull'amo. 
민첩 +%d	Destrezza +%d. 
민첩이 낮아 착용할 수 없습니다.	Non hai abbastanza destrezza per indossarlo. 
밀교류 타격치 +%d%%	Potenziamento dell'attacco contro Milgyo + %d%% 
바람 저항 %d%%	Resistenza vento %d%%. 
방어력 +%d	Armatura + %d. 
방어력 +%d%%	Difesa + %d%%. 
방울 방어 %d%%	Campana-Difesa %d%%. 
배 속에서 조개가 나왔습니다.	Nel pesce c'è una conchiglia. 
배 속에서 지렁이가 나왔습니다.	Nel pesce c'è un verme. 
버릴 수 없는 아이템입니다.	Non puoi lasciar cadere questo oggetto. 
변경할 속성이 없습니다.	Non hai nessun miglioramento da modificare. 
변신 상태에서는 말에 탈 수 없습니다.	Non puoi cavalcare nessun cavallo fino a quando sei trasformato. 
변신중에는 책을 읽을수 없습니다.	Non puoi leggere libri quando sei trasformato. 
부착할 수 있는 슬롯이 없습니다.	Non hai uno slot libero. 
부채 방어 %d%%	Ventaglio-Difesa %d%%. 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	È stato scoperto un software illegale. Il tuo gioco è stato interrotto. 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	Al tuo negozio non puoi dare un nome non valido. 
빈 병이 모자릅니다.	Non hai abbastanza bottiglie vuote. 
빼낼 수 있는 메틴석이 없습니다.	Non ci sono rocce Metin da estrarre. 
빼낼 영석이 없습니다	Non c'è nessuna pietra che può essere tolta. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	Puoi essere ricompensato solo una volta per la missione nella Torre del Demone. 
사용 제한량을 초과하였습니다.	Questo è sopra il tuo limite. 
사용법: transfer <name>	Usa: transfer <nome> 
사용법: warpto <character name>	Ordine : teleporta da <character name>. 
사용할수 없습니다.	Non puoi teleportarti dal tuo consorte ora. 
삼거리 몹 리젠	Numero dei mostri della guerra dei regni. 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	Durante la guerra dei regni non puoi usare il papiro Torna Indietro. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	Il Regno %s è stato sconfitto ed esce per primo dalla guerra dei regni. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	L'avversario si è sconnesso. Il duello è fermo. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	L'avversario ha problemi. Il duello verrà concluso. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	L'altra persona non ha abbastanza Yang, o non ha spazio nell'inventario. 
상대방의 소지품에 빈 공간이 없습니다.	L'altra persona non ha spazio nell'inventario. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	Il giocatore possiede piú di 2 Mrd. Yang. Non puoi commerciare con lui. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	Il giocatore è nel canale %d. (Tu sei nel canale %d.) 
상대방이 교환 거부 상태입니다.	L'altra persona ha interrotto le trattative. 
상대방이 다른 거래를 하고 있는 중입니다.	Il giocatore sta commerciando con un altro. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	L'altra persona sta commerciando per cui ora non puoi commerciare. 
상대방이 대련중입니다.	Il giocatori stanno duellando. 
상대방이 메신져 추가 거부 상태입니다.	Il giocatore ha rifiutato di essere aggiunto alla tua lista di amici. 
상대방이 온라인 상태가 아닙니다.	Il giocatore non è online. 
상대방이 있는 곳으로 워프할 수 없습니다.	Non puoi teleportarti dal giocatore. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	Il personaggio che hai di fronte non può essere aggiunto ai tuoi amici. 
상대방이 파티에 속해있지 않습니다.	Il giocatore non è nel gruppo. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	Il forziere è improvvisamente esploso! Hai perso HP. 
상자에서 %s 가 %d 개 나왔습니다.	Ricevi %s, %d unità. 
상자에서 %s 가 나왔습니다.	Nel forziere c'è %s. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	Se respiri il fumo verde che esce dal forziere il veleno si distribuisce nel tuo corpo! 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	Se respiri il fumo rosso che esce dal forziere aumenti la tua velocità! 
상자에서 몬스터가 나타났습니다!	Dal forziere è uscito un mostro! 
상자에서 부터 신비한 빛이 나옵니다.	Una luce misteriosa esce dal forziere. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	Sei troppo lontano dal negozio per poter acquistare. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	Sei troppo lontano dal negozio per poter vendere. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	Non hai abbastanza spazio in inventario per ricevere la ricompensa. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	È complicato e più difficile da capire di quello che credevo. 
생명력 회복 +%d	Ripresa della vita +%d. 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	Si è verificato un errore critico del server. Il server viene riavviato automaticamente. 
선악치가 %d 증가하였습니다.	Il tuo karma è salito di %d punti. 
선악치를 더 이상 올릴 수 없습니다.	Il valore dei Punti Karma non può essere aumentato ulteriormente. 
선택 맵 정보 성지 %d 통로 %d %d %d	Scegli la mappa delle informazioni della Terra Santa %d Passaggio %d %d %d. 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	Non puoi usare questo item perchè il carattere non corrisponde. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	L'oggetto può essere aperto solo da personaggi dell'altro sesso. 
성에서만 사용할 수 있는 기능입니다.	Questa funzione può essere utilizzata solo nel castello. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	Il tempo d'attesa è trascorso. Tornerai in vita in città. 
성지의 마왕: 너희	Il diavolo del luogo consacrato. 
세금이 %d %로 설정되었습니다	Le tasse sono state portate a %d % . 
셧다운이 %d초 남았습니다.	%d secondi al logout. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	Hai più di 2 Mrd. Yang con te. Non puoi commerciare. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	Non hai abbastanza Yang per usare l'oggetto. 
소지품에 빈 공간이 없습니다.	Non c'è abbastanza spazio nell'inventario. 
소지하고 있는 아이템이 너무 많습니다.	Porti con te troppi oggetti. 
소켓 추가에 실패하였습니다.	Nessuna montatura aggiunta. 
소켓이 성공적으로 추가되었습니다.	La montatura è stata aggiunta con successo. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	Non puoi chiamare il mostro, controlla il numero del mob. 
속성 추가에 성공하였습니다.	Il miglioramento è stato effettuato con successo. 
속성 추가에 실패하였습니다.	Nessun miglioramento aggiunto. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	Potrai farlo %d minuti dopo il miglioramento. (%d minuti rimasti) 
속성을 변경하였습니다.	Hai modificato il miglioramento. 
속성을 변경할 수 없는 아이템입니다.	Non puoi modificare il miglioramento di questo oggetto. 
수라공격에 %d%% 저항	%d%% Resistenza contro attacchi sura. 
수라에게 강함 +%d%%	Forte contro Sura + %d%%. 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	Allenamento fallito. Sei pregato di riprovare più tardi. 
수련할 수 없는 스킬입니다.	Non puoi allenare la tua abilità. 
스킬 데미지 %d%%	Danni abilità %d%%. 
스킬 데미지 저항 %d%%	Resistenza contro danni abilità %d%%. 
스킬 레벨을 내리는데 성공하였습니다.	Il tuo livello abilità è diminuito. 
스킬 레벨을 내릴 수 없습니다.	Non puoi diminuire il tuo livello abilità. 
스턴 +%d	Stella +%d. 
슬로우 +%d	Riduzione della velocità +%d 
승마 수련서 이해에 실패하였습니다.	Non hai capito le istruzioni d'equitazione. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	Hai letto le istruzioni sull'equitazione e hai ottenuto un Punto Equitazione. 
시체류 타격치 +%d%%	Potenziamento dell'attacco contro zombie + %d%% 
신수국	Regno Shinsoo. 
쓰러진 상태에서는 말에 탈 수 없습니다.	Finché sei a terra non puoi montare sul cavallo. 
쓰러진 상태에서는 할 수 없습니다.	Non lo puoi fare se sei caduto a terra. 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	Leggo sempre la stessa riga. 
아무것도 얻을 수 없었습니다.	Non hai ricevuto nulla. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Dopo il commercio non puoi usare i papiri per %d sec. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	La quota dei drop degli oggetti è in lavorazione o attuale è di %d%%. 
아이템 드롭율 %.1f배	Probabilità di trovare un oggetto % 1f. 
아이템 룰렛 시작.	Avvia la roulette degli oggetti. 
아이템 전달: %s 님에게 %s	Commercio di oggetti: %s, %s. 
아이템 획득: %s	ricevuto %s. 
아이템 획득: %s 님으로부터 %s	Ottenuti %s, %s untità 
아이템로그가 syslog 에 남았습니다	Il log degli oggetti è stato inserito nel syslog. 
아이템을 건네줄 수 없습니다.	Non puoi dare via questo oggetto. 
아이템의 레벨 제한보다 레벨이 낮습니다.	Il tuo livello è minore del livello dell'oggetto dopo il miglioramento. 
아이템이 나올 확률	Percentuale di drop oggetti 
아직 골드를 버릴 수 없습니다.	Non puoi ancora gettare via l'oro. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	Non è ancora possibile ricominciare dalla città. Aspetta %d sec. 
아직 사용할 수 없습니다.	Non può essere ancora utilizzato. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	Puoi iniziare l'allenamento a cavallo solo dopo il livello 50. 
아직 이 머리를 사용할 수 없는 레벨입니다.	Il tuo livello è troppo basso per portare questa pettinatura. 
아직 재시작 할 수 없습니다. (%d초 남음)	Non è possibile ricominciare. Aspetta %d sec. 
아직 재시작 할 수 없습니다.(%d초 남음 )	Non è possibile ricominciare. Aspetta %d sec. 
아직 재시작 할 수 없습니다.(%d초 남음)	Non è possibile ricominciare. Aspetta %d sec. 
악마류 타격치 +%d%%	Potenziamento dell'attacco contro demoni + %d%% 
안녕하세요. 메틴2 입니다.	Benvenuto su Metin2. 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	Se possiedi più di 2 Mrd. Yang non puoi commerciare. 
양손검 방어 %d%%	Spadone-Difesa %d%%. 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	Sto facendo progressi ma non ho ancora capito tutto. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Migliora la tua canna da pesca dal pescatore. 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	Puoi usare questo punto per migliorare la tua abilità in equitazione! 
얼마 안 남았어! 조금만 더!	È quasi fatta! Ancora un po'! 
여자만 할 수 있습니다.	Possono farlo solo le donne. 
연계기는 더이상 수련할 수 없습니다.	Non puoi allenare in altri Combo. 
열쇠가 맞지 않는 것 같다.	Questa chiave sembrerebbe non andare bene. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	È la chiave giusta. 
열쇠로 여는 물건이 아닌것 같다.	Questo oggetto non può essere aperto con una chiave. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Chiuso. Dovresti cercare la chiave. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	Ho compreso questo capitolo, ma devo lavorare ancora sodo. 
열정의 가면을 착용시에만 할 수 있습니다.	Lo potrai fare quando indosserai la maschera dei sentimenti. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	La Bussola dei Metin è scomparsa con la luce misteriosa. 
영석 감지기가 흔적도 없이 사라집니다.	La bussola dei Metin è sparita. 
예복을 입은 상태에서 말을 탈 수 없습니다.	Non puoi cavalcare se porti un abito da sposa o uno Smoking. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	Devi avere almeno il livello %d per poter chiamare. 
외치기는 유료회원만 사용할수 있습니다	Devi avere un livello maggiore per poter chiamare. 
용신의 가호로 경험치가 떨어지지 않았습니다.	Grazie alla Benedizione del Dio del Drago non hai perso esperienza. 
용신의 보호로 아이템이 떨어지지 않았습니다.	Grazie alla protezione del Dio del Drago non hai lasciato cadere oggetti. 
용심 추출에 성공하였습니다.	La durata rimanente della Pietra del Drago è stata estratta con successo. 
용심 추출에 실패하였습니다.	L'estrazione della durata rimanente è fallita. 
용혼석 상자가 활성화되지 않았습니다.	La Pietra del Drago non è attiva. 
용혼석 추출에 성공하였습니다.	La Pietra del Drago è stata eliminata. 
용혼석 추출에 실패하여 %s를 얻었습니다.	L'eliminazione della Pietra del Drago è fallita. Tuttavia, hai ricevuto: %s 
용혼석 추출에 실패하였습니다.	L'eliminazione della Pietra del Drago è fallita. 
운영자 제제로 채팅이 금지 되었습니다.	La tua Chat é stata bloccata dal GM. 
웅귀족 타격치 +%d%%	Potenziamento dell'attacco contro Wonggui + %d%% 
원래 위치로 복귀	Sarai riportato al luogo d'origine. 
월병 또는 종자 를 사용하였습니다	Usa la torta della luna o i semi. 
월병,종자 사용후 5초동안 사용할수 없습니다.	Puoi usare la torta della luna ogni 5 Sec. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	In un negozio privato non possono essere venduti oggetti acquistati nell'item-shop. 
을	il 
을두지를 통하여 입장 가능합니다.	Con il permesso di Uriel l'entrata è concessa. 
이 개량서로 개량할 수 없습니다.	Con questo papiro non puoi migliorare. 
이 개량서로 더 이상 개량할 수 없습니다.	Questo papiro della Guerra non funziona con oggetti di livello +4 o maggiore. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	La Bussola dei Metin non funziona nei sotterranei. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	Da qui non puoi usare il cerca eventi. 
이 메틴석은 무기에 부착할 수 없습니다.	Non puoi applicare questa Pietra Spirituale a un'arma. 
이 메틴석은 장비에 부착할 수 없습니다.	Non puoi applicare questa Pietra Spirituale a questo tipo di oggetto. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	La tua abilità non è abbastanza alta per fare l'allenamento a Gran Maestro. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	Questa abilità non è abbastanza alta per allenarla con un libro. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	Non puoi più allenare questa abilità con un libro. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	A questo oggetto non può essere aggiunta nessuna montatura. 
이 아이템은 PC방에서만 사용할 수 있습니다.	Questo oggetto può essere usato solo in un Internetcafe. 
이 아이템은 개량할 수 없습니다.	Questo oggetto non può essere migliorato. 
이 아이템은 이 방식으로는 개량할 수 없습니다.	Questo oggetto non può essere migliorato in questo modo. 
이 아이템을 장착할 수 없습니다.	Questi oggetti non possono essere usati insieme. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	In questo accessorio non possono essere aggiunte altre pietre preziose. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	In questo accessorio non possono essere aggiunte ulteriori montature. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	In questo accessorio non c'è nessuna montatura per le pietre preziose. 
이 책으로는 더 이상 수련할 수 없습니다.	Non puoi continuare ad allenarti con questo libro. 
이 책은 너무 어려워 이해하기가 힘듭니다.	Questo libro è troppo difficile da capire. 
이 책은 너무 어려워서 수련할 수 없습니다.	Il libro è troppo difficile per esercitarsi. 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	Questo libro non ti aiuta. 
이 책을 읽으려면 레벨을 더 올려야 합니다.	Devi aumentare il tuo livello per poter leggere questo libro. 
이 행동은 상호동의 하에 가능 합니다.	Per fare quest`azione ti serve il consenso del tuo compagno. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	Non puoi usare il papiro Torna Indietro perché sei troppo vicino. 
이동속도 %d	Velocità di movimento %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	Sei pronto per teleportarti, per cui non puoi usare il papiro Indietro. 
이래서야 공부가 안된다구.	Ho difficoltà a concentrarmi, devo fare una pausa. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	Trasporti già questo tipo di Pietra del Drago. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	Cambi l´esca attuale con %s. 
이미 둔갑중인 상태입니다.	Ti sei già trasformato. 
이미 선전포고 중인 길드입니다.	Hai dichiarato guerra a questa Gilda. 
이미 완벽하게 알아들을 수 있는 언어이다.	Sei già in grado di capire questa lingua. 
이미 입후보되어있습니다	Esiste già una candidatura. 
이미 장비를 착용하고 있습니다.	Ti sei già equipaggiato con una Pietra del Drago di questo tipo. 
이미 전쟁이 끝났습니다.	La guerra è già finita. 
이미 제조창이 열려있습니다.	La finestra di produzione è aperta. 
이미 탈것을 이용중입니다.	Stai già cavalcando. Prima devi smontare dal tuo animale. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	Non puoi accettare l'invito perché sei già nel gruppo. 
이미 효과가 걸려 있습니다.	L'effetto comincia a farsi sentire. 
이미투표를 했음	Già votato. 
이번에 잡은 물고기의 길이는 %.2fcm	La lunghezza del pesce pescato è di %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	Il cerca eventi è scomparso con la luce misteriosa. 
이벤트용 감지기가 흔적도 없이 사라집니다.	Il cerca eventi è scomparso. 
이성간에만 할 수 있습니다.	Quest'azione può essere effettuata solo con un personaggio dell'altro sesso. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Ora capisco! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	Sono arrivato all'ultima pagina del libro. L'allenamento è quasi concluso! 
인간류 몬스터 타격치 +%d%%	Potenza d'attacco del giocatore contro i mostri +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	Il tuo inventario è pieno. L'item non può essere raccolto. 
인증번호가 틀렸습니다. 다시 시도하세요.	Il tuo Nr. di conferma è errato. Riprova. 
입력하신 이름을 가진 사용자가 없습니다.	Non esiste nessun giocatore con questo nome. 
자객공격에 %d%% 저항	%d%% Resistenza contro attacchi ninja. 
자객에게 강함 +%d%%	Forte contro Ninja + %d%%. 
자동으로 나가게됩니다.	Viene abbandonato automaticamente. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	Quando scegli il personaggio comparirà l'icona. 
자신을 소환할 수 없습니다.	Non puoi reclutare te stesso. 
자재가 부족하여 건설할 수 없습니다.	Non hai abbastanza materiali per costruire. 
잘못된 둔갑 아이템입니다.	Questo è l'oggetto della mutazione errato. 
잘못된 선택을 했습니다	La scelta è errata. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	Tra poco reinizierà OX Event. 
잠시 후 마을로 이동되겠습니다.	Tra breve il giocatore sarà teletrasportato in città. 
잠시후 모두 마을로 이동됩니다.	Tra poco tutti saranno teletrasportati nella città. 
잠시후 해당 마을은  마을로 이동됩니다.	Tra poco tutti saranno teleportati nella città prescelta. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Gli oggetti vincolati non possono essere venduti nei negozi privati. 
장착에 성공하였습니다.	Equipaggiamento avvenuto con successo. 
장착에 실패하였습니다.	Equipaggiamento fallito. 
재료(%s)가 부족합니다.	Non hai abbastanza materiale (%s). 
저주 되돌리기 확률 %d%%	Riflettere maledizione: %d%%. 
적용 레벨보다 높아 사용이 불가능합니다.	Il livello del tuo item è troppo alto. 
