ACCE_ABSORB_COST	Costo dell'assorbimento: {}
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Inserisci qui il codice che hai inserito nell'iscrizione
INPUT_PRIVATE_CODE_DIALOG_TITLE	Cancella personaggio
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Il papiro del ritorno non può essere unito.
INVENTORY_REALLY_USE_ITEM	Vuoi usare l'item su questo oggetto?
INVENTORY_REALLY_USE_ITEM2	Vuoi veramente utilizzare questo oggetto?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Vuoi veramente mettere il tuo pet nel Trasportino?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Vuoi aprire il Trasportino?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Vuoi dare {} a {} perché lo mangi?
IS_NOT_PET_CHANGE_ITEM	Questo non è l'item Incanta pet.
IS_NOT_PET_ITEM	Questo non è un pet.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Nessuno
JOB_ASSASSIN1	Vicininja
JOB_ASSASSIN2	Lontaninja
JOB_SHAMAN	Shamano
JOB_SHAMAN0	Nessuno
JOB_SHAMAN1	Shamano del drago
JOB_SHAMAN2	Shamano della guarigione
JOB_SURA	Sura
JOB_SURA0	Nessuno
JOB_SURA1	Sura delle armi
JOB_SURA2	Sura della magia
JOB_WARRIOR	Guerriero
JOB_WARRIOR0	Nessuno
JOB_WARRIOR1	Guerriero corporale
JOB_WARRIOR2	Guerriero mentale
JOB_WOLFMAN	Lican
JOB_WOLFMAN0	Lican principiante
JOB_WOLFMAN1	Istinto
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Chiudere o salvare?
KEYCHANGE_IMPOSSIBLE_CHANGE	Qui [Ctrl], [Alt] e [Shift] non sono ammessi!
KEYCHANGE_SAVE_EXIT	Chiudere o salvare?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	MAIUSC + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	MAIUSC + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	MAIUSC + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	MAIUSC + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	MAIUSC + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	MAIUSC + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	MAIUSC + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	MAIUSC + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	MAIUSC + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	MAIUSC + 9
KEY_A	A
KEY_ADD	0
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	MAIUSC + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	MAIUSC + B
KEY_C	C
KEY_COMMA	0
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	MAIUSC + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	MAIUSC + C
KEY_D	D
KEY_DOWN	GIÙ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	MAIUSC + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	MAIUSC + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	MAIUSC + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	MAIUSC + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	MAIUSC + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	MAIUSC + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	MAIUSC + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	MAIUSC + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	MAIUSC + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	MAIUSC + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	MAIUSC + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	MAIUSC + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	MAIUSC + F
KEY_G	G
KEY_GRAVE	\
KEY_GRAVE_LALT	ALT + \
KEY_GRAVE_LCONTROL	CTRL + \
KEY_GRAVE_LSHIFT	MAIUSC + \
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	MAIUSC + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	MAIUSC + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	MAIUSC + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	MAIUSC + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	MAIUSC + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	SINISTRA
KEY_LSHIFT	MAIUSC
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	MAIUSC + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	MAIUSC + M
KEY_N	N
KEY_NUMLOCK	BLOC NUM
KEY_NUMPAD0	TastNum 0
KEY_NUMPAD1	TastNum 1
KEY_NUMPAD2	TastNum 2
KEY_NUMPAD3	TastNum 3
KEY_NUMPAD4	TastNum 4
KEY_NUMPAD5	TastNum 5
KEY_NUMPAD6	TastNum 6
KEY_NUMPAD7	TastNum 7
KEY_NUMPAD8	TastNum 8
KEY_NUMPAD9	TastNum 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	MAIUSC + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	MAIUSC + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	MAIUSC + .
KEY_PGDN	PGGIÙ
KEY_PGUP	PGSU
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	MAIUSC + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	MAIUSC + Q
KEY_R	R
KEY_RIGHT	DESTRA
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	MAIUSC + R
KEY_S	S
KEY_SPACE	SPAZIO
KEY_SUBTRACT	-0
KEY_SYSRQ	STAMP
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	MAIUSC + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	MAIUSC + T
KEY_U	U
KEY_UP	SU
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	MAIUSC + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	MAIUSC + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	MAIUSC + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	MAIUSC + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	MAIUSC + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	MAIUSC + Z
LEADER_NAME	Nome del capo
LEFT_TIME	Tempo rimanente
LOGIN_CONNECT_FAILURE	Errore di collegamento con il server.
LOGIN_CONNECT_SUCCESS	Sei stato collegato al server.
LOGIN_CONNETING	Attendi, connessione al server in corso.
LOGIN_FAILURE_ALREAY	Il tuo account è già collegato!
LOGIN_FAILURE_BACKEND_ERR	Si è verificato un errore. Ti preghiamo di contattare il supporto.
LOGIN_FAILURE_BE_SAME_KEY	Problema d'iscrizione
LOGIN_FAILURE_BLOCK_ID	Questo account è bloccato.
LOGIN_FAILURE_BLOCK_LOGIN	Sei pregato di scegliere un altro server!
LOGIN_FAILURE_COUNTRY_ERR	Il codice del Paese non è corretto.\nTi preghiamo di contattare il supporto.
LOGIN_FAILURE_INTEGRTING	Questo account è in fase di fusione. Riprova più tardi.
LOGIN_FAILURE_NOBILL	Il tuo account non presenta alcun tempo di gioco.
LOGIN_FAILURE_NOT_AVAIL	L'account non è disponibile.
LOGIN_FAILURE_NOT_EXIST_ID	Nome account o password errati.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	È necessario verificare il tuo account via e-mail.
LOGIN_FAILURE_REPAIR_ID	È in corso il ripristino di alcuni oggetti per questo account.
LOGIN_FAILURE_SAMELOGIN	Qualcuno si è collegato al tuo account.
LOGIN_FAILURE_SHUTDOWN	Il server non è ancora aperto.
LOGIN_FAILURE_STEAM_SESSION	La sessione è scaduta. Riavvia il client.
LOGIN_FAILURE_TOO_MANY_USER	Non sei riuscito a connetterti perchè ci sono troppi giocatori
LOGIN_FAILURE_UNKNOWN	Non sei riuscito a connetterti per ragioni sconosciute.
LOGIN_FAILURE_WEB_BLOCK	È stato bloccato sulla pagina web. Per favore controlli la sua e-mail
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Hai inserito un numero sbagliato.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Hai inserito per tre volte un numero sbagliato. La connessione è stata conclusa.
LOGIN_FAILURE_WRONG_PASSWORD	Nome account o password errati.
LOGIN_INPUT_ID	Inserisci l'ID.
LOGIN_INPUT_PASSWORD	Inserisci la password.
LOGIN_PROCESSING	È in corso il login.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Nessun messaggio
MAILBOX_POST_ALL_DELETE_QUESTION1	Eliminare tutti i messaggi?
MAILBOX_POST_ALL_DELETE_QUESTION2	I messaggi con allegato non verranno eliminati.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	La tua casella di posta non contiene alcun messaggio con allegato.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Accettare allegato? (Imposte per Yang: 5%)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Non è stato possibile eliminare il messaggio. Devi prima accettare l'allegato.
MAILBOX_POST_DELETE_QUESTION	Vuoi davvero eliminare questo messaggio?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Non è stato possibile accettare gli item. Il tuo inventario è pieno.
MAILBOX_POST_GET_ITEMS_QUESTION	Accettare allegato? (Imposte per Yang: 5%)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Non puoi più accettare alcuno Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Non puoi più accettare alcuno Yang.
MAILBOX_POST_GM_ARRIVE	Messaggio del GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Messaggi non letti: {}
MAILBOX_POST_NOT_CONFIRM_INFO_2	Senza allegato: {} / Con allegato: {}
MAILBOX_POST_READ_BLOCK	Vuoi davvero bloccare {}?
MAILBOX_POST_WRITE_ALREADY_ITEM	Ogni messaggio può contenere un solo item.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Distribuisci gli item nel tuo inventario prima di allegarli singolarmente a un messaggio.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Destinatario sconosciuto. Non è stato possibile inviare il messaggio.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	La casella di posta del destinatario è piena. Non è stato possibile inviare il messaggio.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Puoi inviare messaggi a partire dal livello 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Non hai abbastanza Yang per poter inviare questo messaggio.
MAILBOX_POST_WRITE_NAME_CHECK	Conferma il nome del destinatario cliccando su "Verifica destinatario".
MAILBOX_POST_WRITE_NAME_EMPTY	Digita un destinatario.
MAILBOX_POST_WRITE_QUESTION1	Vuoi inviare un messaggio a {} adesso?
MAILBOX_POST_WRITE_QUESTION2	Costo della consegna: {} Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Digita un destinatario.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Digita un oggetto.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Somma di denaro
MAILBOX_POST_WRITE_WRONG_ITEM	Non si possono inviare item legati all'anima.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Il messaggio contiene parole vietate.
MAILBOX_POST_WRITE_WRONG_TITLE	L'oggetto contiene parole vietate.
MALL_CANNOT_INSERT	Non puoi collocare l'oggetto.
MALL_PASSWORD_TITLE	Password
MAP_A1	Zona Yongan
MAP_A2	Valle di Seungryong
MAP_A2_1	
MAP_A3	Zona Yayang
MAP_AG	Jungrang
MAP_B1	Zona Joan
MAP_B2	Valle di Imji
MAP_B3	Zona Bokjung
MAP_BATTLE_FIELD	Zona di combattimento
MAP_BAY	Baia Nefrite
MAP_BAYBLACKSAND	Baia Nefrite
MAP_BG	Waryong
MAP_C1	Zona Pyungmoo
MAP_C2	Valle di Bangsan
MAP_C3	Zona Bakra
MAP_CAPE	Capo Fuoco del Drago
MAP_CAPEDRAGONHEAD	Capo Fuoco del Drago
MAP_CG	Imha
MAP_CZ_DUNGEON	Tempio dello Zodiaco
MAP_DAWN	Falesia di Gautama
MAP_DAWNMISTWOOD	Falesia di Gautama
MAP_DAWNMIST_DUNGEON_01	Foresta Incantata
MAP_DEFENSE_WAVE	Difesa nave
MAP_DEFENSE_WAVE_PORT	Porto
MAP_DESERT	Duel-Map
MAP_DESERT22	Tournament-Map
MAP_DEVILCATACOMB	Catacomba del Diavolo
MAP_DEVILTOWER1	Torre dei Demoni
MAP_DUEL	Arena Esercitazioni Belliche
MAP_E	Colonia
MAP_EMPIREWAR01	Battaglia per il Castello
MAP_EMPIREWAR02	Battaglia per il Castello
MAP_EMPIREWAR03	Battaglia per il Castello
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Terra dei Deserti - Guerra dei Regni
MAP_HOLYPLACE_FLAME	Terra di Fuoco - Guerra dei Regni
MAP_HOLYPLACE_ICE	Terra dei Ghiacci - Guerra dei Regni
MAP_MILGYO	Tempio Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Monti Tonanti
MAP_MT_TH_DUNGEON_01	Tempio degli Ochao
MAP_NUSLUCK	Terra Giganti
MAP_NUSLUCK01	Terra dei Giganti
MAP_N_DESERT_01	Deserto Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Terra di Fuoco
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Rifugio di Meley
MAP_N_FLAME_DUNGEON_01	Fortezza del Drago Rosso
MAP_N_SNOWM_01	Monte Sohan
MAP_N_SNOWM_02	Greenscreen
MAP_N_SNOW_DUNGEON_01	Torre di Vedetta di Nemere
MAP_N_THREEWAY	Valle di Seungryong
MAP_OXEVENT	Gara OX
MAP_MELEYS_LAIR	Meleys Lair
MAP_PATHWAY_DESERT_01	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_DESERT_02	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_DESERT_03	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_FLAME_01	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_FLAME_02	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_FLAME_03	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_ICE_01	Terra dei Ghiacci - Guerra dei Regni
MAP_PATHWAY_ICE_02	Spassolandia
MAP_PATHWAY_ICE_03	Terra dei Ghiacci - Guerra dei Regni
MAP_SKELTOWER	Torre di Gumsan
MAP_SKIPIA_DUNGEON_01	Grotta dell'Esilio
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grotta dell'Esilio 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Stanza del Drago
MAP_SKIPIA_DUNGEON_BOSS_1	Sotterraneo dei Ragni 1
MAP_SKIPIA_DUNGEON_BOSS_2	Sotterraneo dei Ragni 2
MAP_SKIPIA_DUNGEON_BOSS_3	Sotterraneo dei Ragni 3
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Sotterraneo dei Ragni 1
MAP_SPIDERDUNGEON_02	Sotterraneo dei Ragni 2
MAP_SPIDERDUNGEON_02_1	Sotterraneo dei Ragni 2
MAP_SPIDERDUNGEON_03	Sotterraneo dei Ragni 3
MAP_SUNGZI	Guerra dei Regni
MAP_SUNGZI_DESERT_01	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_01	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_02	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_03	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_01	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_02	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_03	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_SNOW	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS01	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS02	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS03	Terra dei Ghiacci - Guerra dei Regni
MAP_T1	Area della Guerra tra Gilde
MAP_T2	Area della Guerra tra Gilde
MAP_T3	Area della Guerra tra Gilde
MAP_T4	Area della Guerra tra Gilde
MAP_TEMPLE	Tempio Hwang
MAP_THUNDER	Monti Tonanti
MAP_TREE	Lungsam
MAP_TRENT	Bosco Fantasma
MAP_TRENT02	Bosco Rosso
MAP_TRENT02_A	Bosco Rosso
MAP_TRENT_A	
MAP_WEDDING_01	Mappa dei Matrimoni
MAP_WL	Campo Serpi
MAP_WL_01	Campo Serpi
MC_ACCUMULATION_COUNT	Carte mostro raccolte: {}
MC_ALTER_TEXT	Livello missione {}
MC_CARD_FALL_SHORT	Le carte registrate non sono sufficienti.
MC_CARD_SHUFFLE	Vuoi riordinare le carte?
MC_INIT_ITEM_FALL_SHORT	Hai bisogno di {} carta/e del nuovo inizio.
MC_MISSION_FAIL_MSG	Nessuna missione attiva o limite superato.
MC_MISSION_INIT	Vuoi reimpostare la missione al livello 1?
MC_MISSION_NO_CLEAR	Prima devi completare la missione.
MC_MOTION_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 2° stella.
MC_POLY_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 3° stella.
MC_POLY_FAIL	Ora non puoi trasformarti.
MC_POLY_QUESTION	Vuoi trasformarti in questo mostro?
MC_PROMOTION_MAX	Non è più possibile effettuare un miglioramento.
MC_PROMOTION_QUESTION	Vuoi salire di livello?
MC_QUESTION_BUTTON_DESC1	È possibile reimpostare un massimo di 6 volte ogni 24 ore.
MC_QUESTION_BUTTON_DESC2	Carta del nuovo inizio
MC_QUESTION_BUTTON_DESC3	Clicca qui per visualizzare il tempo di ricarica restante.
MC_REWARD_FAIL	Non hai abbastanza spazio nell'inventario.
MC_REWARD_MISSION	Vuoi ottenere ora la tua carta mostro?
MC_SHUFFLE_NO_ITEM	Non hai alcuna carta del nuovo ordine.
MC_TIME	Tempo di ricarica: {}.
MC_TRADE_QUESTION	Ti verranno prelevate {} carte. Vuoi continuare?
MC_USE_ITEM_FAIL	Impossibile aggiungere questa carta.
MC_USE_ITEM_QUESTION	Vuoi aggiungere questa carta mostro?
MC_WARP_BUTTON_OVER_MSG	Questa opzione è disponibile solo a partire dalla 4° stella.
MC_WARP_FAIL	Non puoi più teletrasportarti.
MC_WARP_LIMIT_LEVEL	Il tuo il livello attuale non è sufficiente per teletrasportarti.
MC_WARP_QUESTION	Vuoi teletrasportarti nella zona di questo mostro?
MESSENGER_ADD_BLOCK_FRIEND	Aggiungi
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_BLOCK	Bloccato
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	{} vuole essere tuo amico.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accetti?
MESSENGER_DO_YOU_DELETE	Cancelli?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Desideri cancellare il numero di cellulare?
MESSENGER_DO_YOU_MOVE	Desideri andare avanti?
MESSENGER_EMPTY_LIST	Vuoto
MESSENGER_FAMILY	Famiglia
MESSENGER_FRIEND	Amici
MESSENGER_GUILD	Gilda
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Inserisci il codice di conferma che è stato inviato al tuo cellulare.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Inserisci il codice di conferma
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Inserisci il numero di cellulare per l'invio di SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Desideri inserire il numero ora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Inserisci numero di cellulare
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Invia messaggio.
METIN_TEST	
MINIGAME_FISH_EVENT_ADD_ACCEPT	Vuoi aggiungerlo?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Vuoi veramente lasciar cadere questo oggetto?
MINIGAME_FISH_EVENT_REWARD_MSG	Hai ricevuto {}.
MINIGAME_FISH_EVENT_USE_ACCEPT	Vuoi usarlo?
MINIMAP	Mini-mappa
MINIMAP_CANNOT_SEE	La mappa miniaturizzata non può essere visualizzata.
MINIMAP_CAN_NOT_SHOW_AREAMAP	La mappa non può essere visualizzata.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in
MINIMAP_OBSERVER_COUNT	{} Spettatori
MINIMAP_SHOW_AREAMAP	Apri mappa grande
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	In caso tu usi più unità del {}, riceverai la stessa quantità di bauli come vincita.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	È possibile usare {} Mazzi del re al massimo.
MINI_GAME_CATCHKING_HELP_MSG1	Peccato! Il valore della tua carta è inferiore.\nNon ottieni punti. Scegli una nuova carta dal mazzo.
MINI_GAME_CATCHKING_HELP_MSG2	Ottimo lavoro! Queste carte hanno lo stesso valore.\nIl tuo turno di gioco è terminato. Scegli una nuova carta dal mazzo.
MINI_GAME_CATCHKING_HELP_MSG3	Continua così! Il valore della tua carta è superiore.\nScopri un'altra carta.
MINI_GAME_CATCHKING_HELP_MSG4	Vicino alla tua carta c'era un [5].\nNon ottieni punti. Ora scegli il re [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Il re ti è sfuggito! La partita è finita. \nQualora tu abbia totalizzato un minimo di 10 punti, puoi ritirare la tua vincita.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Non puoi ritirare alcuna vincita.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	C'è un [5] nelle vicinanze.
MINI_GAME_CATCHKING_START_QUESTION	In questo turno, ti verranno detratti Yang ({}) e {} ({} unità).\nVuoi giocare adesso?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Può acchiappare la seguente carta: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Può acchiappare le seguenti carte: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Può acchiappare le seguenti carte: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Può acchiappare le seguenti carte: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Può acchiappare le, seguenti carte: [1], [2], [3], [4], [5]\nSe un altro [5] dovesse trovarsi accanto alla tua carta scoperta,\nil turno si concluderà e non riceverai punti.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Può acchiappare la seguente carta: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	{}: minimo 550
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	{}: 400 ~ 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	{}: 10 ~ 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Ricevi 10 punti extra se riesci a scoprire tutte le carte di una fila.
MINI_GAME_GIVEUP_QUESTION	Vuoi davvero interrompere la partita? In questo caso, dovrai rinunciare alla tua ricompensa.
MINI_GAME_NOTICE_1	Clicca su "Lancia" per decidere chi sarà a iniziare.
MINI_GAME_NOTICE_10	Ah! Hai cacciato via il computer dalla sua casella.
MINI_GAME_NOTICE_11	Che sfortuna! Il computer ti ha cacciato via dalla tua casella.
MINI_GAME_NOTICE_12	Avevi Yut oppure Mo e quindi puoi lanciare di nuovo.
MINI_GAME_NOTICE_13	La partita è finita. Ritira la tua ricompensa.
MINI_GAME_NOTICE_2	Lancia i bastoncini Yut.
MINI_GAME_NOTICE_3	Il computer lancia i bastoncini Yut per determinare chi inizia.
MINI_GAME_NOTICE_4	Il computer ha effettuato un lancio di punteggio identico o inferiore e pertanto può iniziare.
