ACCEPT	OK
ADMIN_MANAGER_OBSERVER_NAVI_BTN_1	Allgemeines
ADMIN_MANAGER_GENERAL_SEARCH_PLAYER	Spieler suchen:
ADMIN_MANAGER_OBSERVER_NAVI_BTN_3	Nachrichten
ADMIN_MANAGER_OBSERVER_NAVI_BTN_4	Sperren
ADMIN_MANAGER_ITEM_MAIN_TABLE_IID	ID
ADMIN_MANAGER_MAPVIEWER_STONE_OPTION	Steine anzeigen
ADMIN_MANAGER_NAVI_BTN_1	Allgemeines
NEW_OPTIONS_WINDOW_PVP_MODE_GUILD_RADIOBTN	Gilde
NEW_OPTIONS_WINDOW_DISPLAY_FPS_CHECK_BOX	FPS-Anzeigen
NEW_OPTIONS_WINDOW_SHOW_NPC_BIG_LABEL	Zeige/Verstecke NPCs
ADMIN_MANAGER_NAVI_BTN_3	Überwachung
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLES_CHECK_BOX	Zeige Ladenschilder
NEW_OPTIONS_WINDOW_GENERAL_BIG_LABEL	Allgemein
NEW_OPTIONS_WINDOW_BUFF_EFFECTS_LABEL	Buff Effekte
NEW_OPTIONS_WINDOW_DISPLAY_MODE_FULL_SCREEN	Vollbild
MINI_GAME_FINDM_UPGRADE_BAR2	Fee (Yang)
MINI_GAME_FINDM_TRY_COUNT_TEXT	Attempts
NEW_OPTIONS_WINDOW_SHOW_NPC_PETS_CHECK_BOX	Zeige Haustiere
MINI_GAME_FINDM_HINT_BTN	Hint
NEW_OPTIONS_WINDOW_FONT_TYPE_TAHOMA	Tahoma
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Duel of the Seers
NEW_OPTIONS_WINDOW_PVP_MODE_PEACE_RADIOBTN	Frieden
DRAGONSOUL_PAGE_BUTTON_7	Heroisch
NEW_OPTIONS_WINDOW_BATTLE_DMG_INFO_CHECK_BOX	Schadensanzeige
NEW_OPTIONS_WINDOW_PAGE2_LEFTBTN0_NAME	Generell
NEW_OPTIONS_WINDOW_YANG_DISPLAY_CHECK_BOX	Zeige Yang-Dropp Beträge
ADMIN_MANAGER_BAN_CHAT_RESULT_UNBAN_BUTTON	Sperre aufheben
NEW_OPTIONS_WINDOW_TITLE	Optionen
MINI_GAME_FINDM_UPGRADE_RETRY	Attempt Upgrade
MINI_BOSS_DUNGEON_DESC_BTN	Event Rules
ADMIN_MANAGER_ITEM_MAIN_TABLE_OTYPE	Besitz Art
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_UNBAN_BUTTON	Sperre aufheben
ADMIN_MANAGER_OBSERVER_WHISPER_NAME_TITLE	Chat-Partner
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_PETS_CHECK_BOX	Zeige Levelbare Haustiere
ADMIN_MANAGER_MAPVIEWER_NPC_OPTION	NPCs anzeigen
NEW_OPTIONS_WINDOW_NOTIFICATION_BIG_LABEL	Benachrichtigungen
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_MID	Mittel
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_HIGH	Hoch
NEW_OPTIONS_WINDOW_SHOW_MOB_LEVEL_CHECK_BOX	Zeige Monster-Level
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN1_NAME	Erweitert
ADMIN_MANAGER_BAN_LOG_NODATA	Keine Daten
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Start
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_LABEL	Kamera Distanz
NEW_OPTIONS_WINDOW_PVP_MODE_HOSTILE_RADIOBTN	Feindlich
NEW_OPTIONS_WINDOW_VIEW_DIST_MID	Mitte
PRIVATE_SHOP_OPEN_BUTTON	Laden öffnen
NEW_OPTIONS_WINDOW_WHISPER_TP_FRIEND_CHECK_BOX	Freunde
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_MID	Mittel
NEW_OPTIONS_WINDOW_TNL_GPU	GPU
ADMIN_MANAGER_BAN_LOG_BUTTON	OK
ADMIN_MANAGER_BAN_ACCOUNT_UNBAN_BUTTON	Sperre aufheben
NEW_OPTIONS_WINDOW_FONT_TYPE_LABEL	GUI Font
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BAN_BUTTON	Sperren
ROULETTE_SPIN_TEXT2	50 Souls
ROULETTE_SPIN_TEXT3	250,000 Yang
ADMIN_MANAGER_GENERAL_TABLE_CHANNEL	Channel
ROULETTE_SPIN_TEXT1	SPIN
NEW_OPTIONS_WINDOW_SHOW_PLAYER_NAME_CHECK_BOX	Zeige Spielernamen
NEW_OPTIONS_WINDOW_SFX_VOLUME_LABEL	Effektlautstärke
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_WINDOW_CHECK_BOX	Zeige Yang und Item-Dropps in Extra Fenster
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_NEAR	Nah
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_GM_NAME	GM Name
NEW_OPTIONS_WINDOW_DISPLAY_RES_LABEL	Auflösung
ADMIN_MANAGER_GENERAL_TABLE_PID	ID
ADMIN_MANAGER_GENERAL_TABLE_NAME	Spielername
ADMIN_MANAGER_ITEM_MAIN_TABLE_ONAME	Besitzer
ADMIN_MANAGER_BAN_CHAT_TITLE	Chat-Sperren
NEW_OPTIONS_WINDOW_FONT_TYPE_ARIAL	Arial
HELP_CHARACTER_PAGE2	2. Seite
HELP_CHARACTER_PAGE1	1. Seite
EVENT_JOIN_ACCEPT_BUTTON	Beitritt
APPLY	Anwenden
ADMIN_MANAGER_ITEM_MAIN_SEARCH_BUTTON	Suchen
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Duel of the Seers
NEW_OPTIONS_WINDOW_SKILL_EFFECTS_LABEL	Fertigkeits Effekte
NEW_OPTIONS_WINDOW_FRIEND_NOTIFY_CHECK_BOX	Freund Online Benachrichtigung
NEW_OPTIONS_WINDOW_VIEW_DIST_NEAR	Nah
ADMIN_MANAGER_OBSERVER_STOPPED_BUTTON	Überwachung starten
NEW_OPTIONS_WINDOW_WHISPER_TP_GUILD_CHECK_BOX	Gilde
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLE_RANGE_LABEL	Ladenschilder Sichtweite
ADMIN_MANAGER_MAPVIEWER_ORE_OPTION	Adern zeigen
SPLIT_ITEM	Split
NEW_OPTIONS_WINDOW_TAB1_NAME	Video
ADMIN_MANAGER_BAN_CHAT_UNBAN_BUTTON	Sperre aufheben
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_PLAYER	Der Spieler wurde nicht gefunden.
ADMIN_MANAGER_NAVI_BTN_4	Sperren
ADMIN_MANAGER_NAVI_BTN_5	Items
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_TYPE	Typ
NEW_OPTIONS_WINDOW_DISPLAY_MODE_WINDOWED	Fenster
NEW_OPTIONS_WINDOW_MARK_NEW_ITEMS_CHECK_BOX	Neue Gegenstände makieren
MINI_BOSS_DUNGEON_TOOTIP_07	Remaining Apocalypses
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_CHECK_BOX	Zeige Item-Dropps
ADMIN_MANAGER_BAN_CHAT_RESULT_BAN_BUTTON	Sperren
NEW_OPTIONS_WINDOW_TAB0_NAME	Spiel
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_BUTTON	OK
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Suchen
ADMIN_MANAGER_MAPVIEWER_SELECT_BUTTON	Ansehen
NEW_OPTIONS_WINDOW_SHOW_NPC_NAME_CHECK_BOX	Zeige NPC Namen
ROULETTE_TITLE	Rewards
ADMIN_MANAGER_OBSERVER_NAVI_BTN_2	Ausrüstung
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN0_NAME	Charakter
NEW_OPTIONS_WINDOW_SHOW_NPC_MOUNTS_CHECK_BOX	Zeige Reittiere
NEW_OPTIONS_WINDOW_PICKUP_EQ_CHECK_BOX	EQ Aufheben
NEW_OPTIONS_WINDOW_GM_NOTIFY_CHECK_BOX	GM Online Benachrichtigung
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_PROOF	Beweis
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_NAME	Name
ADMIN_MANAGER_OBSERVER_CHATBAN_TITLE	Chat-Sperre
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DURATION_NEW	Dauer
ADMIN_MANAGER_BAN_CHAT_SEARCH_BUTTON	Suchen
NEW_OPTIONS_WINDOW_BGM_VOLUME_LABEL	Musiklautstärke
NEW_OPTIONS_WINDOW_SHOW_COUNTRY_FLAGS_CHECK_BOX	Zeige Sprachflaggen
NEW_OPTIONS_WINDOW_IGNORE_WHISPER_CHECK_BOX	Flüstern
ADMIN_MANAGER_ITEM_MAIN_TABLE_INAME	Item-Name
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_LOW	Niedrig
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_FAR	Fern
NEW_OPTIONS_WINDOW_SHOW_EVENT_METIN_SKIN_CHECKBOX	Event Metin aussehen
MINI_GAME_FINDM_UPGRADE_RECV	Receive Item
ADMIN_MANAGER_MAPVIEWER_STOP_BUTTON	Stoppen
NEW_OPTIONS_WINDOW_VIEW_DIST_LABEL	Sichtweite
NEW_OPTIONS_WINDOW_SOFTWARE_TILING_LABEL	Software Tiling
MINI_BOSS_TITLE	Zodiac Apocalypse
NEW_OPTIONS_WINDOW_DISPLAY_MODE_LABEL	Anzeige Modus
ADMIN_MANAGER_MAPVIEWER_MOB_OPTION	Monster anzeigen
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN2_NAME	Community
MINI_BOSS_DUNGEON_TITLE_POINT	Apocalypse Points
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_VERY_HIGH	Massima
ADMIN_MANAGER_BAN_CHAT_RESULT_BACK_BUTTON	Zurück
ADMIN_MANAGER_NAVI_BTN_2	MapViewer
ADMIN_MANAGER_ITEM_MAIN_TABLE_OID	Besitzer-ID
NEW_OPTIONS_WINDOW_IGNORE_PARTY_INVITE_CHECK_BOX	Gruppeneinladung
NEW_OPTIONS_WINDOW_SHOW_MOB_AGGRO_CHECK_BOX	Zeige Monster-Aggressiv
NEW_OPTIONS_WINDOW_WHISPER_TP_BIG_LABEL	Whisper Warp
NEW_OPTIONS_WINDOW_SHOW_SPECULAR_CHECKBOX	Zeiger Schimmern
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_LABEL	Schattenlevel
MINI_BOSS_DUNGEON_TITLE_NUM	Rank
NEW_OPTIONS_WINDOW_SHOW_NAME_BIG_LABEL	Zeige/Verstecke Namen
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_NONE	Keine
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN3_NAME	Pickup Filter
NEW_OPTIONS_WINDOW_SHOW_ITEM_NAME_CHECK_BOX	Zeige Gegenstandsnamen
ADMIN_MANAGER_GENERAL_SEARCH_PLAYER_BUTTON	Los!
MINI_GAME_FINDM_UPGRADE_BAR1	Item
NEW_OPTIONS_WINDOW_SHOW_MONSTER_NAME_CHECK_BOX	Zeige Monsternamen
NEW_OPTIONS_WINDOW_IGNORE_TRADE_CHECK_BOX	Handelsanfragen
NEW_OPTIONS_WINDOW_TNL_CPU	CPU
NEW_OPTIONS_WINDOW_TAB2_NAME	Audio
ADMIN_MANAGER_GENERAL_GM_ITEM_TRADE_OPTION	GM Item handeln
MINI_GAME_FINDM_START_BTN	Start game
NEW_OPTIONS_WINDOW_IGNORE_DUEL_REQ_CHECK_BOX	Duellanfrage
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Prizes
MINI_GAME_FINDM_UPGRADE_TITLE	Improve Reward
ADMIN_MANAGER_BAN_ACCOUNT_TITLE	Account-Sperren
INVENTORY_TEXT1	Equipaggiamento
INVENTORY_TEXT2	Anelli
INVENTORY_TEXT3	Costumi
INVENTORY_TEXT4	Talismani
INVENTORY_TEXT5	Switchbot
INVENTORY_TEXT6	Magazzino
INVENTORY_TEXT7	Cerca Negozi
INVENTORY_TEXT8	Dungeon Info
INVENTORY_TEXT9	Alchimia
INVENTORY_TEXT10	Gestisci Negozio
INVENTORY_TEXT11	Wiki
INVENTORY_TEXT12	Produzione
OPTIONSWINDOW_TEXT1	Armi
OPTIONSWINDOW_TEXT2	Spada
OPTIONSWINDOW_TEXT3	Pugnale
OPTIONSWINDOW_TEXT4	Arco
OPTIONSWINDOW_TEXT5	Spadone
OPTIONSWINDOW_TEXT6	Campana
OPTIONSWINDOW_TEXT7	Ventaglio
OPTIONSWINDOW_TEXT8	Armature
OPTIONSWINDOW_TEXT9	Armatura
OPTIONSWINDOW_TEXT10	Elmo
OPTIONSWINDOW_TEXT11	Scudo
OPTIONSWINDOW_TEXT12	Bracciale
OPTIONSWINDOW_TEXT13	Scarpe
OPTIONSWINDOW_TEXT14	Collana
OPTIONSWINDOW_TEXT15	Orecchini
BATTLEPASS_TEXT9	fertig in: noch nicht fertig
BATTLEPASS_TEXT10	Gesamter Fortschritt
FISHING_RENEWAL_TITLE	Angeln
INVENTORY_TEXT121	Missioni di Caccia
INVENTORY_TEXT122	Timer del WorldBoss
INVENTORY_TEXT123	Albero Skill
HEX_CODE	HEX-Code
HUNT_REWARDS	Rewards
HUNT_MISSIONS	Hunting Missions
NEW_OPTIONS_WINDOW_SHOW_CHAT_LINKS_CHECK_BOX	Show Chatlinks
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN1_NAME	Interfaccia Utente
ADMIN_MANAGER_ITEM_MAIN_TABLE_IGMITEM	GM-Item
NEW_OPTIONS_WINDOW_WHISPER_TP_OTHER_CHECK_BOX	Other
MINI_GAME_FINDM_UPGRADE_BAR1	Item
NEW_OPTIONS_WINDOW_SHOW_PLAYER_SASHES_CHECK_BOX	Mostra le Stole
MINI_GAME_CATCHKING_HIGH_SCORE	High Score
NEW_OPTIONS_WINDOW_IGNORE_GUILD_INVITE_CHECK_BOX	Invito Gilda
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DATE	Datum
MINI_GAME_CATCHKING_START_TEXT	Start
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_TEXT	Der Spieler wurde nicht gefunden.
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_TYPE	Typ
ADMIN_MANAGER_GENERAL_TABLE_EMPIRE	Reich
ADMIN_MANAGER_OBSERVER_NAVI_TITLE	Seitenwahl
NEW_OPTIONS_WINDOW_PVP_MODE_BIG_LABEL	PvP Modus
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN0_NAME	Visualizza
MINI_BOSS_DUNGEON_TOOTIP_08	My Reward
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BACK_BUTTON	Zurück
MINI_GAME_YUTNORI_PROB_DESC	Select a Yut score to increase its chance of being thrown.
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_ACCOUNT	Der Account wurde nicht gefunden.
MINI_BOSS_DUNGEON_TOOTIP_02	Apocalypse for Level 40-80
MINI_BOSS_DUNGEON_TOOTIP_03	Apocalypse for Level 81+
MINI_BOSS_DUNGEON_TOOTIP_01	Dungeon Overview
MINI_BOSS_DUNGEON_TOOTIP_06	My Apocalypse Points
NEW_OPTIONS_WINDOW_SHOW_NPC_SHOPS_CHECK_BOX	Show Shops
MINI_BOSS_DUNGEON_TOOTIP_04	Enter
MINI_BOSS_DUNGEON_TOOTIP_05	Time Remaining
ADMIN_MANAGER_GENERAL_SKILL_TITLE	Fertigkeiten
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_BUTTON	OK
ROULETTE_SPECIAL_TITLE	Rewards ({})
NEW_OPTIONS_WINDOW_GENERAL_EFFECTS_LABEL	Effetti Generali
MINI_GAME_CATCHKING_CHALLENGE	Wager
NEW_OPTIONS_WINDOW_IGNORE_REQUESTS_BIG_LABEL	Impostazioni Richieste
ADMIN_MANAGER_OBSERVER_STOPPED_TITLE	Gebe einen Spielernamen zum Überwachen ein:
NEW_OPTIONS_WINDOW_SHOW_CHAT_CHECK_BOX	Mostra la Chat
MINI_GAME_CATCHKING_RETRY	Play Again
MINI_GAME_YUTNORI_REWARD_TEXT	Reward
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Rankings
NEW_OPTIONS_WINDOW_VIEW_DIST_FAR	Lontano
ADMIN_MANAGER_ITEM_MAIN_TABLE_IPOS	Position
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_REASON	Grund
ADMIN_MANAGER_ITEM_MAIN_TITLE	Items
ADMIN_MANAGER_GENERAL_TABLE_MAP_INDEX	Karte
NEW_OPTIONS_WINDOW_PVP_MODE_FREE_RADIOBTN	Libero
MINI_BOSS_DUNGEON_TITLE_NAME	Name
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_SHOPS_CHECK_BOX	Mostra i Negozi Offline
NEW_OPTIONS_WINDOW_GUILD_NOTIFY_CHECK_BOX	Notifica membro di gilda online
MINI_GAME_BLACK_AND_WHITE_DONATE	Donate
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_PLAYER	Der Spieler wurde nicht gefunden.
ADMIN_MANAGER_ITEM_MAIN_TABLE_IWINDOW	Fenster
ADMIN_MANAGER_MAPVIEWER_SELECT_TITLE	Kartenwahl
ADMIN_MANAGER_TITLE	GM Panel
ADMIN_MANAGER_OBSERVER_ACCOUNTBAN_TITLE	Account-Sperre
NEW_OPTIONS_WINDOW_IGNORE_FRIEND_ADD_CHECK_BOX	Richiesta Amicizia
NEW_OPTIONS_WINDOW_IGNORE_PARTY_JOIN_REQ_CHECK_BOX	Unirsi al Gruppo
NEW_OPTIONS_WINDOW_OTHER_BIG_LABEL	Altro
ADMIN_MANAGER_MAPVIEWER_PLAYER_OPTION	Spieler anzeigen
ADMIN_MANAGER_OBSERVER_NAVI_BTN_1	Allgemeines
ADMIN_MANAGER_GENERAL_SEARCH_PLAYER	Spieler suchen:
ADMIN_MANAGER_OBSERVER_NAVI_BTN_3	Nachrichten
ADMIN_MANAGER_OBSERVER_NAVI_BTN_4	Sperren
ADMIN_MANAGER_ITEM_MAIN_TABLE_IID	ID
ADMIN_MANAGER_MAPVIEWER_STONE_OPTION	Steine anzeigen
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_PLAYER_TEXT	Player
MINI_GAME_YUTNORI_YUTSEM1	Do
NEW_OPTIONS_WINDOW_DISPLAY_FPS_CHECK_BOX	Mostra gli FPS
NEW_OPTIONS_WINDOW_SHOW_NPC_BIG_LABEL	Mostra gli NPC
MINI_GAME_CATCHKING_MYNUMBER	My Card
ADMIN_MANAGER_NAVI_BTN_3	Überwachung
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLES_CHECK_BOX	Mostra il nome dei Negozi
NEW_OPTIONS_WINDOW_GENERAL_BIG_LABEL	Generale
NEW_OPTIONS_WINDOW_BUFF_EFFECTS_LABEL	Effetti dei Buff
NEW_OPTIONS_WINDOW_DISPLAY_MODE_FULL_SCREEN	Schermo Intero
MINI_GAME_FINDM_UPGRADE_BAR2	Fee (Yang)
MINI_GAME_FINDM_TRY_COUNT_TEXT	Attempts
MINI_GAME_FISH_HELP_TEXT	Help
NEW_OPTIONS_WINDOW_SHOW_NPC_PETS_CHECK_BOX	Mostra i Pet
MINI_GAME_FINDM_HINT_BTN	Hint
MINI_GAME_YUTNORI_COM_TEXT	Computer
NEW_OPTIONS_WINDOW_FONT_TYPE_TAHOMA	Tahoma
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Duel of the Seers
NEW_OPTIONS_WINDOW_PVP_MODE_PEACE_RADIOBTN	Pace
DRAGONSOUL_PAGE_BUTTON_7	Heroic
NEW_OPTIONS_WINDOW_BATTLE_DMG_INFO_CHECK_BOX	Mostra il Danno inflitto
NEW_OPTIONS_WINDOW_PAGE2_LEFTBTN0_NAME	Generale
NEW_OPTIONS_WINDOW_YANG_DISPLAY_CHECK_BOX	Mostra il Drop di Yang
ADMIN_MANAGER_BAN_CHAT_RESULT_UNBAN_BUTTON	Sperre aufheben
NEW_OPTIONS_WINDOW_TITLE	Options
MINI_GAME_CATCHKING_SELECTION_NUMBER	Revealed Card
MINI_GAME_FINDM_UPGRADE_RETRY	Attempt Upgrade
MINI_BOSS_DUNGEON_DESC_BTN	Event Rules
ADMIN_MANAGER_ITEM_MAIN_TABLE_OTYPE	Besitz Art
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_UNBAN_BUTTON	Sperre aufheben
ADMIN_MANAGER_OBSERVER_WHISPER_NAME_TITLE	Chat-Partner
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_PETS_CHECK_BOX	Mostra il livello dei Pet
ADMIN_MANAGER_MAPVIEWER_NPC_OPTION	NPCs anzeigen
NEW_OPTIONS_WINDOW_NOTIFICATION_BIG_LABEL	Notifiche
MINI_GAME_YUTNORI_THROW	Throw
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_MID	Medio
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_HIGH	Alta
NEW_OPTIONS_WINDOW_SHOW_MOB_LEVEL_CHECK_BOX	Mostra il livello dei Mostri
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN1_NAME	Extended
ADMIN_MANAGER_BAN_LOG_NODATA	Keine Daten
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Start
MINI_GAME_CATCHKING_HELP_TEXT	Rules
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_LABEL	Distanza Telecamera
NEW_OPTIONS_WINDOW_PVP_MODE_HOSTILE_RADIOBTN	Amichevole
NEW_OPTIONS_WINDOW_VIEW_DIST_MID	Middle
PRIVATE_SHOP_OPEN_BUTTON	Laden öffnen
NEW_OPTIONS_WINDOW_WHISPER_TP_FRIEND_CHECK_BOX	Friends
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_MID	Medio
NEW_OPTIONS_WINDOW_TNL_GPU	GPU
ADMIN_MANAGER_BAN_LOG_BUTTON	OK
ADMIN_MANAGER_GENERAL_GM_ITEM_TRADE_OPTION	GM Item handeln
ADMIN_MANAGER_BAN_ACCOUNT_UNBAN_BUTTON	Sperre aufheben
MINI_GAME_FISH_START_TEXT	Start
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BAN_BUTTON	Sperren
ROULETTE_SPIN_TEXT2	50 Souls
ROULETTE_SPIN_TEXT3	250,000 Yang
ADMIN_MANAGER_GENERAL_TABLE_CHANNEL	Channel
ROULETTE_SPIN_TEXT1	SPIN
NEW_OPTIONS_WINDOW_SHOW_PLAYER_NAME_CHECK_BOX	Mostra  i nomi dei giocatori
NEW_OPTIONS_WINDOW_SHADOW_LEVEL_LOW	Low
NEW_OPTIONS_WINDOW_SFX_VOLUME_LABEL	Volume Effetti
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_WINDOW_CHECK_BOX	Mostra il drop di Yang e Oggetti in una finestra separata
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_NEAR	Vicino
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_GM_NAME	GM Name
NEW_OPTIONS_WINDOW_PVP_MODE_GUILD_RADIOBTN	Gilda
NEW_OPTIONS_WINDOW_DISPLAY_RES_LABEL	Risoluzione
ADMIN_MANAGER_GENERAL_TABLE_PID	ID
ADMIN_MANAGER_GENERAL_TABLE_NAME	Spielername
ADMIN_MANAGER_ITEM_MAIN_TABLE_ONAME	Besitzer
ADMIN_MANAGER_BAN_CHAT_TITLE	Chat-Sperren
NEW_OPTIONS_WINDOW_FONT_TYPE_ARIAL	Arial
EVENT_JOIN_ACCEPT_BUTTON	Beitritt
MINI_GAME_CATCHKING_TITLE	Catch the King
ADMIN_MANAGER_ITEM_MAIN_SEARCH_BUTTON	Suchen
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Duel of the Seers
MOVE_CHANNEL_TITLE	Scegli il Canale
NEW_OPTIONS_WINDOW_SKILL_EFFECTS_LABEL	Effetti delle Abilita
NEW_OPTIONS_WINDOW_FRIEND_NOTIFY_CHECK_BOX	Notifica amico online
NEW_OPTIONS_WINDOW_VIEW_DIST_NEAR	Vicino
ADMIN_MANAGER_OBSERVER_STOPPED_BUTTON	Überwachung starten
NEW_OPTIONS_WINDOW_WHISPER_TP_GUILD_CHECK_BOX	Guild
APPLY	Applica
MINI_GAME_YUTNORI_START_TEXT	Start
ADMIN_MANAGER_MAPVIEWER_ORE_OPTION	Adern zeigen
MINI_GAME_YUTNORI_PROBABILITY	Chance
SPLIT_ITEM	Split
NEW_OPTIONS_WINDOW_TAB1_NAME	Video
ADMIN_MANAGER_BAN_CHAT_UNBAN_BUTTON	Sperre aufheben
NEW_OPTIONS_WINDOW_FONT_TYPE_LABEL	GUI Font
ADMIN_MANAGER_NAVI_BTN_4	Sperren
ADMIN_MANAGER_NAVI_BTN_5	Items
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM2	Gae
NEW_OPTIONS_WINDOW_DISPLAY_MODE_WINDOWED	Finestra
NEW_OPTIONS_WINDOW_MARK_NEW_ITEMS_CHECK_BOX	Evidenzia Oggetti nuovi ottenuti
MINI_BOSS_DUNGEON_TOOTIP_07	Remaining Apocalypses
NEW_OPTIONS_WINDOW_SHOW_SHOPS_TITLE_RANGE_LABEL	Raggio del nome dei Negozi
NEW_OPTIONS_WINDOW_ITEM_DISPLAY_CHECK_BOX	Mostra il Drop di oggetti
ADMIN_MANAGER_BAN_CHAT_RESULT_BAN_BUTTON	Sperren
MINI_GAME_CATCHKING_POPUP_CONFIRM	Show/hide pop-up
NEW_OPTIONS_WINDOW_TAB0_NAME	Gioco
MINI_GAME_FISH_TITLE	Fishing Jigsaw
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_BUTTON	OK
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Suchen
ADMIN_MANAGER_MAPVIEWER_SELECT_BUTTON	Ansehen
NEW_OPTIONS_WINDOW_SHOW_NPC_NAME_CHECK_BOX	Mostra i nomi degli NPC
ROULETTE_TITLE	Rewards
ADMIN_MANAGER_OBSERVER_NAVI_BTN_2	Ausrüstung
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN0_NAME	Personaggio
NEW_OPTIONS_WINDOW_SHOW_NPC_MOUNTS_CHECK_BOX	Mostra le Cavalcature
NEW_OPTIONS_WINDOW_PICKUP_EQ_CHECK_BOX	Pickup Equipment
NEW_OPTIONS_WINDOW_GM_NOTIFY_CHECK_BOX	Notifica Membro dello Staff online
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_PROOF	Beweis
MINI_GAME_YUTNORI_REMAIN_COUNT	Moves
ADMIN_MANAGER_OBSERVER_CHATBAN_TITLE	Chat-Sperre
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DURATION_NEW	Dauer
ADMIN_MANAGER_BAN_CHAT_SEARCH_BUTTON	Suchen
NEW_OPTIONS_WINDOW_BGM_VOLUME_LABEL	Volume Musica
NEW_OPTIONS_WINDOW_SHOW_COUNTRY_FLAGS_CHECK_BOX	Mostra le Bandiere
MINI_GAME_CATCHKING_SCORE	Points
NEW_OPTIONS_WINDOW_IGNORE_WHISPER_CHECK_BOX	Messaggi Privati
ADMIN_MANAGER_NAVI_BTN_1	Allgemeines
ADMIN_MANAGER_ITEM_MAIN_TABLE_INAME	Item-Name
MINI_GAME_CATCHKING_REWARD	Your Reward
NEW_OPTIONS_WINDOW_CAMERA_MAX_DIST_FAR	Lontano
MINI_GAME_YUTNORI_YUTSEM6	Back Do
