%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Trebuie sa citesti inca %d pentru a avea succes. 
%d 냥을 투자하셨습니다.	Ai investit %d Yang. 
%d 냥을 획득하셨습니다.	Ai cвєtigat %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Trebuie sг atingi nivelul %d pentru a-юi putea vopsi pгrul iar. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d min %d sec ramase pana la expirarea MUTE-ului 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d ore %d min %d sec ramase pana la expirarea MUTE-ului. 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d ore %d sec ramase pana la expirarea MUTE-ului. 
%d 종류 %d 마리 낚음	Ai prins %d de %d. 
%d 초 동안 채팅금지 상태입니다	%d secunde ramase pana la deblocarea chatului 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Binecuvвntarea оmpгratului poate fi folositг dupг %d sec. 
%d 초간 쿨타임이 적용중입니다.	Timp de cooldown de aproximativ %d secunde 
%d 초후 목적지로 이동됩니다.	%d secunde de la executare ajungi la locul cu pricina. 
%d%% 확률로 관통 공격	Atac pгtrunzгtor cu єansa %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Creєterea experienюei cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Creєterea Yang-ului capturat cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% єansг de a-юi umple PV dupг o victorie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Creєterea obiectelor capturate cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 정신력 회복	Creєtere mana cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 치명타 공격	Atac critic cu єansa %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mana este luatг de la inamic cu o probabilitate de %d%%. 
%d%% 확률로 피해시 정신력 회복	Probabilitate de absorbire mana %d%%. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Contului tгu оi este adгugat %d timp de joc. (Nr. platг %d) 
%d의 경험치를 획득했습니다.	Ai primit %d experienюг. 
%d초 남았습니다.	%d secunde pвnг la final. 
%d초 만큼 충전되었습니다.	%d de secunde au fost adaugate. 
%d초 후 게임이 셧다운 됩니다.	Jocul se sfвrєeєte оn %d secunde. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consum de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numгr Pгmвnt Sfвnt %d 
%s 군주 후보에서 삭제하였습니다	%s a fost єters ca єi candidat ca оmpгrat. 
%s 군주로 입명 했습니다.	%s este numit оmpгrat. 
%s 군주르 제거 하였습니다..	Оmpгratul %s este оnlгturat. 
%s 군주를 제거 할수 없습니다.	Оmpгratul %s nu paote fi оnlгturat. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Breasla %s a declarat rгzboi breslei %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Breasla %s a cвєtigat rгzboiul оmpotriva breslei %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s a cucerit steagul %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Rгzboiul dintre breslele %s єi %s s-a terminat la egalitate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Rгzboiul оntrebreslele  %s єi %s a fost оntrerupt. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Rгzboiul оntre %s єi %s оncepe оn cвteva minute. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Rгzboiul оntre breslele %s єi %s a оnceput! 
%s 길드의 %s이 %d%% 증가했습니다!	%s al breslei %s a crescut cu %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s al breslei %s s-a normalizat. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Steagul breslei %s a fost furat de %s. 
%s 는 군주 후보가 아닙니다.	%s nu este candidat ca оmpгrat. 
%s 는 군주로 입명할수 없습니다 .	%s nu poate fi numit оmpгrat. 
%s 님과의 교환이 성사 되었습니다.	Negoюul cu %s a reuєit. 
%s 님에게 파티가입 신청을 했습니다.	Doreєti sг te alгturi grupei lui %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s a refuzat invitaюia. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Jucгtorul %s se aflг оn canalul %d. (Canalul tгu: %d) 
%s 님은 접속되 있지 않습니다.	%s nu este online. 
%s 님은 정상적으로 출마를 하였습니다.	Jucгtorul %s este deja оn alegere. 
%s 님을 소환하였습니다.	Ai recrutat %s jucгtori. 
%s 님이 대련에서 승리하였습니다.	%s a cвєtigat duelul. 
%s 님이 승리하였습니다.	%s a cвєtigat. 
%s 블럭! (%d%%)	Blocheazг %s! (%d%%) 
%s 아이템 을 획득하셨습니다	Ai cгєtigat obiectul %s. 
%s 아이템이 필요합니다	Ai nevoie de %s. 
%s 에게로 이동합니다	Tragere la jucгtorul %s. 
%s 회피! (%d%%)	Eschiveazг %s! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Aceastг breaslг nu existг. 
%s[%d]가 공격 위치: %d %d	%s[%d] Pozitie de atac: %d %d 
%s님과의 대결 시작!	Lupta cu %s a оnceput! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s te-a provocat la luptг! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zaruri aruncate. El/ea a primit %d (%d-%d). 
%s를 구웠습니다.	Prгjeєti %s deasupra focului. 
%s에 박혀있던 보석이 사라집니다.	Pietrele preюioase din %s au dispгrut. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	La %s s-a aprins un foc de iluminare pentru a avertiza оn legгturг cu o luptг. 
%s에게 대결신청을 했습니다.	L-ai provocat pe %s la luptг. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Оn %s este rгzboi pentru a aprinde focurile de iluminare. 
%s에서 소켓 빠질때까지 남은 시간 %d	Timp ramas pana la inlaturarea soket-ului din %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s a crescut cu %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s al lui %s s-a normalizat. 
%s의 군주가 %s 님으로 교체되었습니다.	Оmpгratul lui %s a fost schimbat оn %s. 
%s이 모든 봉화를 파괴하였습니다.	%s a distrus toate focurile de iluminare. 
%s이 봉화를 파괴했습니다.	%s a distrus focul de iluminare. 
%s이 수성에 성공했습니다.	Lui %s i-a reuєit apгrarea. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s a pierdut rгzboiul pentru ca nu au putut sг apere castelul. 
%s이 필요합니다.	Pentru aceasta actiune ai nevoie de: %s 
용신의 가호로 경험치가 떨어지지 않았습니다.	Prin binecuvвntarea zeului zmeu nu ai pierdut experienюг. 
용신의 보호로 아이템이 떨어지지 않았습니다.	Prin protecюia zeului zmeu nu ai aruncat niciun obiect. 
용심 추출에 성공하였습니다.	Timpul ramas din Piatra Dragon a fost extras. 
용심 추출에 실패하였습니다.	Extragerea timpului a esuat. 
용혼석 상자가 활성화되지 않았습니다.	Piatra Dragon nu este activata. 
용혼석 추출에 성공하였습니다.	Piatra Dragon a fost inlocuita. 
용혼석 추출에 실패하여 %s를 얻었습니다.	Inlocuirea Pietrei Dragon a esuat. Dar ai primit urmatoarele: %s 
용혼석 추출에 실패하였습니다.	Inlocuirea Pietrei Dragon a esuat. 
운영자 제제로 채팅이 금지 되었습니다.	Chat-ul tгu a fost blocat de un GM. 
웅귀족 타격치 +%d%%	Оntгrirea atacului оmpotriva Wonggui + %d%% 
원래 위치로 복귀	Vei fi adus la locul iniюial. 
월병 또는 종자 를 사용하였습니다	Plгcintг lunг sau seminюe folosite. 
월병,종자 사용후 5초동안 사용할수 없습니다.	Poюi folosi plгcinta lunг doar o datг la 5 secunde. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	Nu poюi vinde un obiect din Item-Shop оntr-un magazin privat. 
을	pe 
을두지를 통하여 입장 가능합니다.	Prin acordul lui Uriel este permisг intrarea. 
이 개량서로 개량할 수 없습니다.	Nu poюi оmbunгtгюi cu acest pergament. 
이 개량서로 더 이상 개량할 수 없습니다.	Pergamentul rгzboiului nu poate fi folosit pe obiecte cu +4 sau sub acestea. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	Busola pentru Pietrele Metin nu funcюioneazг оn peєteri. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	Detectorul de evenimente nu poate fi operat de aici. 
이 메틴석은 무기에 부착할 수 없습니다.	Nu poюi pune aceastг piatrг оn armг. 
이 메틴석은 장비에 부착할 수 없습니다.	Piatra Spiritului nu poate fi atasata la acest tip de obiect. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	Competenюa ta este insuficientг pentru antrenamentul de Mare Maestru. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	Aceastг competenюг nu este destul de оnaltг petru a o antrena cu o carte. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	Nu mai poюi antrena aceastг competenюг cu o carte. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	Acestui obiect nu оi poate fi adгugat un suport. 
이 아이템은 PC방에서만 사용할 수 있습니다.	Acest obiect poate fi folosit doar оntr-un Internet Cafe. 
이 아이템은 개량할 수 없습니다.	Acest obiect nu poate fi оmbunгtгюit. 
이 아이템은 이 방식으로는 개량할 수 없습니다.	Acest obiect nu poate fi оmbunгtгюit оn acest fel. 
이 아이템을 장착할 수 없습니다.	Aceste obiecte nu pot fi folosite оmpreunг. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	Pe acest obiect nu mai poюi adгuga pietre preюioase. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	Acestui obiect nu-i pot fi adгugate suporturi noi. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	Оn aceste accesorii nu existг suport de echipat cu pietre preюioase. 
이 책으로는 더 이상 수련할 수 없습니다.	Cu aceastг carte nu te poюi antrena mai departe. 
이 책은 너무 어려워 이해하기가 힘듭니다.	Aceastг carte este prea greu de оnюeles. 
이 책은 너무 어려워서 수련할 수 없습니다.	Cartea este prea grea pentru a exersa. 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	Aceastг carte nu te ajutг mai departe. 
이 책을 읽으려면 레벨을 더 올려야 합니다.	Trebuie sг avansezi nivelul pentru a putea citi aceastг carte. 
이 행동은 상호동의 하에 가능 합니다.	Pentru aceastг acюiune ai nevoie de acordul partenerului tгu de joc. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	Nu poюi folosi pergametul 'Оnapoi' pentru cг distanюa este prea micг. 
이동속도 %d	Ritm de miєcare %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	Eєti pregгtit pentru a юese, de aceea nu poюi folosi pergamentul 'Оnapoi'. 
이래서야 공부가 안된다구.	E greu sг mг concentrez. Ar trebui sa iau o pauzг. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	Deti deja o Piatra Dragon de acest tip. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	Schimbi momeala actualг cu %s. 
이미 둔갑중인 상태입니다.	Te-ai transformat deja. 
이미 선전포고 중인 길드입니다.	Ai declarat rгzboi acestei bresle. 
이미 완벽하게 알아들을 수 있는 언어이다.	Оnюelegi deja aceastг limbг. 
이미 입후보되어있습니다	Existг deja o candidaturг. 
이미 장비를 착용하고 있습니다.	Ai deja echipat acest tip de Piatra Dragon. 
이미 전쟁이 끝났습니다.	Rгzboiul s-a terminat. 
이미 제조창이 열려있습니다.	Fereastra de creare este deschisг deja. 
이미 탈것을 이용중입니다.	Deja cгlareєti. Da-te jos prima datг. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	Nu poюi accepta invitaюia, deoarece eєti deja оn grupг. 
이미 효과가 걸려 있습니다.	Оєi face deja efectul. 
이미투표를 했음	Ales deja. 
이번에 잡은 물고기의 길이는 %.2fcm	Lungimea peєtelui prins este de %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	Detectorul de evenimente a dispгrut cu lumina misterioasг. 
이벤트용 감지기가 흔적도 없이 사라집니다.	Detectorul de evenimente a dispгrut. 
이성간에만 할 수 있습니다.	Aceastг acюiune poate fi realizatг doar cu sexul opus. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Acum o оnюeleg! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	Am ajuns la ultima paginг a cгrюii! Antrenamentul e aproape gata! 
인간류 몬스터 타격치 +%d%%	Puterea de atac a jucгtorului оmpotriva monєtrilor +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	Inventarul tгu e plin. Obiectul nu poate fi ridicat. 
인증번호가 틀렸습니다. 다시 시도하세요.	Codul de confirmare este greєit. Mai оncearcг odatг. 
입력하신 이름을 가진 사용자가 없습니다.	Nu existг niciun jucгtor cu numele introdus de tine. 
자객공격에 %d%% 저항	Rezistenюг оmpotriva atacurilor ninja %d%% 
자객에게 강함 +%d%%	Puternic оmpotriva ninja + %d%% 
자동으로 나가게됩니다.	Va fi pгrгsit automat. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	La alegerea caracterului apare o icoanг. 
자신을 소환할 수 없습니다.	Nu te poюi recruta singur. 
자재가 부족하여 건설할 수 없습니다.	Nu ai destul material pentru a construi. 
잘못된 둔갑 아이템입니다.	Acesta este obiectul nepotrivit pentru transformare. 
잘못된 선택을 했습니다	Alegerea este greєitг. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	Evenimentul OX va оncepe оn scurt timp. 
잠시 후 마을로 이동되겠습니다.	Jucгtorul va fi teleportat оn oraє оn scurt timp. 
잠시후 모두 마을로 이동됩니다.	Toюi vor fi teleportaюi оn oraє. 
잠시후 해당 마을은  마을로 이동됩니다.	Toюi vor fi teleportaюi оn oraє оn scurt timp. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Obiectele echipate nu pot fi vвndute оn magazinul privat. 
장착에 성공하였습니다.	Echipare reuєitг. 
장착에 실패하였습니다.	Echipare eєuatг. 
재료(%s)가 부족합니다.	Nu ai destul material (%s). 
저주 되돌리기 확률 %d%%	Reflecteazг blestem: %d%% 
적용 레벨보다 높아 사용이 불가능합니다.	Nivelul obiectului tau este prea mare. 
적합하지 않은 길드 이름 입니다.	Numele breslei nu este valabil. 
전기 저항 %d%%	Rezistenюг la electricitate %d%% 
전쟁 서버가 열려있지 않아 길드전을 시작할 수 없습니다.	Lupta breslelor nu poate оncepe, deoarece serverul nu este online. 
전제국	Toate regatele 
전투가 시작 되어 취소 되었습니다.	Actiune intrerupta. Batalie in desfasurare. 
정답은	Rгspunsul corect este: 
정답입니다!	Corect! 
정상적으로 투표를하였습니다.	Ales regulamentar. 
정신력 회복 +%d	Odihna mana +%d 
제조 재료가 부족합니다	Nu ai materialul potrivit. 
제조에 실패하였습니다.	Imbunatatirea obiectului tau nu a avut succes. 
제조창이 열려있지 않습니다	Fereastra de creare nu este deschisг. 
조개가 흔적도 없이 사라집니다.	Scoica a dispгrut. 
조개에서 돌조각이 나왔습니다.	Оn scoicг vei gгsi o simplг Bucatг de Piatrг. 
조개에서 백진주가 나왔습니다.	Оn scoicг se aflг o perlг albг. 
조개에서 청진주가 나왔습니다.	Оn scoicг se aflг o perlг albastrг. 
조개에서 피진주가 나왔습니다.	Оn scoicг se aflг o perlг viєinie. 
존재하지 않는 건물입니다.	Clгdirea nu existг. 
존재하지 않는 아이템 입니다	Acest obiect nu existг. 
존재하지 않는 캐릭터 입니다.	Caracterul nu existг. 
좋아, 이 기세로 계속 나간다!	Bine, trebuie sг rгmвn concentrat оn continuare! 
좋았어! 조금만 더 읽으면 끝이다!	Aproape am terminat de citit! 
주안술서를 통해 주화입마에서 빠져나왔습니다.	Cu ajutorul unui pergament de exorcizare ai scгpat de blestemul stafiei rele. 
죽은 말에게 사료를 먹일 수 없습니다.	Nu poюi hrгni un cal mort. 
죽은 정보 %s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d	%s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d 
죽지 않은 말에게 선초를 먹일 수 없습니다.	Nu poюi hrгni un cal viu cu Iarba Maimuюei. E folositг pentru a re-оnvia caii morюi. 
지금부터 %s은 30분간 봉화를 파괴하여 보상을 획득 할 수 있습니다.	Pentru 30 de minute de acum оnainte %s poate fi rгsplгtit pentru distrugerea focului de iluminare. 
지능 +%d	Inteligenюг +%d 
지능이 낮아 착용할 수 없습니다.	Inteligenюa ta este prea scгzutг pentru a echipa acest obiect. 
직접 타격치 반사 확률 : %d%%	Reflecteazг atac direct: %d%% 
진노국	Regatul Jinno 
착용 중인 아이템은 판매할 수 없습니다.	Nu poюi vinde obiectele echipate. 
착용 중인 용혼석은 추출할 수 없습니다.	Aceasta Piatra Dragon nu poate fi inlaturata. 
참	TRUE 
창고,거래창등이 열린 상태에서는 개량을 할수가 없습니다	Nu poюi оmbunгtгюi nimic atвta timp cвt este deschisг fereastra shop sau de negoю. 
창고를 연후 %d초 이내에는 거래를 할수 없습니다.	Poюi face negoю dinnou peste %d sec. 
창고를 연후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Dupa deschiderea depozitului, nu poti folosi Scroll-ul 'Reintoarcere' timp de %d sec. 
창고를 연후 %d초 이내에는 다른곳으로 이동할수 없습니다.	Nu poti merge nicaieri timp de %d secunde de la folosirea Depozitului. 
채광에 성공하였습니다.	Exploatarea a reuєit. 
채광에 실패하였습니다.	Exploatarea a eєuat. 
채광을 중단하였습니다.	Exploatarea a luat sfвrєit. 
채팅 금지 상태입니다.	Chatul tгu este blocat. 
채팅 금지가 풀렸습니다.	Blocarea chat-ului tгu a fost anulatг. 
책으로 더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Ai оncheiat cu succes antrenamentul cu cartea. 
책장도 이제 얼마 남지 않았군.	Au rгmas doar cвteva pagini, apoi voi termina de citit. 
천조국	Regatul Chunjo 
청소할 석이 박혀있지 않습니다.	Nu e nici o bucata din Piatra Spartг disponibilг pentru оnlгturare. 
체력 +%d	Rezistenюг +%d 
체력이 낮아 착용할 수 없습니다.	Vitalitatea ta este prea scгzutг pentru a echipa acest obiect. 
총 퀴즈 수: %d	Numгrul de puncte al quiz-ului: %d 
최대 생명력 +%d	Puncte de viaюг +%d 
최대 생명력 +%d%%	Viaюг maximг +%d%% 
최대 정신력 +%d	Puncte de mana +%d 
최대 정신력 +%d%%	Viaюг maximг +%d%% 
최대 지구력 +%d	Rezistenюг maximг + %d 
축복의 서와 현철을 합칠 수 있습니다.	Poti combina Pergamentul Binecuvвntat cu Minereul de Fier Magic. 
출마를 할수가 없습니다	Nu poate fi propus spre alegere. 
충전할 수 없습니다.	Nu poti incarca aceasta Piatra Dragon. 
취소 되었습니다.	Logout-ul a fost оntrerupt. 
캐릭터를 전환 합니다. 잠시만 기다리세요.	Schimbi caracterul. Aєteaptг. 
쿨타임 -%d	Timp de stingere -%d 
쿨타임 적용중  %d 후 사용가능	Se pregгteєte. Folosire posibilг dupг %d 
퀘스트를 로드하는 중입니다. 잠시만 기다려 주십시오.	Cererea este оn curs de оncгrcare. Ai rгbdare. 
크윽, 기가 역류하고 있어! 이거 설마 주화입마인가!? 젠장!	Of, nu a reuєit. La naiba! 
클라이언트 버전이 틀려 로그아웃 됩니다. 정상적으로 패치 후 접속하세요.	Versiunea ta de client este greєitг. Instaleazг patch-ul normal. 
타격치 %d%% 를 생명력으로 흡수	Absorbire viaюг la atac %d%%. 
타력치 %d%% 를 정신력으로 흡수	Absorbire mana la atac %d%%. 
타제국 유저는 소환 할수 없습니다	Nu poюi aduna jucгtori strгini. 
타제국 유저에게는 이동할수 없습니다	Nu poюi sг te tragi la un luptгtor strгin. 
탄 상태에서는 할 수 없습니다.	Nu poюi face asta оn timp ce stai pe cal. 
테스트 서버 시간제한 통과	Timpul limita pe serverul test a fost depasit. 
파티 중이 아닙니다.	Nu eєti оn grupг. 
파티의 협동력이 높아져 지금부터 추가 경험치 보너스를 받습니다.	Grupul tгu coopereazг bine єi a primit un bonus de experienюг. 
파티장이 접속 상태가 아니라서 요청을 할 수 없습니다.	<Grupг> Nu poюi face nicio cerere, deoarece conducгtorul grupei nu este online. 
판매금액의 %d %% 가 세금으로 나가게됩니다	Vвnzarea este impozitatг cu %d%%. 
퍼펙트 마스터된 스킬입니다. 더 이상 수련 할 수 없습니다.	Eєti deja maestru al acestei competenюe. Nu o mai poюi antrena. 
평타 데미지 %d%%	Paguba loviturii %d%% 
평타 데미지 저항 %d%%	Rezistenюг la lovituri %d%% 
플레이어 %d 와 플레이어  %d를 파혼시킵니다..	Оnюelegere оncгlcatг оntre jucгtorul %d єi jucгtorul %d. 
한손검 방어 %d%%	Apгrare sabie-1-mвnг %d%%. 
해당 유저는 %d 채널에 있습니다. (현재 채널 %d)	Adгugare jucгtor %d оn canal. (Cadou canal %d) 
핸드폰 번호가 등록 되었습니다.	Numгrul de mobil este оnregistrat. 
핸드폰 번호가 등록되어 있지 않습니다.	Numгrul de mobil nu este оnregistrat. 
현재 %s 국고에는 %d 의 돈이 있습니다	%s mai are %d Yang la dispoziюie. 
현재 %s 국고에는 %u 의 돈이 있습니다	%s mai are %u Yang la dispoziюie. 
현재 남은 참가자수 : %d	Numгrul celorlalюi participanюi : %d 
현재 스코어 신수국:%d 천조국:%d 진노국:%d	Scor curent: Shinsoo %d, Chunjo: %d, Jinno: %d 
현재 온라인 상태 입니다. 귓말을 이용하세요.	El/ea este online. Foloseєte єoapta. 
현재 위치에서 사용할 수 없습니다.	Nu poюi folosi aceasta din poziюia ta actualг. 
현재 이벤트 참가자 분들은 마을로 이동 되겠습니다.	Evenimentul cadou va fi redus la un юinut. 
현재 전쟁중인 길드 입니다	Aceastг breaslг se aflг оn rгzboi. 
현재 헤어스타일에서는 염색과 탈색이 불가능합니다.	Nu оюi poюi vopsi sau оnгlbi frizura actualг. 
화염 저항 %d%%	Rezistenюг la foc %d%% 
활 공격 회피 확률 %d%%	%d%% єansг de a bloca un atac de la distanюг 
활공격 저항 %d%%	Rezistenюг la atac de la depгrtare %d%% 





%s accounts were banned permanently because of: %s	%s accounts were banned permanently because of: %s. 
%s bloklandi	%s has been blocked. 
%s does not exist.	%s doesnt exist. 
%s has been banned for %s because of: %s	%s has been banned for %s because of: %s. 
%s has been banned permanently with reason: %s	%s has been banned permanently with reason: %s. 
%s_ADDED_%d_OF_EXCHANGE_ITEM_%s	%s has added %d to %s. 
%s_ADDED_EXCHANGE_ITEM_%s	%s addet the item %s. 
%s_DECREASED_EXCHANGE_GOLD_TO_%s	%s has reduced to %s. 
%s_INCREASED_EXCHANGE_GOLD_TO_%s	%s has increased the gold to %s. 
%s_READIED_UP_EXCHANGE	%s prepared the trading. 
%s_REMOVED_%d_OF_EXCHANGE_ITEM_%s	%s removed %d to %s. 
%s_REMOVED_EXCHANGE_ITEM_%s	%s has removed the item %s. 
%s_REMOVED_READY_EXCHANGE	%s has stopped the trading. 
's Mount	's Mount 
AUTOLOOT	Third Hand
Automatic unstuck did not find a valid position. Ask a GM.	Automatic unstuck did not find a valid position. 
CANNOT_RIDE_WHILE_POLYMORPHED	You cannot ride while your transformed. 
CHANGE_CHANNEL_UNAVAILABLE	Canalul nu este disponibil. 
CHANGE_CHANNEL_ALREADY	Sunteți deja pe canalul selectat.
CHANGING_CHANNEL	Tu schimbi canalul!
Cannot equip a costume not matching the weapon type.	You cannot equip a costume not matching the weapon type. 
Cannot equip a costume without a weapon	You cannot equip a costume without a weapon. 
Chat has been banned on the operator form.	Chat has been banned on the operator form. 
Do not spam the chat!	Do not spam the chat! 
ELK_SET_TO_%lld	%lld has been added.
FISH_MIND	Fish Skill 
ITEM_CANNOT_BE_DESTROYED	This item cannot be destroyed. 
ITEM_IS_NOT_SEALED	This item is not sealed! 
ITEM_IS_SEALED_CANNOT_DO	Acest articol este sigilat! 
Inventory sorting only every 15 seconds	Sortarea stocurilor doar la fiecare 15 secunde
NO_PLAYER_FOUND_BY_NAME	The character was not found. 
OFFLINE_MESSAGE_SUCCESS	The offline message was sent successfully! 
PRIVATE_SHOP_SEARCH_SYSTEM_DISABLED	Currently the shopsearch is disabled. 
SAFEBOX	Storage Place 
TRADE_COMPLETED_WITHOUT_GOODS_EXCHANGE	The trade was without any items and gold successful. 
TRADE_STARTED	Trading started. 
This is not the correct evolution item for this item or it has none	This is not the correct evolution item for this item or it has none. 
This item cannot be used on this map	This item cannot be used on this map 
WEDDING_ENDING_LEAVE	The wedding ended. 
WEDDING_ENDING_SOON	The wedding will end soon. 
YOU_ADDED_%d_OF_EXCHANGE_ITEM_%s	You have added %d to %s. 
YOU_ADDED_EXCHANGE_ITEM_%s	You added %s. 
YOU_CANNOT_DROP_GOLD	You cannot drop gold. 
YOU_CANNOT_OPEN_SHOP_ON_THIS_MAP	You cannot open a shop on this map. 
YOU_CAN_ONLY_CHANGE_YOUR_SHOP_NAME_ONCE_IN_60_MINUTES_(%02d:%02d_left)	You can only change your shopname once in 60 minutes (%02d:%02d übrig) 
YOU_DECREASED_EXCHANGE_GOLD_TO_%s	You reduced the gold to %s. 
YOU_HAVE_%s_GOLD_WAITING_WITHDRAW_SHOP	you have %s gold in your offlineshop. 
YOU_INCREASED_EXCHANGE_GOLD_TO_%s	You increased the gold to %s. 
YOU_READIED_UP_EXCHANGE	You prepare the trading. 
YOU_REMOVED_%d_OF_EXCHANGE_ITEM_%s	you removed %d to %s. 
YOU_REMOVED_EXCHANGE_ITEM_%s	You removed the item %s. 
YOU_REMOVED_READY_EXCHANGE	You have stopped the trading. 
You blocked %s	%s ist blockiert! 
You can not change the equipment you are wearing while you are polymorphed.	You can not change the equipment you are wearing while you are polymorphed.
You can only adjust your points while you are still.	You can only adjust your points without moving.
You can post a new comment in: %02d minutes and %02d seconds!	You can post a new comment in: %02d minutes and %02d seconds seconds! 
You can wear it only when you are still.	You can wear it only when you dont move.
You cannot activate two items of this kind.	You cannot activate two items of this kind.
You cannot block a game master	You cannot block a game master! 
You cannot change your teaching this way after choosing one.	You cannot change your teaching this way after choosing one. 
You cannot define a sealed item	You cannot define a sealed item! 
You cannot do this so fast.	Nu poți face asta atât de repede.
You cannot equip this sash on this map	You cannot equip this sash on this map
You cannot open the guild storage without a guild.	You cannot open the guild storage without a guild.
You cannot use skills for 2 seconds after changing your equipment.	You cannot use skills for 0.5 seconds after changing your equipment. 
You have blocked private messages	You have blocked private messages! 
You need at least 3 free inventory slots to open a chest.	You need at least 3 free inventory slots to open a chest.
You need to be atleast level %d to use the shout chat.	You need to be atleast level %d to use the shout chat.
you cannot use this item on this map.	You cannot use this pet-seal-item on this map. 
{} do not spam in whispers	{} do not spam in whispers! 
{} does not accept private messages	{} does not accept private messages! 
{} is not online	{} is not online! 
더 이상 이 아이템으로 속성을 추가할 수 없습니다	The maximum number of bonuses has already been reached. 
성공적으로 속성이 추가 되었습니다	The bonus was added. 
The dungeon master is checking right now	The dungeon master is checking right now
The dungeon master is checking your progress every 45 seconds	The dungeon master is checking your progress every 45 seconds
Valentine chasm: Destroy all metins and get a gem!	Destroy all metins and get a gem!
Valentine chasm: You still have to destroy 5 metins	You still have to destroy 5 metins!
Valentine chasm: You still have to destroy 4 metins	You still have to destroy 4 metins!
Valentine chasm: You still have to destroy 3 metins	You still have to destroy 3 metins!
