%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Sucesso! Já só preciso de mais %d Livros para o próximo nível. 
%d 냥을 투자하셨습니다.	Investiste %d Yang. 
%d 냥을 획득하셨습니다.	Ganhaste %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Tens de atingir o Nível %d para poderes pintar o teu cabelo novamente. 
%d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d minutos e %d segundos para o teu bloqueio de chat passar. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d horas, %d minutos e %d segundos para o bloqueio de chat passar. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Faltam %d horas e %d segundos para o teu bloqueio de chat passar. 
%d 종류 %d 마리 낚음	Apanhaste %d de %d . 
%d 초 동안 채팅금지 상태입니다	Faltam %d segundos para o bloqueio do chat acabar. 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Daqui a %d segundos poderás usar a Bênção dos Monarcas. 
%d 초간 쿨타임이 적용중입니다.	Tempo de Recuperação de aproximadamente %d segundos. 
%d 초후 목적지로 이동됩니다.	Irás chegar ao teu destino dentro de %d segundos. 
%d%% 확률로 관통 공격	%d%% de probabilidade de Ataque Perfurante. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Se ganhares a tua Experiência será aumentada para %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Se ganhares o teu Yang será aumentado para %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% de probabilidade de encheres os Pontos de Vida depois de uma vitória. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Se ganhares a probabilidade de apanhares Itens será aumentada para %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Se ganhares a tua Mana (MN) será aumentada para %d%%. 
%d%% 확률로 치명타 공격	%d%% de probabilidade de Ataque Crítico. 
%d%% 확률로 타격시 상대 전신력 소모	Probabilidade de %d%% de Mana (Mana) ser roubada ao inimigo. 
%d%% 확률로 피해시 정신력 회복	%d%% de probabilidade de absorção de Mana (MN). 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d de Tempo de Jogo acrescentado à tua conta. (número de pagamento %d) 
%d의 경험치를 획득했습니다.	Recebeste %d Pontos de Experiência. 
%d초 남았습니다.	%d segundos para o servidor desligar. 
%d초 만큼 충전되었습니다.	Foram adicionados %d segundos. 
%d초 후 게임이 셧다운 됩니다.	O jogo será fechado dentro de %d segundos. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Utilização de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s N.º Mortes %d N.º Mobs Mortos %d N.º Bosses Mortos %d N.º Terra Sagrada %d 
%s 군주 후보에서 삭제하였습니다	%s foi apagado da lista de Candidatos a Monarca. 
%s 군주로 입명 했습니다.	%s foi nomeado Monarca. 
%s 군주르 제거 하였습니다..	O Monarca do Reino %s foi exilado. 
%s 군주를 제거 할수 없습니다.	O Monarca do Reino %s não pode ser exilado. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A Guild %s declarou Guerra à Guild %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	A Guild %s venceu a Guerra contra a Guild %s . 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	A Guild %s capturou a bandeira da Guild %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A Guerra entre as Guilds %s e %s terminou com um empate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A Guerra entre as Guilds %s e %s foi cancelada. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A Guerra entre as Guilds %s e %s começará dentro de alguns minutos! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A Guerra entre as Guilds %s e %s começou! 
%s 길드의 %s이 %d%% 증가했습니다!	%s da Guild %s aumentou %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s da Guild %s voltou ao normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A bandeira da Guild %s foi capturada pelo jogador %s. 
%s 는 군주 후보가 아닙니다.	%s não é um Candidato a Monarca. 
%s 는 군주로 입명할수 없습니다 .	%s não pode ser nomeado Monarca. 
%s 님과의 교환이 성사 되었습니다.	O negócio com %s foi bem sucedido. 
%s 님에게 파티가입 신청을 했습니다.	Queres juntar-te ao Grupo %s? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s rejeitou o convite. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	O jogador %s está neste momento no Canal %d (O teu Canal %d) 
%s 님은 접속되 있지 않습니다.	%s não está no jogo. 
%s 님은 정상적으로 출마를 하였습니다.	O jogador %s já está na votação. 
%s 님을 소환하였습니다.	Recrutaste %s jogadores. 
%s 님이 대련에서 승리하였습니다.	%s ganhou o Duelo. 
%s 님이 승리하였습니다.	%s ganhou. 
%s 블럭! (%d%%)	%s bloqueado! (%d%%) 
%s 아이템 을 획득하셨습니다	Ganhaste %s Itens. 
%s 아이템이 필요합니다	Precisas de %s. 
%s 에게로 이동합니다	Teleportar para %s. 
%s 회피! (%d%%)	%s evitado! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Esta Guild não existe. 
%s[%d]가 공격 위치: %d %d	%s[%d] Posição de Ataque: %d %d 
%s님과의 대결 시작!	A batalha com %s começou! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s desafiou-te para uma batalha! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s jogou os dados. Obteve %d (%d-%d). 
%s를 구웠습니다.	Colocaste %s na Fogueira. 
%s에 박혀있던 보석이 사라집니다.	Os minérios refinados de %s desaparecem. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Uma Tocha foi acesa em %s para anunciar uma batalha. 
%s에게 대결신청을 했습니다.	Desafiaste %s para uma batalha. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Estão a decorrer %s Guerras para acender as Tochas. 
%s에서 소켓 빠질때까지 남은 시간 %d	Tempo restante até à remoção do Socket de %s: %d 
%s의 %s이 %d%% 증가했습니다!	Os jogadores do Reino %s têm um aumento de %s em %d%% ! 
%s의 %s이 정상으로 돌아왔습니다.	Os jogadores do Reino %s têm %s normal de novo. 
%s의 군주가 %s 님으로 교체되었습니다.	O Monarca de %s mudou para %s 
%s이 모든 봉화를 파괴하였습니다.	%s destruiu a Tocha. 
%s이 봉화를 파괴했습니다.	%s destruiu a Tocha. 
%s이 수성에 성공했습니다.	%s conseguiu defender com sucesso. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s perderam a Guerra porque não conseguíram defender o Castelo. 
%s이 필요합니다.	Para fazer isto precisas de: %s 
물 속에 모닥불을 피울 수 없습니다.	Não podes acender uma Fogueira debaixo de água. 
물리타격시 블럭 확률 %d%%	%d%% de probabilidade de bloquear um Ataque de Curta Distância. 
물약 사용시 %d%% 성능 증가	Ao tomar a poção o Poder será aumentado até um máximo de %d%%. 
물약 제조에 실패했습니다.	A mistura da Poção não foi bem sucedida. 
물약 제한이 없습니다.	Não há limite para Poções. 
물약 조합을 위한 재료가 부족합니다.	Não tens todos os materiais necessários para preparar a Poção 
물약을 %d 개 까지 사용 가능합니다.	Podes usar até %d Poções. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	Sinto-me refrescado. 
미끼를 끼고 던져 주세요.	Primeiro coloca o isco no anzol. 
민첩 +%d	Destreza +%d 
민첩이 낮아 착용할 수 없습니다.	A tua Destreza é demasiado baixa para equipares isto. 
밀교류 타격치 +%d%%	Aumento de Ataque contra Milgyo + %d%% 
바람 저항 %d%%	Resistência ao Vento %d%% 
방어력 +%d	Armadura + %d 
방어력 +%d%%	Defesa + %d%% 
방울 방어 %d%%	Defesa de Campainhas %d%% 
배 속에서 조개가 나왔습니다.	Está uma Ostra no interior do peixe. 
배 속에서 지렁이가 나왔습니다.	Está um Verme dentro do peixe. 
버릴 수 없는 아이템입니다.	Não podes largar este Item. 
변경할 속성이 없습니다.	Não tens melhoramentos que possas alterar. 
변신 상태에서는 말에 탈 수 없습니다.	Não podes montar um Cavalo enquanto estiveres transformado. 
변신중에는 책을 읽을수 없습니다.	Não podes ler um livro enquanto estás transformado. 
부착할 수 있는 슬롯이 없습니다.	Não há Slots livres. 
부채 방어 %d%%	Defesa de Leques %d%% 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	Software ilegal detectado. O jogo irá ser encerrado. 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	Não podes utilizar um nome impróprio na tua Loja. 
빈 병이 모자릅니다.	Não tens Garrafas Vazias suficientes. 
빼낼 수 있는 메틴석이 없습니다.	Não há Pedras para serem retiradas. 
빼낼 영석이 없습니다	Não existem Pedras para removeres. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	Só podes melhorar um Item por cada subida à Torre. 
사용 제한량을 초과하였습니다.	Isso ultrapassa o limite. 
사용법: transfer <name>	Usar: transferir <name> 
사용법: warpto <character name>	Pedido: Teleportar para <nome da personagem> 
사용할수 없습니다.	Neste momento não te podes teleportar para o teu cônjuge. 
삼거리 몹 리젠	Número de monstros na Guerra dos Reinos: 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	Não podes usar um Pergaminho do Retorno durante uma Guerra dos Reinos. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	O Reino %s foi derrotado e está fora da Guerra dos Reinos. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	Os lutadores foram separados. O Duelo foi terminado. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	O teu adversário está com problemas. O Duelo terminou. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	A outra pessoa não tem Yang suficiente ou tem pouco espaço no Inventário. 
상대방의 소지품에 빈 공간이 없습니다.	A outra pessoa não tem espaço no Inventário. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	O jogador tem mais de 2 Biliões de Yang. Não podes negociar com ele. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	O jogador está no Canal %d. (Tu estás no Canal %d.) 
상대방이 교환 거부 상태입니다.	A outra pessoa cancelou o negócio. 
상대방이 다른 거래를 하고 있는 중입니다.	Este jogador já está a negociar com outro jogador. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	A outra pessoa já está a negociar. 
상대방이 대련중입니다.	O jogador encontra-se actualmente em combate. 
상대방이 메신져 추가 거부 상태입니다.	O jogador rejeitou o teu pedido de amigo. 
상대방이 온라인 상태가 아닙니다.	O jogador não está online. 
상대방이 있는 곳으로 워프할 수 없습니다.	Não te podes teleportar para o jogador de momento. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	Não podes adicionar a pessoa que está do lado oposto aos teus amigos. 
상대방이 파티에 속해있지 않습니다.	O jogador não está neste Grupo. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	A caixa explodiu de repente! Perdeste Pontos de Vida (VD). 
상자에서 %s 가 %d 개 나왔습니다.	Encontraste %s na caixa. A caixa continha %d. 
상자에서 %s 가 나왔습니다.	A caixa contém %s. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	Se respirares o fumo verde que vem da caixa, o veneno irá espalhar-se pelo teu corpo. 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	Se inalares o fumo vermelho que sai da caixa irás tornar-te mais rápido. 
상자에서 몬스터가 나타났습니다!	Um monstro saiu do interior da caixa! 
상자에서 부터 신비한 빛이 나옵니다.	Uma luz misteriosa sai do interior desta caixa. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	Estás demasiado longe da Loja Privada para poderes comprar. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	Estás demasiado longe da Loja Privada para poderes vender. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	Não tens espaço suficiente no teu Inventário para receberes a recompensa. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	É mais difícil de compreender do que eu pensava. 
생명력 회복 +%d	Regeneração de Vida +%d 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	Erro crítico do servidor. O servidor será reiniciado automaticamente. 
선악치가 %d 증가하였습니다.	O teu Karma aumentou %d pontos. 
선악치를 더 이상 올릴 수 없습니다.	O teu Karma não pode ser aumentado mais. 
선택 맵 정보 성지 %d 통로 %d %d %d	Escolhe a Informação do Mapa da Terra Sagrada %d Entrada %d %d %d; 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	Não podes usar esse Item porque não és do sexo correcto. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	Este Item só pode ser aberto por um membro do sexo oposto. 
성에서만 사용할 수 있는 기능입니다.	Está função apenas poderá ser utilizada enquanto estás no Castelo. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	Perdeste a oportunidade de ressuscitar. Irás voltar para a cidade. 
성지의 마왕: 너희	O Demónio da Terra Sagrada 
세금이 %d %로 설정되었습니다	Os Impostos estão fixos em %d % . 
셧다운이 %d초 남았습니다.	%d segundos para o servidor desligar. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	Tens mais de 2 Biliões de Yang. Não podes negociar. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	Não tens Yang suficiente para usar este Item! 
소지품에 빈 공간이 없습니다.	Não existe espaço suficiente no teu Inventário. 
소지하고 있는 아이템이 너무 많습니다.	Tens demasiados Itens no teu inventário. 
소켓 추가에 실패하였습니다.	O Socket não pôde ser adicionado. 
소켓이 성공적으로 추가되었습니다.	Socket adicionado com sucesso. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	O Monstro não pôde ser chamado. Verifica o Número de Mob. 
속성 추가에 성공하였습니다.	Melhoramento bem sucedido. 
속성 추가에 실패하였습니다.	O Melhoramento não foi bem sucedido. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	Só podes fazer isto %d Minutos depois de um melhoramento. (Faltam %d Minutos) 
속성을 변경하였습니다.	Alteraste o melhoramento. 
속성을 변경할 수 없는 아이템입니다.	Não podes mudar o melhoramento deste Item. 
수라공격에 %d%% 저항	%d%% Resistência contra Ataques de Suras 
수라에게 강함 +%d%%	Forte contra Suras + %d%% 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	Treino falhado. Por favor tenta de novo mais tarde. 
수련할 수 없는 스킬입니다.	Não podes treinar esta Habilidade. 
스킬 데미지 %d%%	Dano de Habilidades %d%% 
스킬 데미지 저항 %d%%	Resistência a Danos de Habilidades %d%% 
스킬 레벨을 내리는데 성공하였습니다.	O teu Nível de Habilidade diminuiu. 
스킬 레벨을 내릴 수 없습니다.	Não podes diminuir o teu Nível de Habilidade. 
스턴 +%d	Estrela +%d 
슬로우 +%d	Redução de Velocidade +%d 
승마 수련서 이해에 실패하였습니다.	Não compreendeste o Livro Arte de Equitação. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	Recebeste Pontos de Equitação depois de ler o Livro Arte de Equitação. 
시체류 타격치 +%d%%	Aumento de Ataque contra Mortos Vivos + %d%% 
신수국	Reino Shinsoo 
쓰러진 상태에서는 말에 탈 수 없습니다.	Não poderás montar o cavalo se estiveres deitado no chão. 
쓰러진 상태에서는 할 수 없습니다.	Não podes fazer isto enquanto estás deitado no chão. 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	Estou sempre a ler a mesma linha. 
아무것도 얻을 수 없었습니다.	Não recebeste nada. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Não podes usar um Pergaminho %d segundos após uma negociação. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	A probabilidade de Cair Itens foi aumentada em %d%%! 
아이템 드롭율 %.1f배	Probabilidade de encontrar um Item %. 1f 
아이템 룰렛 시작.	Começar a Roleta de Itens. 
아이템 전달: %s 님에게 %s	Item negociado por: %s, %s 
아이템 획득: %s	Recebeste %s 
아이템 획득: %s 님으로부터 %s	%s recebido, %s unidades 
아이템로그가 syslog 에 남았습니다	O Itemlog foi colocado no Syslog. 
아이템을 건네줄 수 없습니다.	Não podes negociar este Item. 
아이템의 레벨 제한보다 레벨이 낮습니다.	O teu Nível é inferior ao nível do Item depois de ser melhorado. 
아이템이 나올 확률	Rácio de queda de Itens 
아직 골드를 버릴 수 없습니다.	Ainda não podes largar o Ouro. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	Ainda não é possível começar de novo na Cidade. Espera mais %d segundos. 
아직 사용할 수 없습니다.	Ainda não o podes utilizar. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	Precisas de ter no mínimo Nível 50 para treinar a Arte de Equitação. 
아직 이 머리를 사용할 수 없는 레벨입니다.	O teu Nível é demasiado baixo para usares este estilo de cabelo. 
아직 재시작 할 수 없습니다. (%d초 남음)	Impossível reiniciar. Por favor espera mais %d segundos. 
아직 재시작 할 수 없습니다.(%d초 남음 )	Ainda não é possível começar de novo. Por favor espera mais %d segundos. 
아직 재시작 할 수 없습니다.(%d초 남음)	Impossível reiniciar. Por favor espera mais %d segundos. 
악마류 타격치 +%d%%	Aumento de Ataque contra Demónios + %d%% 
안녕하세요. 메틴2 입니다.	Bem-vindo ao Metin2! 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	Tens mais de 2 Biliões de Yang. Não podes negociar. 
양손검 방어 %d%%	Defesa de Espadas de 2 Mãos %d%% 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	Estou a fazer progressos mas ainda não consigo entender tudo. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Vai ter com o Pescador e melhora a tua Cana de Pesca. 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	Poderás aumentar o Nível das tuas Habilidades de Equitação com os Pontos recebidos. 
얼마 안 남았어! 조금만 더!	Está quase feito! Só falta um pouco! 
여자만 할 수 있습니다.	Apenas mulheres podem fazer isto. 
연계기는 더이상 수련할 수 없습니다.	Não podes treinar mais Combos! 
열쇠가 맞지 않는 것 같다.	Esta Chave parece não corresponder à fechadura. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	Essa é a Chave correcta. 
열쇠로 여는 물건이 아닌것 같다.	Este Item não pode ser aberto com uma Chave. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Está fechado. Deves procurar a chave. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	Eu entendi este capítulo mas vou ter de continuar a trabalhar muito. 
열정의 가면을 착용시에만 할 수 있습니다.	Podes fazer isto quando estiveres a usar uma Máscara de Emoções. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	A Bússola de Pedras Metin desapareceu emitindo uma luz misteriosa! 
영석 감지기가 흔적도 없이 사라집니다.	A Bússola de Pedras Metin desapareceu. 
예복을 입은 상태에서 말을 탈 수 없습니다.	Não podes montar um Cavalo enquanto usas um Vestido de Noiva ou um Fato de Casamento. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	Precisas de ser nível %d para poderes usar o Chamar. 
외치기는 유료회원만 사용할수 있습니다	Precisas de ser de um nível mais alto para utilizares o Chamar. 
용신의 가호로 경험치가 떨어지지 않았습니다.	Não perdeste Experiência devido à bênção do Deus Dragão. 
용신의 보호로 아이템이 떨어지지 않았습니다.	Não deixaste cair nenhum(ns) Item(s) porque estás protegido pelo Deus Dragão. 
용심 추출에 성공하였습니다.	A duração restante da Pedra do Dragão foi extraída. 
용심 추출에 실패하였습니다.	A extracção da duração restante falhou. 
용혼석 상자가 활성화되지 않았습니다.	A Pedra do Dragão não está activa. 
용혼석 추출에 성공하였습니다.	A Pedra do Dragão foi removida. 
용혼석 추출에 실패하여 %s를 얻었습니다.	A remoção da Pedra do Dragão falhou. Mas recebeste o seguinte: %s 
용혼석 추출에 실패하였습니다.	A remoção da Pedra do Dragão falhou. 
운영자 제제로 채팅이 금지 되었습니다.	O teu chat foi bloqueado por um GM. 
웅귀족 타격치 +%d%%	Aumento de Ataque contra Wonggui + %d%% 
원래 위치로 복귀	Foste enviado de novo para o local de origem. 
월병 또는 종자 를 사용하였습니다	Usaste Bolo Lua ou Sementes. 
월병,종자 사용후 5초동안 사용할수 없습니다.	Só podes utilizar um Bolo Lua de 5 em 5 segundos. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	Não podes vender Itens da Loja de Itens numa Loja Privada. 
을	o 
을두지를 통하여 입장 가능합니다.	Permitida a entrada a Uriel. 
이 개량서로 개량할 수 없습니다.	Não podes melhorar com este Pergaminho. 
이 개량서로 더 이상 개량할 수 없습니다.	O Pergaminho da Guerra não funciona em Items que estejam a +4 ou mais. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	A Bússola de Pedras Metin não funciona em locais fechados. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	Não poderás usar o Detector de Eventos a partir desta posição. 
이 메틴석은 무기에 부착할 수 없습니다.	Não podes adicionar esta Pedra a uma Arma. 
이 메틴석은 장비에 부착할 수 없습니다.	Não podes adicionar esta Pedra a este Item. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	A tua Habilidade não é alta o suficiente para o treino de Grande Mestre. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	Esta Habilidade não é alta o suficiente para ser treinada com um Livro. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	Não podes treinar esta Habilidade com um Livro. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	Não podes adicionar um Socket a este Item. 
이 아이템은 PC방에서만 사용할 수 있습니다.	Este Item só poderá ser usado num CyberCafé. 
이 아이템은 개량할 수 없습니다.	Este Item não pode ser melhorado. 
이 아이템은 이 방식으로는 개량할 수 없습니다.	Este Item não pode ser melhorado desta forma. 
이 아이템을 장착할 수 없습니다.	Estes Items não podem ser usados ao mesmo tempo. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	Não podem ser adicionados mais minérios refinados. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	Neste Item não podem ser adicionados mais Sockets. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	Não há Sockets com minérios refinados. 
이 책으로는 더 이상 수련할 수 없습니다.	Não poderás treinar mais com este Livro! 
이 책은 너무 어려워 이해하기가 힘듭니다.	Não é fácil compreender este Livro. 
이 책은 너무 어려워서 수련할 수 없습니다.	Este Livro é demasiado difícil de compreender! 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	Este Livro não te irá ajudar! 
이 책을 읽으려면 레벨을 더 올려야 합니다.	Tens de aumentar o teu Nível para que possas compreender este Livro! 
이 행동은 상호동의 하에 가능 합니다.	Para isto necessitas da confirmação do teu parceiro. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	Não podes usar um Pergaminho do Retorno porque a distância é demasiado pequena. 
이동속도 %d	Rapidez de Movimento %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	Já estás preparado para te teleportares, por isso não podes usar o Pergaminho do Retorno. 
이래서야 공부가 안된다구.	É difícil concentrar-me. Eu devia descansar um pouco. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	Já possuis uma Pedra do Dragão deste tipo. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	Alteraste o teu isco actual por %s. 
이미 둔갑중인 상태입니다.	Já estás transformado. 
이미 선전포고 중인 길드입니다.	Já declaraste Guerra a esta Guild. 
이미 완벽하게 알아들을 수 있는 언어이다.	Já falas esta língua fluentemente. 
이미 입후보되어있습니다	Já existe uma candidatura. 
이미 장비를 착용하고 있습니다.	Já equipaste este tipo de Pedra do Dragão. 
이미 전쟁이 끝났습니다.	A Guerra já terminou. 
이미 제조창이 열려있습니다.	A Janela de Construção já está aberta. 
이미 탈것을 이용중입니다.	Já estás a montar. Desmonta-te primeiro. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	Não podes aceitar o convite porque já estás no Grupo. 
이미 효과가 걸려 있습니다.	O efeito já está em acção. 
이미투표를 했음	Já votado. 
이번에 잡은 물고기의 길이는 %.2fcm	O comprimento do peixe capturado é %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	O Detector de Eventos desapareceu emitindo uma luz misteriosa! 
이벤트용 감지기가 흔적도 없이 사라집니다.	O Detector de Eventos desapareceu! 
이성간에만 할 수 있습니다.	Isto apenas pode ser feito com um jogador de outro sexo. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Agora eu compreendo! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	Cheguei à última página do livro. O meu treino está perto do fim! 
인간류 몬스터 타격치 +%d%%	Poder de Ataque do Jogador contra Monstros +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	O teu inventário está cheio. Esse Item não pode ser apanhado. 
인증번호가 틀렸습니다. 다시 시도하세요.	O teu Número de Confirmação está incorrecto. Por favor tenta de novo. 
입력하신 이름을 가진 사용자가 없습니다.	Não existe nenhum utilizador com esse nome. 
자객공격에 %d%% 저항	%d%% Resistência contra Ataques de Ninjas 
자객에게 강함 +%d%%	Forte contra Ninjas + %d%% 
자동으로 나가게됩니다.	Sairás deste mapa automaticamente. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	Para saíres poderás clicar no botão <Acabar com o modo observação>. 
자신을 소환할 수 없습니다.	Não podes recrutar-te a ti próprio. 
자재가 부족하여 건설할 수 없습니다.	Não possuis recursos suficientes para este edifício. 
잘못된 둔갑 아이템입니다.	Esse Item não pertence ao negócio. 
잘못된 선택을 했습니다	A tua escolha está errada. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	O Evento OX irá ser reiniciado brevemente. 
잠시 후 마을로 이동되겠습니다.	O jogador será teleportado para a Cidade em breve. 
잠시후 모두 마을로 이동됩니다.	Em breve todos os jogadores serão teleportados para a cidade. 
잠시후 해당 마을은  마을로 이동됩니다.	Dentro em breve todas as pessoas serão teleportadas para a cidade escolhida. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Items equipados não podem ser vendidos numa Loja Privada. 
장착에 성공하였습니다.	Arma equipada com sucesso. 
장착에 실패하였습니다.	Não foi possível equipar a arma. 
재료(%s)가 부족합니다.	Não tens materiais suficientes (%s). 
저주 되돌리기 확률 %d%%	Reflectir Maldição: %d%% 
적용 레벨보다 높아 사용이 불가능합니다.	O nível do teu item é demasiado alto. 
적합하지 않은 길드 이름 입니다.	Este nome de Guild é inválido. 
전기 저항 %d%%	Resistência a Relâmpagos %d%% 
전쟁 서버가 열려있지 않아 길드전을 시작할 수 없습니다.	A Guerra de Guilds não pode ser iniciada porque o servidor está desligado. 
전제국	Todos os Reinos 
전투가 시작 되어 취소 되었습니다.	Acção cancelada. Entraste em combate. 
정답은	A resposta correcta é: 
정답입니다!	Correcto! 
정상적으로 투표를하였습니다.	Votado regularmente. 
정신력 회복 +%d	Regeneração de Mana +%d 
제조 재료가 부족합니다	Não possuis o material correcto. 
제조에 실패하였습니다.	O melhoramento do teu item falhou. 
제조창이 열려있지 않습니다	A Janela de Construção não está aberta. 
조개가 흔적도 없이 사라집니다.	A Ostra desapareceu. 
조개에서 돌조각이 나왔습니다.	Está uma Pedra no interior da Ostra. 
조개에서 백진주가 나왔습니다.	Está uma Pérola Branca dentro da Ostra! 
조개에서 청진주가 나왔습니다.	Está uma Pérola Azul dentro da Ostra! 
조개에서 피진주가 나왔습니다.	Está uma Pérola Vermelha dentro da Ostra! 
