%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	You have to read %d more skill books to improve this skill. 
%d 냥을 투자하셨습니다.	You have invested %d Yang. 
%d 냥을 획득하셨습니다.	You have won %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	You need to have reached level %d to be able to dye your hair again. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d minutes %d seconds left on your chat block 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d hours %d minutes %d seconds left on your chat block 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d hours %d seconds left on your chat block 
%d 종류 %d 마리 낚음	You have caught %d of %d . 
%d 초 동안 채팅금지 상태입니다	%d seconds left on your chat block 
%d 초 후에 군주의 축복을 사용할 수 있습니다	After %d seconds you can use the Emperors Blessing. 
%d 초간 쿨타임이 적용중입니다.	Cooldown time for approximately %d seconds 
%d 초후 목적지로 이동됩니다.	You'll reach your destination in %d seconds. 
%d%% 확률로 관통 공격	Chance of a Speared Attack of %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Experience increases by %d%% if you win against an opponent. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Increase of Yang up to %d%% if you win. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance of filling up Hit Points after a victory. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Increase of captured Items up to %d%% if you win. 
%d%% 확률로 적퇴치시 정신력 회복	Spell Points (SP) will be increased by %d%% if you win. 
%d%% 확률로 치명타 공격	Critical Attack with a chance of %d%% 
%d%% 확률로 타격시 상대 전신력 소모	With a chance of %d%% Spell Points (SP) will be taken from the enemy. 
%d%% 확률로 피해시 정신력 회복	Absorbing of Spell Points (SP) with a chance of %d%% 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Playtime added to your account. (Payment number %d) 
%d의 경험치를 획득했습니다.	You have received %d experience points. 
%d초 남았습니다.	%d seconds until Exit. 
%d초 만큼 충전되었습니다.	%d seconds have been added. 
%d초 후 게임이 셧다운 됩니다.	The game will be closed in %d seconds. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Consumption: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Number Holy Land %d 
%s 군주 후보에서 삭제하였습니다	%s is deleted as an Emperor Candidate. 
%s 군주로 입명 했습니다.	%s has been nominated as emperor. 
%s 군주르 제거 하였습니다..	The %s Emperor gets driven out. 
%s 군주를 제거 할수 없습니다.	The %s Emperor cannot be driven out. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	The guild %s has declared war on %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s has won the guild war against %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s has captured the flag of %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	The guild war between %s and %s has ended in a draw. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	The guild war between %s and %s has been cancelled. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	The guild war between %s and %s will start in a few minutes! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	The guild war between %s and %s has begun! 
%s 길드의 %s이 %d%% 증가했습니다!	%s of the Guild %s raised up to %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s of the Guild %s normal again. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	The guild %s's flag has been stolen by player %s. 
%s 는 군주 후보가 아닙니다.	%s is not a candidate for the emperor elections. 
%s 는 군주로 입명할수 없습니다 .	%s cannot be nominated as emperor. 
%s 님과의 교환이 성사 되었습니다.	The trade with %s has been successful. 
%s 님에게 파티가입 신청을 했습니다.	You want to join %s's group. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s declined the invitation. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	The player %s is on channel %d at the moment. (Your channel: %d) 
%s 님은 접속되 있지 않습니다.	%s is not online. 
%s 님은 정상적으로 출마를 하였습니다.	%s player already in the vote. 
%s 님을 소환하였습니다.	You have recruited %s players. 
%s 님이 대련에서 승리하였습니다.	%s has won the duel. 
%s 님이 승리하였습니다.	%s has won. 
%s 블럭! (%d%%)	%s block! (%d%%) 
%s 아이템 을 획득하셨습니다	You have won %s items. 
%s 아이템이 필요합니다	You need %s. 
%s 에게로 이동합니다	Warp to player %s. 
%s 회피! (%d%%)	%s avoid! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: This guild does not exist. 
%s[%d]가 공격 위치: %d %d	%s[%d]'s Attack Position: %d %d 
%s님과의 대결 시작!	The battle with %s has begun! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s challenged you to a battle! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rolled dice. He/she got %d (%d-%d). 
%s를 구웠습니다.	You are roasting %s over the fire. 
%s에 박혀있던 보석이 사라집니다.	A gem made of %s has vanished. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	A bonfire was inflamed at %s to warn because of a battle. 
%s에게 대결신청을 했습니다.	You have challenged %s to a battle. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	There are %s wars to inflame the bonfires. 
%s에서 소켓 빠질때까지 남은 시간 %d	Time left until the removal of the socket of %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s has increased by %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s normal again. 
%s의 군주가 %s 님으로 교체되었습니다.	The emperor of %s has changed to %s. 
%s이 모든 봉화를 파괴하였습니다.	%s has destroyed all the bonfires. 
%s이 봉화를 파괴했습니다.	%s has destroyed the bonfire. 
%s이 수성에 성공했습니다.	%s has successfully defended. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s lost the war as they have not been able to defend the castle. 
%s이 필요합니다.	For this action you need: %s 
스킬 데미지 %d%%	Skill Damage %d%% 
스킬 데미지 저항 %d%%	Resistance against Skill Damage %d%% 
스킬 레벨을 내리는데 성공하였습니다.	You have lowered your Skill Level. 
스킬 레벨을 내릴 수 없습니다.	You cannot lower your Skill Level. 
스턴 +%d	Star +%d 
슬로우 +%d	Speed Reduction +%d 
승마 수련서 이해에 실패하였습니다.	You did not understand the riding guide. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	You read the Horse Riding Manual and received a Riding Point. 
시체류 타격치 +%d%%	Attack boost against zombies + %d%% 
신수국	Shinsoo Kingdom 
쓰러진 상태에서는 말에 탈 수 없습니다.	You cannot get on the horse while you are lying on the ground. 
쓰러진 상태에서는 할 수 없습니다.	You cannot do that while you are lying on the ground. 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	I keep reading the same line over and over again. 
아무것도 얻을 수 없었습니다.	You have not received anything. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	After a trade, you cannot use a scroll for another %d seconds. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	The quota of the Item Drop is at the moment plus %d%% 
아이템 드롭율 %.1f배	Chance to find an Item %. 1f 
아이템 룰렛 시작.	Start Item Roulette. 
아이템 전달: %s 님에게 %s	%s received %s. 
아이템 획득: %s	%s received 
아이템 획득: %s 님으로부터 %s	%s picked up the item %s. 
아이템로그가 syslog 에 남았습니다	The Item log placed into the syslog. 
아이템을 건네줄 수 없습니다.	You cannot trade this item. 
아이템의 레벨 제한보다 레벨이 낮습니다.	Your level is too low to use this item. 
아이템이 나올 확률	Item drop rate in percent 
아직 골드를 버릴 수 없습니다.	You cannot throw the Gold away yet. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	You cannot restart in the city yet. Wait another %d seconds. 
아직 사용할 수 없습니다.	Cannot be used yet. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	You need a minimum level of 50 to get riding training. 
아직 이 머리를 사용할 수 없는 레벨입니다.	Your level is too low to wear this Hairstyle. 
아직 재시작 할 수 없습니다. (%d초 남음)	You cannot restart yet. Please wait another %d seconds. 
아직 재시작 할 수 없습니다.(%d초 남음 )	A new start is not possible at the moment. Please wait %d seconds. 
아직 재시작 할 수 없습니다.(%d초 남음)	You cannot restart yet. Please wait another %d seconds. 
악마류 타격치 +%d%%	Attack boost against devils + %d%% 
안녕하세요. 메틴2 입니다.	Welcome to Metin2. 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	You have more than 2 Billion Yang. You cannot trade. 
양손검 방어 %d%%	Two-Handed Sword Defence %d%% 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	I'm making progress, but I still haven't understood everything. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Go to the Fisherman and get your Fishing Pole upgraded! 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	You can use this point to improve your riding skill! 
얼마 안 남았어! 조금만 더!	Nearly finished! Just a little bit more to go! 
여자만 할 수 있습니다.	Only women can do this. 
연계기는 더이상 수련할 수 없습니다.	You can't train any more Combos. 
열쇠가 맞지 않는 것 같다.	This key does not seem to fit the lock. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	That's the right key. 
열쇠로 여는 물건이 아닌것 같다.	This item cannot be opened with a key. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Closed. You should look for the key. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	I understand this chapter. But I've got to carry on working hard. 
열정의 가면을 착용시에만 할 수 있습니다.	You can do this when you wear an Emotion Mask. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	The Compass for Metin Stones has vanished in the mysterious light. 
영석 감지기가 흔적도 없이 사라집니다.	The Compass for Metin Stones has vanished. 
예복을 입은 상태에서 말을 탈 수 없습니다.	You cannot ride while you are wearing a Wedding Dress or a Tuxedo. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	You need a minimum level of %d to be able to call. 
외치기는 유료회원만 사용할수 있습니다	You need a higher level to be able to call. 
용신의 가호로 경험치가 떨어지지 않았습니다.	You did not lose any Experience because of the Blessing of the Dragon God. 
용신의 보호로 아이템이 떨어지지 않았습니다.	You did not drop any Item(s) as you are protected by the Dragon God. 
용심 추출에 성공하였습니다.	Dragon Stone remaining duration has been extracted. 
용심 추출에 실패하였습니다.	Remaining duration extraction failed. 
용혼석 상자가 활성화되지 않았습니다.	The Dragon Stone is not activated. 
용혼석 추출에 성공하였습니다.	Dragon Stone has been removed. 
용혼석 추출에 실패하여 %s를 얻었습니다.	Removal of Dragon Stone failed. But you have received the following: %s 
용혼석 추출에 실패하였습니다.	Removal of Dragon Stone failed. 
운영자 제제로 채팅이 금지 되었습니다.	Your chat has been blocked by a GM. 
웅귀족 타격치 +%d%%	Attack Boost against Wonggui + %d%% 
원래 위치로 복귀	You are being brought back to the place of origin. 
월병 또는 종자 를 사용하였습니다	Used Moon Cake or Seed. 
월병,종자 사용후 5초동안 사용할수 없습니다.	You can only use a Moon Cake every 5 seconds. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	You can't sell Item-Shop items in a private shop. 
을	the 
을두지를 통하여 입장 가능합니다.	Uriel allowed to enter. 
이 개량서로 개량할 수 없습니다.	You cannot upgrade items with this Scroll. 
이 개량서로 더 이상 개량할 수 없습니다.	The Scroll of War does not work on items with +4 or above. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	The Compass for Metin Stones does not work in dungeons. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	You cannot use the Event Detector from this position. 
이 메틴석은 무기에 부착할 수 없습니다.	You cannot attach this Spirit Stone to a weapon. 
이 메틴석은 장비에 부착할 수 없습니다.	This Spirit Stone cannot be attached to this type of item. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	Your Skill is not high enough to become a Grand Master. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	This skill's level is not high enough to be trained with a Book. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	You cannot train this skill with a Book. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	You cannot add a socket to this item. 
이 아이템은 PC방에서만 사용할 수 있습니다.	This item can only be used in an Internet cafe. 
이 아이템은 개량할 수 없습니다.	This item cannot be improved. 
이 아이템은 이 방식으로는 개량할 수 없습니다.	This item cannot be advanced this way. 
이 아이템을 장착할 수 없습니다.	These items cannot be used together. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	No more gems can be added to this item. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	No additional sockets could be added to this item. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	There is no Socket for Gemstones in this accessory. 
이 책으로는 더 이상 수련할 수 없습니다.	You cannot train with this Book any more. 
이 책은 너무 어려워 이해하기가 힘듭니다.	It isn't easy to understand this book. 
이 책은 너무 어려워서 수련할 수 없습니다.	The book is too hard for practising. 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	This book will not help you. 
이 책을 읽으려면 레벨을 더 올려야 합니다.	You have to improve your Level to read this Book. 
이 행동은 상호동의 하에 가능 합니다.	You need your fellow player's approval for this. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	You cannot use the return scroll because the distance is too small. 
이동속도 %d	Movement Speed %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	You are ready to warp, so you cannot use the 'Return' Scroll. 
이래서야 공부가 안된다구.	It's hard for me to concentrate. I should take a break. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	You are already carrying a Dragon Stone of this type. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	You are exchanging the current Bait for %s. 
이미 둔갑중인 상태입니다.	You have already transformed. 
이미 선전포고 중인 길드입니다.	You have declared war on this guild. 
이미 완벽하게 알아들을 수 있는 언어이다.	You already understand this language. 
이미 입후보되어있습니다	There already is a candidacy. 
이미 장비를 착용하고 있습니다.	You have already equipped this kind of Dragon Stone. 
이미 전쟁이 끝났습니다.	The war is already over. 
이미 제조창이 열려있습니다.	The Build window is already open. 
이미 탈것을 이용중입니다.	You're already riding. Get off first. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	You cannot accept the invitation because you are already in the group. 
이미 효과가 걸려 있습니다.	This effect is already activated. 
이미투표를 했음	Already voted. 
이번에 잡은 물고기의 길이는 %.2fcm	The length of the captured fish is %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	The Event Detector vanished in a mysterious light. 
이벤트용 감지기가 흔적도 없이 사라집니다.	The Event Detector has vanished. 
이성간에만 할 수 있습니다.	This action can only be done with another gender. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Now I understand it! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	I am on the last page of the book. The training is nearly finished! 
인간류 몬스터 타격치 +%d%%	Player's Attack Power against Monsters +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	Your inventory is full. Item cannot be picked up. 
인증번호가 틀렸습니다. 다시 시도하세요.	Your Confirmation Number is not correct. Please try again. 
입력하신 이름을 가진 사용자가 없습니다.	There is no user with this name. 
자객공격에 %d%% 저항	%d%% Resistance against Ninja Attacks 
자객에게 강함 +%d%%	Strong against Ninjas + %d%% 
자동으로 나가게됩니다.	Will be left automatically. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	While choosing a character, an icon appears. 
자신을 소환할 수 없습니다.	You cannot recruit yourself. 
자재가 부족하여 건설할 수 없습니다.	You do not have enough resources to build a building. 
잘못된 둔갑 아이템입니다.	That's the wrong trading item. 
잘못된 선택을 했습니다	Your choice is incorrect. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	The OX Event will be restarted shortly. 
잠시 후 마을로 이동되겠습니다.	The player will be teleported into the city shortly. 
잠시후 모두 마을로 이동됩니다.	Everyone will be teleported into the city shortly. 
잠시후 해당 마을은  마을로 이동됩니다.	Everyone will be teleported into the city shortly. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Equipped items cannot be sold in the private shop. 
장착에 성공하였습니다.	Arming successful. 
장착에 실패하였습니다.	Arming has failed. 
재료(%s)가 부족합니다.	You do not have enough material (%s). 
저주 되돌리기 확률 %d%%	Reflect Curse: %d%% 
적용 레벨보다 높아 사용이 불가능합니다.	The level of your item is too high. 
적합하지 않은 길드 이름 입니다.	This guild name is invalid. 
전기 저항 %d%%	Lightning Resistance %d%% 
전쟁 서버가 열려있지 않아 길드전을 시작할 수 없습니다.	The Guild Battle cannot be started because the server is not online. 
전제국	All kingdoms 
전투가 시작 되어 취소 되었습니다.	Action cancelled. You have entered a battle. 
정답은	The correct answer is: 
정답입니다!	Correct! 
정상적으로 투표를하였습니다.	Regularly voted. 
정신력 회복 +%d	Spell Point Recovery +%d 
제조 재료가 부족합니다	You do not have the right material. 
제조에 실패하였습니다.	The improvement of your item failed. 
제조창이 열려있지 않습니다	The build window is not open. 
조개가 흔적도 없이 사라집니다.	The Clam has vanished. 
조개에서 돌조각이 나왔습니다.	You will find a simple Piece of Stone in the Clam. 
조개에서 백진주가 나왔습니다.	There is a White Pearl inside the Shell. 
조개에서 청진주가 나왔습니다.	There is a Blue Pearl inside the Shell. 
조개에서 피진주가 나왔습니다.	There is a Crimson Pearl inside the Shell. 
존재하지 않는 건물입니다.	The building does not exist. 
존재하지 않는 아이템 입니다	This item does not exist. 
존재하지 않는 캐릭터 입니다.	This character does not exist. 
좋아, 이 기세로 계속 나간다!	Okay I have to stay concentrated! 
좋았어! 조금만 더 읽으면 끝이다!	Eureka! I have nearly finished reading it! 
주안술서를 통해 주화입마에서 빠져나왔습니다.	You have escaped the evil ghost curse with the help of an Exorcism Scroll. 
죽은 말에게 사료를 먹일 수 없습니다.	You cannot feed a dead Horse. 
죽은 정보 %s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d	%s deadcount %d Empire %d killcount %d(Purpose %d) killmobcount %d, RegenFlag %d 
죽지 않은 말에게 선초를 먹일 수 없습니다.	Monkey Herbs cannot be fed to living horses. It is used to revive dead horses. 
지금부터 %s은 30분간 봉화를 파괴하여 보상을 획득 할 수 있습니다.	30 minutes from now on the player %s can get a reward because he destroyed the bonfire. 
지능 +%d	Intelligence +%d 
지능이 낮아 착용할 수 없습니다.	Your intelligence is too low to equip yourself with this item. 
직접 타격치 반사 확률 : %d%%	Reflect Direct Hit: %d%% 
진노국	Jinno Kingdom 
착용 중인 아이템은 판매할 수 없습니다.	You cannot sell equipped items. 
착용 중인 용혼석은 추출할 수 없습니다.	The Dragon Stone cannot be removed. 
참	TRUE 
창고,거래창등이 열린 상태에서는 개량을 할수가 없습니다	You cannot upgrade something while the shop or trading window is open. 
창고를 연후 %d초 이내에는 거래를 할수 없습니다.	You can trade again in %d seconds. 
창고를 연후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	After opening the Storeroom you cannot use a 'Return' Scroll for %d seconds. 
창고를 연후 %d초 이내에는 다른곳으로 이동할수 없습니다.	After opening the Storeroom, you cannot go anywhere else for %d seconds. 
채광에 성공하였습니다.	The mining has been successful. 
채광에 실패하였습니다.	The mining has failed. 
채광을 중단하였습니다.	Mining is finished. 
채팅 금지 상태입니다.	Your chat is blocked. 
채팅 금지가 풀렸습니다.	Your chat block has been lifted. 
책으로 더 높은 경지의 수련을 성공적으로 끝내셨습니다.	You have successfully finished your training with the Book. 
책장도 이제 얼마 남지 않았군.	Only a few more pages and then I'll have read everything. 
천조국	Chunjo Kingdom 
청소할 석이 박혀있지 않습니다.	There aren't any Pieces of Broken Stone available for removal. 
체력 +%d	Endurance +%d 
체력이 낮아 착용할 수 없습니다.	Your vitality is too low to equip yourself with this item. 
총 퀴즈 수: %d	Total number of the Quiz: %d 
최대 생명력 +%d	Hit Points +%d 
최대 생명력 +%d%%	Maximum Energy +%d%% 
최대 정신력 +%d	Spell Points +%d 
최대 정신력 +%d%%	Maximum Energy +%d%% 
최대 지구력 +%d	Maximum Endurance + %d 
축복의 서와 현철을 합칠 수 있습니다.	You can combine the Blessing Scroll with the Magic Iron Ore. 
출마를 할수가 없습니다	Cannot run for office. 
충전할 수 없습니다.	You cannot recharge this Dragon Stone. 
취소 되었습니다.	Your logout has been cancelled. 
캐릭터를 전환 합니다. 잠시만 기다리세요.	You are changing character. Please wait. 
쿨타임 -%d	Cooldown Time -%d 
쿨타임 적용중  %d 후 사용가능	Is being prepared. Can be used after %d . 
퀘스트를 로드하는 중입니다. 잠시만 기다려 주십시오.	Your request is loading. Please wait. 
크윽, 기가 역류하고 있어! 이거 설마 주화입마인가!? 젠장!	That did not work. Damn! 
클라이언트 버전이 틀려 로그아웃 됩니다. 정상적으로 패치 후 접속하세요.	You do not have the correct client version. Please install the normal patch. 
타격치 %d%% 를 생명력으로 흡수	Absorbing of Energy %d%% while attacking. 
타력치 %d%% 를 정신력으로 흡수	Absorption of Spell Points (SP) %d%% while attacking. 
타제국 유저는 소환 할수 없습니다	You cannot call unknown players. 
타제국 유저에게는 이동할수 없습니다	You cannot be warped to an unknown player. 
탄 상태에서는 할 수 없습니다.	You cannot do this whilst sitting on a Horse. 
테스트 서버 시간제한 통과	The time limit on the test server has been exceeded. 
파티 중이 아닙니다.	You are not in this Group. 
파티의 협동력이 높아져 지금부터 추가 경험치 보너스를 받습니다.	Your group works together well and has received an experience bonus. 
파티장이 접속 상태가 아니라서 요청을 할 수 없습니다.	<Group> You cannot make a request because the group leader is not online. 
판매금액의 %d %% 가 세금으로 나가게됩니다	This sale will be taxed %d%%. 
퍼펙트 마스터된 스킬입니다. 더 이상 수련 할 수 없습니다.	You already are a Master of this skill. You cannot train this skill any further. 
평타 데미지 %d%%	Hit Damage %d%% 
평타 데미지 저항 %d%%	Resistance against Hits %d%% 
플레이어 %d 와 플레이어  %d를 파혼시킵니다..	Broken contract between player %d and player %d. 
한손검 방어 %d%%	One-Handed Sword defence %d%% 
해당 유저는 %d 채널에 있습니다. (현재 채널 %d)	Adding player %d into the channel. (Present channel %d) 
핸드폰 번호가 등록 되었습니다.	The mobile phone number is registered. 
핸드폰 번호가 등록되어 있지 않습니다.	The cell phone number is not registered. 
현재 %s 국고에는 %d 의 돈이 있습니다	%s still has %d Yang available. 
현재 %s 국고에는 %u 의 돈이 있습니다	%s still has %u Yang available. 
현재 남은 참가자수 : %d	Number of other participants : %d 
현재 스코어 신수국:%d 천조국:%d 진노국:%d	Current score: Shinsoo %d, Chunjo %d, Jinno %d 
현재 온라인 상태 입니다. 귓말을 이용하세요.	The player is online. Please use whisper to chat. 
현재 위치에서 사용할 수 없습니다.	You cannot use this from your current position. 
현재 이벤트 참가자 분들은 마을로 이동 되겠습니다.	The present event is limited to one area. 
현재 전쟁중인 길드 입니다	This guild is at war. 
현재 헤어스타일에서는 염색과 탈색이 불가능합니다.	You cannot dye or bleach your current hairstyle. 
화염 저항 %d%%	Fire Resistance %d%% 
활 공격 회피 확률 %d%%	%d%% Chance of blocking a long range attack 
활공격 저항 %d%%	Distant Attack Resistance %d%% 
YOU_CANNOT_DROP_GOLD	You cannot drop gold. 
FISH_MIND	Fish Skill 
AUTOLOOT	Third Hand
SAFEBOX	Storage Place 
You can wear it only when you are still.	You can wear it only when you dont move.
%s bloklandi	%s has been blocked. 
You blocked %s	%s ist blockiert! 
TRADE_STARTED	Trading started. 
ELK_SET_TO_%lld	%lld has been added.
YOU_INCREASED_EXCHANGE_GOLD_TO_%s	You increased the gold to %s. 
%s_INCREASED_EXCHANGE_GOLD_TO_%s	%s has increased the gold to %s. 
YOU_READIED_UP_EXCHANGE	You prepare the trading. 
%s_READIED_UP_EXCHANGE	%s prepared the trading. 
You need to be atleast level %d to use the shout chat.	You need to be atleast level %d to use the shout chat.
YOU_ADDED_EXCHANGE_ITEM_%s	You added %s. 
YOU_DECREASED_EXCHANGE_GOLD_TO_%s	You reduced the gold to %s. 
%s_DECREASED_EXCHANGE_GOLD_TO_%s	%s has reduced to %s. 
%s_ADDED_EXCHANGE_ITEM_%s	%s addet the item %s. 
YOU_REMOVED_EXCHANGE_ITEM_%s	You removed the item %s. 
%s_REMOVED_EXCHANGE_ITEM_%s	%s has removed the item %s. 
YOU_ADDED_%d_OF_EXCHANGE_ITEM_%s	You have added %d to %s. 
%s_ADDED_%d_OF_EXCHANGE_ITEM_%s	%s has added %d to %s. 
YOU_REMOVED_%d_OF_EXCHANGE_ITEM_%s	you removed %d to %s. 
%s_REMOVED_%d_OF_EXCHANGE_ITEM_%s	%s removed %d to %s. 
YOU_REMOVED_READY_EXCHANGE	You have stopped the trading. 
%s_REMOVED_READY_EXCHANGE	%s has stopped the trading. 
You cannot block a game master	You cannot block a game master! 
You cannot open the guild storage without a guild.	You cannot open the guild storage without a guild.
You cannot equip this sash on this map	You cannot equip this sash on this map
You cannot activate two items of this kind.	You cannot activate two items of this kind.
Inventory sorting only every 15 seconds	Inventory sorting only every 15 seconds
You can only adjust your points while you are still.	You can only adjust your points without moving.
You need at least 3 free inventory slots to open a chest.	You need at least 3 free inventory slots to open a chest.
YOU_CAN_ONLY_CHANGE_YOUR_SHOP_NAME_ONCE_IN_60_MINUTES_(%02d:%02d_left)	You can only change your shopname once in 60 minutes (%02d:%02d übrig) 
CANNOT_RIDE_WHILE_POLYMORPHED	You cannot ride while your transformed. 
You can not change the equipment you are wearing while you are polymorphed.	You can not change the equipment you are wearing while you are polymorphed.
CHANGING_CHANNEL	Your are changing the channel! 
YOU_HAVE_%s_GOLD_WAITING_WITHDRAW_SHOP	you have %s gold in your offlineshop. 
You cannot define a sealed item	You cannot define a sealed item! 
ITEM_IS_NOT_SEALED	This item is not sealed! 
ITEM_IS_SEALED_CANNOT_DO	This item is sealed! 
OFFLINE_MESSAGE_SUCCESS	The offline message was sent successfully! 
NO_PLAYER_FOUND_BY_NAME	The character was not found. 
TRADE_COMPLETED_WITHOUT_GOODS_EXCHANGE	The trade was without any items and gold successful. 
%s does not exist.	%s doesnt exist. 
You cannot use skills for 2 seconds after changing your equipment.	You cannot use skills for 0.5 seconds after changing your equipment. 
This item cannot be used on this map	This item cannot be used on this map 
You cannot change your teaching this way after choosing one.	You cannot change your teaching this way after choosing one. 
's Mount	's Mount 
This is not the correct evolution item for this item or it has none	This is not the correct evolution item for this item or it has none. 
Do not spam the chat!	Do not spam the chat! 
PRIVATE_SHOP_SEARCH_SYSTEM_DISABLED	Currently the shopsearch is disabled. 
You can post a new comment in: %02d minutes and %02d seconds!	You can post a new comment in: %02d minutes and %02d seconds seconds! 
WEDDING_ENDING_SOON	The wedding will end soon. 
WEDDING_ENDING_LEAVE	The wedding ended. 
성공적으로 속성이 추가 되었습니다	The bonus was added. 
더 이상 이 아이템으로 속성을 추가할 수 없습니다	The maximum number of bonuses has already been reached. 
you cannot use this item on this map.	You cannot use this pet-seal-item on this map. 
{} do not spam in whispers	{} do not spam in whispers! 
Chat has been banned on the operator form.	Chat has been banned on the operator form. 
{} is not online	{} is not online! 
{} does not accept private messages	{} does not accept private messages! 
You have blocked private messages	You have blocked private messages! 
Cannot equip a costume without a weapon	You cannot equip a costume without a weapon. 
Cannot equip a costume not matching the weapon type.	You cannot equip a costume not matching the weapon type. 
You cannot do this so fast.	You cannot do this so fast. 
Automatic unstuck did not find a valid position. Ask a GM.	Automatic unstuck did not find a valid position. 
CHANGE_CHANNEL_UNAVAILABLE	Channel not available. 
CHANGE_CHANNEL_ALREADY	You are already on the selected channel. 
YOU_CANNOT_OPEN_SHOP_ON_THIS_MAP	You cannot open a shop on this map. 
ITEM_CANNOT_BE_DESTROYED	This item cannot be destroyed. 
%s has been banned for %s because of: %s	%s has been banned for %s because of: %s. 
