%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Bu yeteneği geliştirmek için %d Yetenek Kitabı daha okumalısınız. 
%d 냥을 투자하셨습니다.	%d Yang yatırdın. 
%d 냥을 획득하셨습니다.	%d Yang kazandın. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Saçını tekrar boyayabilmek için %d. seviyeye ulaşman gerekli. 
%d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d dakika %d saniye kaldı 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d dakika %d saniye kaldı 
%d 시간 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d saniye kaldı 
%d 종류 %d 마리 낚음	%d nın %d Yakaladın. 
%d 초 동안 채팅금지 상태입니다	Sohbet engelinizin kalkmasına %d saniye kaldı 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d saniye sonra İmparator Kutsamasını kullanabilirsin. 
%d 초간 쿨타임이 적용중입니다.	Dinlenme Süresi yaklaşık %d saniye 
%d 초후 목적지로 이동됩니다.	%d saniye içinde hedefte olacaksın. 
%d%% 확률로 관통 공격	Delici saldırı şansı %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Eğer kazanırsan tecrübe %d%% artacak. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Eğer kazanırsan Yang %d%% artacak. 
%d%% 확률로 적퇴치시 생명력 회복	Kazandıktan sonra hayat puanın %d%% oranında artacak. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Eğer kazanırsan ele geçirilen nesne %d%% artacak. 
%d%% 확률로 적퇴치시 정신력 회복	Eğer kazanırsan SP %d%% artacak. 
%d%% 확률로 치명타 공격	Kritik saldırı şansı %d%% 
%d%% 확률로 타격시 상대 전신력 소모	%d%% oranında SP düşmandan çalma şansı. 
%d%% 확률로 피해시 정신력 회복	Oranında SP emiliyor %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d oyun süresi hesabınıza eklendi. (Ödeme Numarası %d) 
%d의 경험치를 획득했습니다.	%d Tecrübe Puanı kazandın. 
%d초 남았습니다.	%d saniye sonra oyun kapanacak. 
%d초 만큼 충전되었습니다.	%d saniye eklendi. 
%d초 후 게임이 셧다운 됩니다.	Oyun %d saniye sonra kapanacak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP Kullanımı: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s öldürülen %d öldürülen mob %d öldürülen lider %d Kutsal alan numarası %d 
%s 군주 후보에서 삭제하였습니다	İmparator adayı olarak %s silindi. 
%s 군주로 입명 했습니다.	%s İmparator adayı olarak gösterildi. 
%s 군주르 제거 하였습니다..	%s İmparatorluk görevini bıraktı. 
%s 군주를 제거 할수 없습니다.	%s İmparatoru görevi bırakamaz. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	%s, %s loncasına karşı savaş ilan etti! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Lonca savaşında %s, %s loncasına karşı kazandı. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s Loncası %s Loncasının bayrağını ele geçirdi! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	%s ile %s arasındaki lonca savaşı berabere sonuçlandı! 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	%s ile %s arasındaki lonca savaşı iptal oldu! 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	%s ile %s arasındaki lonca savaşı birkaç dakika içinde başlayacak! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	%s ile %s arasında lonca savaşı başladı! 
%s 길드의 %s이 %d%% 증가했습니다!	Loncanın %s %s %d%% derecesine yükseldi! 
%s 길드의 %s이 정상으로 돌아왔습니다.	Loncanın %s %s tekrar normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	%s loncasının bayrağı, %s tarafından çalındı. 
%s 는 군주 후보가 아닙니다.	%s İmparator olmak için bir aday değil. 
%s 는 군주로 입명할수 없습니다 .	%s İmparatorluğa aday olamaz. 
%s 님과의 교환이 성사 되었습니다.	%s ile olan ticaret başarıyla gerçekleşti. 
%s 님에게 파티가입 신청을 했습니다.	%s Grubuna katılmak istiyor musun? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s daveti reddetti. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s şuanda %d kanalında. (Kanalınız: %d) 
%s 님은 접속되 있지 않습니다.	%s çevrimiçi değil. 
%s 님은 정상적으로 출마를 하였습니다.	%s oyuncu zaten oylamada. 
%s 님을 소환하였습니다.	%s oyuncuları iyileştirdin. 
%s 님이 대련에서 승리하였습니다.	Düelloyu %s kazandı. 
%s 님이 승리하였습니다.	%s kazandı. 
%s 블럭! (%d%%)	%s engelle! (%d%%) 
%s 아이템 을 획득하셨습니다	%s eşyasını kazandın. 
%s 아이템이 필요합니다	%s gerekli. 
%s 에게로 이동합니다	%s yanına naklet. 
%s 회피! (%d%%)	%s kaç! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Lonca bulunamadı. 
%s[%d]가 공격 위치: %d %d	%s[%d] Saldırı pozisyonu: %d %d 
%s님과의 대결 시작!	%s ile olan savaş başladı! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s seni savaşa davet ediyor! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zar attı. Sonuç %d (%d-%d). 
%s를 구웠습니다.	Ateşte %s kızartıyorsun. 
%s에 박혀있던 보석이 사라집니다.	%s mücevheri kayboldu. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	%s de savaş yüzünden bir uyarı ateşi yakıldı. 
%s에게 대결신청을 했습니다.	%s savaşa davet ettiniz. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Ateşleri yakmak için %s savaşları var. 
%s에서 소켓 빠질때까지 남은 시간 %d	%sgirişinin silinmesine kalan süre : %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s, %d%% oranında yükseldi! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s tekrar normal. 
%s의 군주가 %s 님으로 교체되었습니다.	%s İmparatoru %s oldu. 
%s이 모든 봉화를 파괴하였습니다.	%s ateşi yok etti. 
%s이 봉화를 파괴했습니다.	%s ateşi yok etti. 
%s이 수성에 성공했습니다.	%s başarıyla savundu. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s kaleyi koruyamadığı için savaşı kaybetti. 
%s이 필요합니다.	Bu hareket için gereken: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Lonca kuruldu. [Temporary] 
무사공격에 %d%% 저항	Savaşçı ataklarında %d%% dayanıklılık 
무사에게 강함 +%d%%	Savaşçılara karşı güçlü + %d%% 
문자 메세지 전송에는 2000원이 필요 합니다.	Yazılı mesaj yollamak için 2000 Yang gerekli. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	Yazılı mesaj yollayabilmek için en az 20.Seviye olman gerekli. 
문자 메세지를 전송 했습니다.	Yazılı mesajınız yollandı. 
문제 입니다.	Soru. 
문제를 출제하였습니다.	Bir hata oluştu. 
문제를 출제하지 못했습니다.	Hata oluşmadı. 
물 속에 모닥불을 피울 수 없습니다.	Suyun altında kamp ateşi yakamazsın. 
물리타격시 블럭 확률 %d%%	Yakın dövüş saldırısını engelleme şansı %d%% 
물약 사용시 %d%% 성능 증가	İksir kullandığın zaman güç %d%% artacak. 
물약 제조에 실패했습니다.	İksir hazırlama işlemi başarısız. 
물약 제한이 없습니다.	Burada iksirler için herhangi bir sınırlama yok. 
물약 조합을 위한 재료가 부족합니다.	İksir hazırlamak için tüm malzemelere sahip değilsin. 
물약을 %d 개 까지 사용 가능합니다.	%d iksir kullanabilirsiniz. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	Yenilenmiş hissediyorum. 
미끼를 끼고 던져 주세요.	Önce yemi çengele geçir. 
민첩 +%d	Çeviklik +%d 
민첩이 낮아 착용할 수 없습니다.	Bu nesneyi kullanabilmek için yeterli çevikliğe sahip değilsin. 
밀교류 타격치 +%d%%	Milgyo karşısında saldırı artışı + %d%% 
바람 저항 %d%%	Rüzgara Dayanıklılık %d%% 
방어력 +%d	Zırh + %d 
방어력 +%d%%	Savunma + %d%% 
방울 방어 %d%%	Çan Savunması %d%% 
배 속에서 조개가 나왔습니다.	Balığın içinde bir istiridye var. 
배 속에서 지렁이가 나왔습니다.	Balığın içinde bir solucan var. 
버릴 수 없는 아이템입니다.	Bu eşyayı düşüremezsin. 
변경할 속성이 없습니다.	Değiştirebileceğin hiçbir geliştirme yok. 
변신 상태에서는 말에 탈 수 없습니다.	Dönüşmüş durumdayken ata binemezsin. 
변신중에는 책을 읽을수 없습니다.	Dönüşüm halindeyken kitap okuyamazsın. 
부착할 수 있는 슬롯이 없습니다.	Boş yer yok. 
부채 방어 %d%%	Yelpaze Savunması %d%% 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	Yasadışı yazılım tespit edildi. Oyun kapatılacak. 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	Depona hatalı bir isim veremezsin. 
빈 병이 모자릅니다.	Yeterince boş şişen yok. 
빼낼 수 있는 메틴석이 없습니다.	Çıkartılacak metin taşı yok. 
빼낼 영석이 없습니다	Çıkartılacak taş yok. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	Şeytan Kulesi görevi için sadece bir kez ödüllendirilebilirsiniz. 
사용 제한량을 초과하였습니다.	Bu limitin üzerinde. 
사용법: transfer <name>	Kullan: ilet <name> 
사용법: warpto <character name>	Sıra: taşı <karakter ismi> 
사용할수 없습니다.	Şu anda eşinize teleport olamazsınız. 
삼거리 몹 리젠	Krallık savaşındaki yaratıkların sayısı: 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	Katılmış olduğun bir krallık savaşı devam ederken Geri Dönüş Kağıdı kullanamazsın. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	%s Krallığı yenildi ve krallık savaşından çıktı. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	Savaşçılar ayrıldı. Düello sona erdi. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	Savaşçınızla ilgili bir problem olduğu için düello sona erdi. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	Diğer kişide yeterli Yang veya envanterinde boş yer yok. 
상대방의 소지품에 빈 공간이 없습니다.	Diğer kişinin envanterinde hiç boş yer yok. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	Oyuncunun 2 milyardan fazla Yang'ı var.Bu oyuncuyla ticaret yapamazsın. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	Oyuncu %d numaralı kanalda. (Sen %d numaralı kanaldasın.) 
상대방이 교환 거부 상태입니다.	Diğer oyuncu ticareti iptal etti. 
상대방이 다른 거래를 하고 있는 중입니다.	Bu oyuncu zaten başkasıyla ticaret yapıyor. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	Diğer oyuncu zaten ticaret yapıyor. 
상대방이 대련중입니다.	Oyuncu zaten dövüşüyor. 
상대방이 메신져 추가 거부 상태입니다.	Oyuncu, arkadaş listene eklenmeyi reddetti. 
상대방이 온라인 상태가 아닙니다.	Oyuncu çevrimdışı. 
상대방이 있는 곳으로 워프할 수 없습니다.	Bu oyuncuya ışınlanamazsın. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	Karşındaki kişiyi arkadaşlarına ekleyemiyorsun. 
상대방이 파티에 속해있지 않습니다.	Oyuncu bu grupta değil. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	Kutu patladı! HP seviyen düştü. 
상자에서 %s 가 %d 개 나왔습니다.	%s : %d adet kazandın. 
상자에서 %s 가 나왔습니다.	Kutuda %s var. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	Eğer kutudan gelen kırmızı dumanı solursan, zehirlenirsin! 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	Eğer kutudan gelen kırmızı dumanı solursan, hızın artar! 
상자에서 몬스터가 나타났습니다!	Kutudan bir yaratık çıktı! 
상자에서 부터 신비한 빛이 나옵니다.	Kutudan gizemli bir ışık geliyor. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	Almak için depodan çok uzaksın. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	Satmak için depodan çok uzaksın. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	Ödüller için evanter kapasiten yeterli değil. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	Bu yöntem düşündüğümden çok daha karışık. 
생명력 회복 +%d	Geri Kazanılan Enerji +%d 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	Kritik sunucu hatası. Sunucu otomatik olarak yeniden başlatılacak. 
선악치가 %d 증가하였습니다.	Sıralama %d puana yükseldi. 
선악치를 더 이상 올릴 수 없습니다.	Sıralama Puanları daha fazla arttırılamıyor. 
선택 맵 정보 성지 %d 통로 %d %d %d	Haritadan kutsal alan bilgisini seç %d Giriş Yap %d %d %d; 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	Doğru cinsiyette olmadığınız için bu eşyayı kullanamazsınız. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	Bu eşya sadece karşı cins tarafından açılabilir. 
성에서만 사용할 수 있는 기능입니다.	Bu özelliği sadece kaledeyken kullanabilirsin. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	Bekleme süresi doldu. Şehirde yeniden diriltileceksin. 
성지의 마왕: 너희	Kutsal Yerin Şeytanı 
세금이 %d %로 설정되었습니다	Vergi ayarlandı: %d % . 
셧다운이 %d초 남았습니다.	%d saniye sonra oyun kapanacak. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	2 milyardan fazla Yang sahibisiniz. Ticaret yapamazsınız. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	Bu eşyayı kullanmak için yeterli Yang a sahip değilsin. 
소지품에 빈 공간이 없습니다.	Envanterde yeterli boşluk yok. 
소지하고 있는 아이템이 너무 많습니다.	Çok fazla eşya taşıyorsun. 
소켓 추가에 실패하였습니다.	Slot eklenmedi. 
소켓이 성공적으로 추가되었습니다.	Slot başarıyla eklendi. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	Canavar çağrılamaz. Mob numarasını kontrol ediniz. 
속성 추가에 성공하였습니다.	Geliştirme başarıyla eklendi. 
속성 추가에 실패하였습니다.	Geliştirme eklenmedi. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	Bunu bir geliştirmeden en az %d dakika sonra yapabilirsin. (%d dakika kaldı) 
속성을 변경하였습니다.	Geliştirmeyi değiştirdin. 
속성을 변경할 수 없는 아이템입니다.	Bu eşyanın geliştirilmesini değiştiremezsin. 
수라공격에 %d%% 저항	Sura ataklarında %d%% dayanıklılık 
수라에게 강함 +%d%%	Suralara karşı güçlü + %d%% 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	Eğitim başarısız. Lütfen sonra tekrar deneyin. 
수련할 수 없는 스킬입니다.	Bu beceriyi geliştiremezsiniz. 
스킬 데미지 %d%%	Beceri Hasarı %d%% 
스킬 데미지 저항 %d%%	Beceri hasarına dayanıklılık %d%% 
스킬 레벨을 내리는데 성공하였습니다.	Beceri seviyeni düşürdün. 
스킬 레벨을 내릴 수 없습니다.	Beceri seviyeni düşüremezsin. 
스턴 +%d	Star +%d 
슬로우 +%d	Hız azalması +%d 
승마 수련서 이해에 실패하였습니다.	Binicilik Rehberini anlamadın. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	Binicilik Kılavuzu'nu okudun ve bir tane Binicilik Puanı kazandın. 
시체류 타격치 +%d%%	Ölümsüzlere karşı saldırı artışı: + %d%% 
신수국	Shinsoo Krallığı 
쓰러진 상태에서는 말에 탈 수 없습니다.	Yerde yatarken ata binemezsin. 
쓰러진 상태에서는 할 수 없습니다.	Bunu düşmüş haldeyken yapamazsın. 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	Aynı satırı tekrar okuyup duruyorum. 
아무것도 얻을 수 없었습니다.	Hiç bir şey kazanamadın. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Ticaretten sonra %d saniye Parşömen kullanamazsın. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	Düşen nesne yüzdesi şu anda +%d%% 
아이템 드롭율 %.1f배	Nesne bulma oranı %. 1f 
아이템 룰렛 시작.	Nesne Ruleti Başlat. 
아이템 전달: %s 님에게 %s	Eşya Ticareti:  %s, %s 
아이템 획득: %s	%s Kazandın. 
아이템 획득: %s 님으로부터 %s	Kazanılan Eşya: %s, Miktarı: %s 
아이템로그가 syslog 에 남았습니다	Nesne logları, sistem loglarının içine yerleştirildi. 
아이템을 건네줄 수 없습니다.	Bu nesneyle ticaret yapamazsın. 
아이템의 레벨 제한보다 레벨이 낮습니다.	Seviyen eşyanın geliştirmeden sonraki seviyesinden düşük. 
아이템이 나올 확률	Eşya düşürme oran yüzdesi 
아직 골드를 버릴 수 없습니다.	Altın'ı henüz atamazsın. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	Şehirde yeniden dirilme henüz mümkün değil. %d saniye bekle. 
아직 사용할 수 없습니다.	Henüz kullanılamaz. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	Binicilik Eğitimi almak için 50'inci seviyeye ulaşmış olman gerekiyor. 
아직 이 머리를 사용할 수 없는 레벨입니다.	Bu saç şekli için seviyen çok düşük. 
아직 재시작 할 수 없습니다. (%d초 남음)	Yeniden dirilme henüz mümkün değil. %d saniye bekle. 
아직 재시작 할 수 없습니다.(%d초 남음 )	Yeniden dirilme henüz mümkün değil. %d saniye bekle. 
아직 재시작 할 수 없습니다.(%d초 남음)	Yeniden dirilme henüz mümkün değil. %d saniye bekle. 
악마류 타격치 +%d%%	Şeytanlara karşı saldırı artışı: + %d%% 
안녕하세요. 메틴2 입니다.	Metin2'ye Hoşgeldin. 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	2 milyardan fazla Yang'ın var.Ticaret yapamazsın. 
양손검 방어 %d%%	Çift-El Savunması %d%% 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	İlerleyebiliyorum ama henüz hepsini anlamış değilim. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Balıkçının yanına git ve onun yardımıyla oltanı geliştir! 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	Bu puanı Biniciliğini geliştirmek için kullanabilirsin! 
얼마 안 남았어! 조금만 더!	Nerdeyse bitti! Sadece azıcık kaldı! 
여자만 할 수 있습니다.	Bunu sadece bayanlar yapabilir. 
연계기는 더이상 수련할 수 없습니다.	Daha fazla kombo geliştiremezsin. 
열쇠가 맞지 않는 것 같다.	Bu anahtar kilide uygun görünmüyor. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	Doğru anahtar. 
열쇠로 여는 물건이 아닌것 같다.	Bu eşya bir anahtarla açılamaz. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Kapalı. Anahtarı aramalısın. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	Bu bölümü anladım. Yine de çok çalışmam gerekiyor. 
열정의 가면을 착용시에만 할 수 있습니다.	Bunu Duygu Maskesi taktığında yapabilirsin. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	Metin Taşı Dedektörü gizemli ışıkla birlikte kayboldu. 
영석 감지기가 흔적도 없이 사라집니다.	Metin Taşı Dedektörü kayboldu. 
예복을 입은 상태에서 말을 탈 수 없습니다.	Gelinlik veya Smokin giyerken ata binemezsin. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	Çağırmak için en az %d. seviyede olman gerekiyor. 
외치기는 유료회원만 사용할수 있습니다	Çağırmak için daha yüksek seviyede olman gerekiyor. 
용신의 가호로 경험치가 떨어지지 않았습니다.	Ejderha Tanrının korumasında olduğun için tecrübe kaybetmedin. 
용신의 보호로 아이템이 떨어지지 않았습니다.	Ejderha Tanrının korumasında olduğun için hiç bir nesne kaybetmedin. 
용심 추출에 성공하였습니다.	Ejderha taşında kalan süreyi çıkarma işlemi başarılıydı. 
용심 추출에 실패하였습니다.	Kalan süreyi çıkarma işlemi başarısızdı. 
용혼석 상자가 활성화되지 않았습니다.	Ejderha taşı etkinleştirilmedi. 
용혼석 추출에 성공하였습니다.	Ejderha taşı çıkarıldı. 
용혼석 추출에 실패하여 %s를 얻었습니다.	Ejderha taşı çıkarılamadı, ama şunu elde ettin: %s 
용혼석 추출에 실패하였습니다.	Ejderha taşı çıkarılamadı. 
운영자 제제로 채팅이 금지 되었습니다.	Sohbetiniz GM tarafından bloklandı. 
웅귀족 타격치 +%d%%	Wonggui karşısında saldırı artışı  + %d%% 
원래 위치로 복귀	Başlangıç yerine geri gönderiliyorsun. 
월병 또는 종자 를 사용하였습니다	Tohum ya da ay pastası kullanıldı. 
월병,종자 사용후 5초동안 사용할수 없습니다.	Her 5 saniyede bir Ay Pastası kullanabilirsin. 
유료화 아이템은 개인상점에서 판매할 수 없습니다.	Nesne Market eşyalarını özel markette satamazsın. 
을	the 
을두지를 통하여 입장 가능합니다.	Uriel girmene izin verdi. 
이 개량서로 개량할 수 없습니다.	Bu role ile yükseltemezsiniz. 
이 개량서로 더 이상 개량할 수 없습니다.	Savaş Kağıdı, +4'ün üzerinde olan nesnelerle işlemiyor. 
이 곳에서 영석 감지기가 동작하지 않는것 같습니다.	Metin Taşı Dedektörü zindanda çalışmıyor. 
이 곳에선 이벤트용 감지기가 동작하지 않는것 같습니다.	Etkinlik Dedektörünü bu pozisyondayken kullanamazsın. 
이 메틴석은 무기에 부착할 수 없습니다.	Bu Ruh Taşı'nı silaha takamazsın. 
이 메틴석은 장비에 부착할 수 없습니다.	Bu Ruh Taşı böyle bir nesneye eklenemez. 
이 스킬은 아직 그랜드 마스터 수련을 할 경지에 이르지 않았습니다.	Becerin Grand Master seviyesi için yeterince yüksek değil. 
이 스킬은 아직 책으로 수련할 경지에 이르지 않았습니다.	Bu becerin kitap okuyarak geliştirebilmek için yeterli seviyede değil. 
이 스킬은 책으로 더이상 수련할 수 없습니다.	Bu beceriyi kitap okuyarak geliştiremezsin. 
이 아이템으로 소켓을 추가할 수 없는 아이템입니다.	Bu nesneye slot eklenmiyor. 
이 아이템은 PC방에서만 사용할 수 있습니다.	Bu nesne sadece internet cafede kullanılabilir. 
이 아이템은 개량할 수 없습니다.	Bu eşya daha iyi hale gelemez. 
이 아이템은 이 방식으로는 개량할 수 없습니다.	Bu eşya bu şekilde yükseltilemez. 
이 아이템을 장착할 수 없습니다.	Bu nesneler birleştirilerek kullanılmıyor. 
이 액세서리에는 더이상 보석을 장착할 수 없습니다.	Bu nesneye daha fazla mücevher eklenemiyor. 
이 액세서리에는 더이상 소켓을 추가할 공간이 없습니다.	Bu nesneye daha fazla slot eklenmiyor. 
이 액세서리에는 더이상 장착할 소켓이 없습니다.	Bu nesnede mücevher slotu yok. 
이 책으로는 더 이상 수련할 수 없습니다.	Bu kitapla daha fazla eğitim yapamazsın. 
이 책은 너무 어려워 이해하기가 힘듭니다.	Bu kitabı anlamak kolay değil. 
이 책은 너무 어려워서 수련할 수 없습니다.	Kitabın öğrenilmesi zor. 
이 책은 아무리 봐도 도움이 될 것 같지 않습니다.	Bu kitap sana yardım etmeyecek. 
이 책을 읽으려면 레벨을 더 올려야 합니다.	Bu kitabı anlayabilmek için seviyeni yükseltmelisin. 
이 행동은 상호동의 하에 가능 합니다.	Bunun için eşinin onayı gerekli. 
이동 되어질 위치와 너무 가까워 귀환부를 사용할수 없습니다.	Mesafe çok yakın olduğu için Geri Dönüş Kağıdı kullanamazsın. 
이동속도 %d	Hareket Hızı %d 
이동할 준비가 되어있음으로 귀환부를 사용할수 없습니다	Işınlanmaya hazırsın, dönüş kağıdını kullanamazsın. 
이래서야 공부가 안된다구.	Konsantre olamıyorum. Mola vermem gerekiyor. 
이미 같은 종류의 용혼석을 착용하고 있습니다.	Üzerinde zaten bu türden bir ejderha taşı bulunuyor. 
이미 꽂혀있던 미끼를 빼고 %s를 끼웁니다.	Şu anki yemi %s ile değiştirdin. 
이미 둔갑중인 상태입니다.	Dönüşmüş haldesin zaten. 
이미 선전포고 중인 길드입니다.	Bu Loncaya savaş ilan ettin. 
이미 완벽하게 알아들을 수 있는 언어이다.	Bu dili zaten anlıyorsun. 
이미 입후보되어있습니다	Zaten bir aday var. 
이미 장비를 착용하고 있습니다.	Böyle bir ejderha taşı kuşandın bile. 
이미 전쟁이 끝났습니다.	Savaş çoktan sona erdi. 
이미 제조창이 열려있습니다.	İnşa penceresi zaten açık. 
이미 탈것을 이용중입니다.	Zaten bir binektesin. Önce in. 
이미 파티에 속해 있으므로 가입신청을 할 수 없습니다.	Daveti kabul edemezsin, zaten bir grubun var. 
이미 효과가 걸려 있습니다.	Bu etki zaten çalışıyor. 
이미투표를 했음	Zaten oy vermiştin. 
이번에 잡은 물고기의 길이는 %.2fcm	Yakalanan balığın uzunluğu %.2fcm. 
이벤트용 감지기가 신비로운 빛을 내며 사라집니다.	Etkinlik Dedektörü gizemli bir ışıkla birlikte yok oldu. 
이벤트용 감지기가 흔적도 없이 사라집니다.	Etkinlik Dedektörü kayboldu. 
이성간에만 할 수 있습니다.	Bu sadece diğer cinsiyetle birlikte yapılabilen bir aksiyon. 
이제 좀 슬슬 가닥이 잡히는 것 같은데.	Şimdi anladım! 
이제 책의 마지막 장이야! 수련의 끝이 눈에 보이고 있어!	Kitabın son sayfasındayım. Eğitim neredeyse bitmek üzere! 
인간류 몬스터 타격치 +%d%%	Yaratıklara karşı oyuncunun saldırı gücü +%d%% 
인벤토리가 꽉 차서 내릴 수 없습니다.	Envanterin dolu. Eşyayı koyacak yer yok. 
인증번호가 틀렸습니다. 다시 시도하세요.	Onay Numaranız doğru değil. Lütfen tekrar deneyin. 
입력하신 이름을 가진 사용자가 없습니다.	Bu isimde bir kullanıcı yok. 
자객공격에 %d%% 저항	Ninja ataklarında %d%% dayanıklılık 
자객에게 강함 +%d%%	Ninjalara karşı güçlü + %d%% 
자동으로 나가게됩니다.	Otomatik olarak geçecek. 
자신을 선택하시면 밖으로 나갈 수 있는 <관람 종료> 버튼이 나옵니다.	Bir karakter seçerken <izlemeyi bitir> butonu görünür. 
자신을 소환할 수 없습니다.	Kendini birliğine ekleyemezsin. 
자재가 부족하여 건설할 수 없습니다.	Bu binayı inşa edebilmek için yeterli kaynağın yok. 
잘못된 둔갑 아이템입니다.	Bu yanlış ticaret eşyası. 
잘못된 선택을 했습니다	Seçiminiz yanlış. 
잠시 후 OX 이벤트를 다시 시작하겠습니다.	Kısa süre içinde OX Etkinlik tekrar başlayacak. 
잠시 후 마을로 이동되겠습니다.	Kısa süre içinde oyuncu şehre ışınlanacak. 
잠시후 모두 마을로 이동됩니다.	Herkes şehre ışınlanacak. 
잠시후 해당 마을은  마을로 이동됩니다.	Kısa zamanda herkes seçilen şehre ışınlanacak. 
장비중인 아이템은 개인상점에서 판매할 수 없습니다.	Üzerinde olan nesneler özel dükkânda satılamıyor. 
장착에 성공하였습니다.	Silahlanma başarılı. 
장착에 실패하였습니다.	Silahlanma başarısız. 
재료(%s)가 부족합니다.	Yeterli malzemen yok (%s). 
